46:14:001:1	Jii Kwaii Chan Ch'anky'aa Shroodiinyąą Ts'an Jidii Vit'eegwahahchy'aa Geenjit Diinantł'eiinlii
46:14:001:0	Ch'eet'igwiniindhan akhwa'yaa geenjit gwint'aii gwitr'it t'agoh'in . Jidii Ch'anky'aa Shroodiinyąą nakhwantł'inlii ąįį zhit gwandaa gwihil'ee t'akhwa'yaa geenjit nakhwadrii zhit gohłii . Vit'eegwijyąhchy'aa viginjik eegoohkhii ąįį ch'andaa t'akhwa'in .
46:14:002:0	Zhit juu Ch'anky'aa Shroodiinyąą haa gwikyaa zhit ginkhii nąįį ch'izhii dinjii haa giginkhii t'iginyąą kwaa , ch'ihłee gaa duuyeh gooviitth'ak geh'an , Vit'eegwijyąhchy'aa ts'ą' giginkhii t'iginyąą . Ch'anky'aa Shroodiinyąą vat'aii k'iighai' ginjik vaagwiindaii kwaa zhit łi'didlii haa giginkhii t'iginyąą .
46:14:003:0	Zhit juu Vit'eegwijyąhchy'aa viginjik eeginkhii nąįį t'ee dinjii ts'iginyąą , ts'ą' khaneegoogaayu' gwizhit gooveeginyąą ts'ą' t'aih goots'an gahtsii .
46:14:004:0	Ch'anky'aa Shroodiinyąą gwikyaa zhit ginkhii nąįį geedan zhrįh idits'iginyaa , gaa juu Vit'eegwijyąhchy'aa viginjik eeginkhii t'ee tr'igiinkhii zheh nineedal nąįį ts'iginyąą t'igii'in .
46:14:005:0	Datthak ts'ą' Ch'anky'aa Shroodiinyąą gwikyaa zhit gohkhii nahoihnyąą , gaa datthak ts'ą' Vit'eegwijyąhchy'aa viginjik eegoohkhii ji' gwandaa gweheezyaa . Juu Vit'eegwijyąhchy'aa viginjik eeginkhii t'ee gwikyaa zhit girinkhii andaa gwihil'ee t'oonchy'aa . Gwikyaa zhit ginkhii ąįį deegwinyąą t'igwinyąą geegwaandak ji' gwizhrįh juu tr'igiinkhii zheh nineedal nąįį ts'igiheenjyaa .
46:14:006:0	Ąįįts'ą' shachaa nąįį nakhwats'ą' khoiizhii ts'ą' gwikyaa zhit gihkhii ts'ą' shootth'ak kwaa ji' nakhwats'ihihjyaa gwakwaa . Jidii Vit'eegwijyąhchy'aa shats'ą' gwigweełkįį nakhwaagwahaldak ts'ą' gwizhįh shintł'eegwiin'ąįį , ąįį nakhwantł'eegwiilii ji' gwizhrįh nakhwats'ihihjyaa .
46:14:007:0	Jii gwik'it gooh'in , Flute akwat ch'iitsiidlii harp , haa ch'ilik tr'ahtsii ąįį gwandaii nilii kwaa t'inchy'aa . Gwinzii tr'iheetth'ak ky'aa vaach'ohłii kwaa ji' duuyeh jidii ach'oohłii gaagiindaii .
46:14:008:0	Ąįįts'ą' niveet'arah'in geenjit ch'ilik ( bugle ) gwinzii ach'aahłii kwaa ji' , juu niveet'ahah'yaa geenjit gwats'ą' heekhaa ?
46:14:009:0	Ąįį gwik'it gwikyaa zhit ginkhii gwinzii nigiitth'ak kwaa ji' , nats'ąą deiinyąą t'iinyąą naagiheendaii ? Zhyaa niginjik an heelyaa t'oonchy'aa .
46:14:010:0	Jii nankat łyaa ginjik nihłehjuk t'inchy'aa lęįį gwanlii , ts'ą' ginjik datthak chan juu yizhit ginkhii nąįį deenyąą t'inyąą gaagiindaii .
