46:11:001:1	Nats'ąą Tr'igiinkhii Zheh gwizhit Deegwehee'yaa
46:11:001:0	Shik'it t'akhwa'in , Christ vik'it t'ishi'in gwik'it .
46:11:002:0	Jidii geenookhwałchya' gwik'it dinjii ǫhłįį ts'ą' shanoondaii geh'an gwinzii t'akhwa'in nakhwaihnyąą .
46:11:003:0	Gaa jii kwaii gaakhwandaii gwat'oohchy'aa , Christ , dinjii nąįį datthak ts'ą' k'eegwaadhat ąįį gwik'it dinjii nąįį chan daga'at ts'ą' k'eedeegwagwaadhat t'oonchy'aa , ts'ą' Vit'eegwijyąhchy'aa chan Christ ts'ą' k'eegwaadhat .
46:11:004:0	Ąįįts'ą' dinjii ts'eh naa'aii tr'igiinkhii zheh gwizhit khagidiinjii ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii t'ee Christ hił'ee kwaa t'oonchy'aa .
46:11:005:0	Ąįįts'ą' tr'injaa viki' noołjik kwaa ts'ą' tr'igiinkhii zheh gwahtsii gwiizhit khadigiinjii ts'ą' Vit'eegwijyąhchy'aa ginjik eegwaandak t'ee dakai' yeenjihił'ee kwaa t'inchy'aa , jii tr'injaa t'ee tr'injaa viki' kal gwiriłtsąįį haa nihk'it t'oonchy'aa .
46:11:006:0	Tr'injaa diki' noołjik kwaa ąįį diki' datthak khat'ii ts'ąįį gwinzii akwat tr'injaa diki' kal gwahtsii akwat diki' khat'ii t'ee veenjit oozhii gwanlii t'oonchy'aa . Ąįįts'ą' diki' noołjik ts'ąįį nizįį .
46:11:007:0	Dinjii ąįį diki' noołjik gwat'aahchy'aa kwaa , Vit'eegwijyąhchy'aa k'it t'inchy'aa ts'ą' Vit'eegwijyąhchy'aa vich'eegwąhndit nilii geh'an , gaa tr'injaa ąįį dinjii vich'eegwahdrii k'it t'inchy'aa Vit'eegwijyąhchy'aa yiltsąįį .
46:11:008:0	Dinjii ąįį tr'injaa ts'an tr'iłtsąįį kwaa gaa tr'injaa ąįį dinjii ts'an tr'iłtsąįį t'oonchy'aa .
46:11:009:0	Dinjii ąįį tr'injaa eenjit tr'iłtsąįį kwaa , gaa tr'injaa ąįį dinjii eenjit tr'iłtsąįį t'oonchy'aa .
46:11:010:0	Ąįį kwaii geh'an zheekat gwich'in nąįį diik'aahtii ts'ą' tr'injaa khagidiinjii akwat Vit'eegwijyąhchy'aa viginjik eech'ǫąąhtan dąį' diki' noołjik gwat'aahchy'aa , gwik'iighai' zheekat gwich'in nąįį tr'injaa Vit'eegwijyąhchy'aa k'eegwahthat giiyaaheendaii geenjit .
46:11:011:0	Ąįį googaa , jii nankat gwarandaii ts'ą' gwik'injiriighit , tr'injaa ąįį dinjii t'injyąhchy'aa , ts'ą' dinjii chan tr'injaa t'injigahahchy'aa .
46:11:012:0	Ąįįts'ą' tr'injaa , dinjii ts'an tr'iłtsąįį , ąįį gwik'it dinjii ąįį tr'injaa ts'an vagoodlit ts'ą' Vit'eegwijyąhchy'aa jidii datthak iłtsąįį ts'ą' gwizhrįh ninlii t'oonchy'aa .
46:11:013:0	Nakhwan nakhwakhai' geeninjich'ohthat , tr'injaa viki' noołjik kwaa ts'ą' dinjii tee gwa'an Vit'eegwijyąhchy'aa ts'ą' khagidiinjii dąį' gwinzii t'ii'in lee t'ii'in ?
46:11:014:0	Dinjii vik'iighai' ninjyaa dąį' jyaa doonchy'aa kwaa gaagwiindaii , geh'an gwa'oozhii gwanlii ,
46:11:015:0	gaa tr'injaa vik'iighai' ninjyaa dąį' gwinzii viyiichy'a' , ąįį vik'iighai' viki' noołjik geenjit t'inchy'aa .
46:11:002:1	Ninjigwadhat
46:11:016:0	Gaa geenjit ch'izheedahol'ee nohthan ji' , diikhwan akwat Vit'eegwijyąhchy'aa vitr'igiinkhii zheh kwaii jyaa jyąhts'ą' ginjik eech'oorahtan kwaa t'oonchy'aa .
46:11:017:0	Jii deekhwa'in nakhwaihnyąą gaa sheenjit gwinzii t'akhwa'ya' kwaa , nijin Vit'eegwijyąhchy'aa deekhadhoh'ee geenjit tr'igiinkhii zheh khaihłan neekhwadal dąį' , gwalak gwizhrįh gwinzii t'akhwa'in .
46:11:018:0	Jii tr'ookit nakhwats'ą' gihihkhyaa yiihthan , khaihłan neekhwadal geenjit nakhwats'į' t'igiinchy'aa ąįį deeginyąą gwalak gwik'injihkhit .
46:11:019:0	Kheihłak ǫhłįį kwaa t'ee Vit'eegwijyąhchy'aa vik'iighai' , nakhwatee juu gwinzii t'ii'in nąįį gwizhrįh gogweheechy'aa geenjit t'igii'in .
46:11:020:0	Nijin jyąhts'ą' khaihłan neekhwadal dąį' ninjigwadhat gwinzii nǫhjii t'akhwa'in kwaa .
46:11:021:0	Ch'izhii nąįį ch'ihee'aa gwehkįį nakhwan zhrįh ch'oh'aa ąįįts'ą' , ch'izhii nąįį zhit gwiłts'ik gwiizhit ch'izhii nąįį chan ch'inigiinjik .
46:11:022:0	Nijin ch'ihin'aa ts'ą' ch'ininjyaa geenjit nizheh goo'aii ? Vit'eegwijyąhchy'aa vitr'igiinkhii zheh nihił'ee kwaa ts'ą' dinjii neeshraahchy'aa nąįį chan ts'an oozhii ąhtsii ! Jii geenjit deenahaihjyaa ? Nahooł'ee shǫįįnyąą ? Duuyeh gwik'it gwanlii .
46:11:023:0	K'eegwaadhat vats'an jidii geenoohałchyaa oodhiijik ąįį nats'an ałtsii , K'eegwaadhat Jesus zhat khaa gwantł'eerahahchįį gwehkįį dąį' łųhchy'aa oonjik .
46:11:024:0	Vit'eegwijyąhchy'aa ts'ą' “ Mahsį' , ” nyąą , ts'ą' łeeyiiłnaii ts'ą' jyaa nyąą , “ Jii t'ee shatthąį' , nakhweenjit Vit'eegwijyąhchy'aa antł'eehałchaa . Jii shineehoondaii eenjit jyaa dakhwa'in . ”
46:11:025:0	Ąįį gwik'it ch'igin'al tł'ęę chųų tyah oonjik ts'ą' jyaa nyąą “ Jii chųų tyah t'ee Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'iizhik ąįį k'eejit neegwiłtsąįį ts'ą' jii shadaa nakhweenjit gwats'an hahtsyaa , nijin khwanįį dąį' shininjich'ohtthat . ”
46:11:026:0	Nijin jii łųhchy'aa oh'aa ts'ą' jii chųų tyah ts'an jak chų' khwanįį nyąą dąį' K'eegwaadhat k'ineeheedik gwats'ą' jaghaii niindhat geegahoondak geenjit t'akhwa'in .
46:11:027:0	Nakhwatee ch'ihłak K'eegwaadhat hił'ee kwaa ts'ą' yichųų tyah ts'an jak chų' dinįį gwiizhit yiłųhchy'aa chan a'aa ji' t'ee Christ dee'ya' K'eegwaadhat vatthąį' ts'ą' vadaa haa nehts'į' tr'agwaanduu t'akhwa'in t'oonchy'aa .
46:11:028:0	Ąįįts'ą' gwinzii Vit'eegwijyąhchy'aa vandee ts'ą' jidii dinjii ǫhłįį gaakhwandaii tł'ęę hee K'eegwaadhat vihłuhchy'aa oh'aa ts'ą' vichųų tyah ts'an jak chų' khwanįį .
46:11:029:0	Nijin K'eegwaadhat vats'an łųhchy'aa oh'aa ts'ą' jak chų' akhwanįį gwahoo'ee kwaa dąį' , łųhchy'aa oh'aa ts'ą' jak chų' akhwanįį t'ee gwitee tr'anakhwarilii t'oonchy'aa .
46:11:030:0	Ąįį geh'an nakhwatee lęįį nąįį iłts'ik ts'ą' goot'aii kwaa ts'ą' goolat nąįį niindhat .
46:11:031:0	Gwinzii adak'arahaanjii ji' , Vit'eegwijyąhchy'aa gwitee tr'idiiniheelyaa kwaa t'oonchy'aa .
46:11:032:0	Gaa jii nankat an tr'iheelyaa kwaa geenjit K'eegwaadhat khaiinjich'idiinahthat ts'ą' gwitee tr'idiiniinlii .
46:11:033:0	Ąįįts'ą' nijin K'eegwaadhat ninjigwadhat oh'aa dąį' , shachaa nąįį nihłeenjit nagwadhoo'in .
46:11:034:0	Łyaa nakhwazhit gwiłts'ik ji' , nakhwazheh gwa'an ch'oh'aa , jyąhts'ą' ji' khaihłan neekhwadal dąį' , Vit'eegwijyąhchy'aa gwitee tr'anakhwahahchyaa kwaa geenjit . Ch'adanh gwa'an deegwii'in ąįį nakhwaa nineeshizhii ji' shrigwihihłyaa .
