46:3:001:1	Vit'eegwijyąhchy'aa Vitsyaa Nąįį
46:3:001-002:0	
46:3:001-002:0	Shachaa nąįį , Corinth kwaiik'it gwachoo nakhwaa dhiidii dąį' , zhit dinjii Ch'anky'aa Shroodiinyąą deegoovahnyąą gwik'it googwandaii nąįį khyų' gwik'it nakhwats'ą' giihkhii , jii nankat dinjii nąįį tr'agwaanduu tr'agwah'in k'it gǫhdaii geh'an . Izhit dąį' tth'aii hee gwinzii Vit'eegwijyąhchy'aa Viginjik haakhwandaii kwaa nakhwak'injigwiighit zhit t'aih natsal akhwa'įį geh'an , tr'iinin tsal ch'ahma' ts'ą' geegiihkhii k'it t'anokhwaihnyąą , juk gaa nakhwaa gwik'it goo'aii .
46:3:003:0	Dzaa nankat dinjii nąįį nats'ąą gwagwandaii gwik'it tth'aii gǫhdaii geh'an . Ch'izhii dinjii jidii di'įį ąįį nohthan ts'ą' nihzheedǫǫ'ee geh'an nihłaa tr'agoh'in kwaa ts'ą' tth'aii hee jii nankat gwik'it gǫhdaii gaashandaii , dinjii gwik'injiighit kwaa k'it ohdaa .
46:3:004:0	Nijin nakhwatee ch'ihłee “ Paul vatąįį ihshyaa ” , ts'ą' ch'izhii chan “ dinjii Apollos vatąįį ihshyaa ” nyąą dąį' , jii nankat dinjii nąįį gwik'injiighit kwaa k'it t'akhwa'in t'akhwa'in ! Jyaa dakhwa'ya' shrǫ'
46:3:005:0	Apollos ts'ą' shįį haa juu t'igwinchy'aa nakhwaagwarahaandak , Vit'eegwijyąhchy'aa vitsyaa tr'iinlii ts'ą' tr'ihil'ee kwaa gwizhrįh t'oonchy'aa . Diitee gwagwaanchy'aa ts'ą' jidii gwitr'it K'eegwaadhat diits'an iłtsąįį ąįį eetr'agwarah'in k'iighai' Jesus vik'injuhkhit nakhwariłtsąįį .
46:3:006:0	Shįį tr'ookit nakhwakwaiik'it gwachoh gwizhit Gwandak Nizįį eech'oaałchya' , ts'ą' shįį t'ee gwanzhįh gwit'eiinlii k'it t'ihchy'aa ts'ą' nakhwan chan ąįį gwanzhįh gwit'eiinlii k'it t'ohchy'aa . Apollos ąįį gwandaa gwik'injahohkhit geenjit nakhwats'inyąą ts'ą' gwanzhįh chųų haa nahtraa k'it t'ii'in , gaa Vit'eegwijyąhchy'aa adan zhrįh t'ee ąįį gwanzhįh nahshii t'inchy'aa .
46:3:007:0	Zhit juu gwanzhįh gwit'eiinlii , akwat juu gwanzhįh chųų haa nahtraa nąįį ąįį gwandaa gwigweechyaa kwaa , gaa Vit'eegwijyąhchy'aa ąįį gwanzhįh nahshii geh'an adan zhrįh hil'ee t'inchy'aa .
46:3:008:0	Juu gwanzhįh gwit'eiinlii ts'ą' juu gwanzhįh nahtraa haa nihłaa tr'agwagwah'in t'oonchy'aa . Vit'eegwijyąhchy'aa diitee gwagwaanchy'aa ts'ą' diigwitr'it t'agwarah'ya' geenjit diineegoheekwat .
46:3:009:0	Vit'eegwijyąhchy'aa veenjit khaihłok tr'agwarah'in , ts'ą' nakhwan ąįį Vit'eegwijyąhchy'aa vanan kat gwanzhįh deek'it k'it t'ohchy'aa , ąįįts'ą' chan Vit'eegwijyąhchy'aa vizheh ndak gwarahtsii k'it t'igwii'in .
46:3:010:0	Vit'eegwijyąhchy'aa shats'ą' ch'eiinzhrii geh'an jidii vaatr'agwahaał'yaa shantł'eegwinlii , ąįį haa t'ee zheh dachan haa gwałtsii gwinzii gaashandaii gwik'it zheh vakat ndak goo'aii tr'ookit goołtsąįį . Ąįįtł'ęę t'ee zhit gwitr'it t'agwah'in nąįį giikat ndak gwahahtsyaa . Ąįįts'ą' nakhwateegwagwaanchy'aa nats'ąą zheh vakat ndak gwehee'aa gohtsii gwik'eerahahtyaa gwizhrįh .
46:3:011:0	Vit'eegwijyąhchy'aa Jesus Christ zhrįh k'iighai' neediinahshii , ts'ą' geeghaih ch'ijuk geech'oorahaahchyaa kwaa ! Jesus zheh vaa ndak goo'aii k'it t'inchy'aa .
