46:15:001:1	Christ Neegwiindaii
46:15:001:0	Shachaa nąįį , jii Gwandak Nizįį nakhwats'ą' gwaałtan chy'aa chan nakhwaa neegwahaldak , gwik'iighai' Gwandak Nizįį oohohdal ts'ą' nakhwak'injigwiighit k'iighai' hohtą' ts'ą' nakhwat'aii niint'aii haa nahohthat geenjit .
46:15:002:0	Ąįįt'ee Gwandak Nizįį nakhwats'ą' eech'oaałtan t'ihnyąą . Jii Gwandak Nizįį zhrįh gwiint'aii ohtą' ji' neehohshii t'oonchy'aa . Yeenii łi'deegwidlii haa gwik'injuhkhit kwaa ji' ąįį gwik'injigwiighit izhyaa ohtą' t'akhwa'in .
46:15:003:0	Jii łyaa gwihil'ee goodhiijik ąįį nakhwantł'ęįįłii t'ihnyąą . Dęhtły'aa Choh zhit gwadanakhwatł'oo gwik'it , Christ diitr'agwaanduu eenjit niindhat t'oonchy'aa .
46:15:004:0	Niindhat dąį' giiyaatsii ąįįtł'ęę drin tik ts'ą' nineedhihkhin ts'ą' neegwiindaii t'inchy'aa . Dęhtły'aa Choh zhit gwadanakhwatł'oo gwik'it ,
46:15:005:0	Peter ts'ą' tr'ookit vigweelkįį , ąįįtł'ęę Tr'ihił'e' twelve ( 12 ) nąįį ts'ą' vigweelkįį .
46:15:006:0	Ąįįtł'ęę Christ k'injiighit five hundred andaa t'ąąnchy'aa nąįį chan ts'ą' vigweelkįį , goolat nąįį tth'aii gwandaii gaa goolat nąįį chan niinjik .
46:15:007:0	Ąįįtł'ęę dachaa James ts'ą' chan vigweelkįį , gwintsal gwahaadhat tł'ęę zhit Tr'ihil'e' nąįį datthak ts'ą' vigweelkįį .
46:15:008:0	Ndaagwąąn'ąį' dąį' shįį chan shats'ą' vigwiilkįį ts'ą' Tr'ihił'e' shiłtsąįį , sheech'eechyaa kwaa gaa shats'ą' vigweelkįį , nijin shigweheelyaa goo'aii ąįį shagoodlit kwaa k'it t'oonchy'aa .
46:15:009:0	Zhit juu Tr'ihił'e' nąįį shandaa gooveegoo'aii t'iginchy'aa , Tr'ihił'e' łyaa sharoonyą' k'it t'ihchy'aa kwaa . Gwehkįį dąį' Vit'eegwijyąhchy'aa vitr'igiinkhii zheh gwizhit gwik'injiighit nąįį khaiinjich'oołthat geh'an .
46:15:010:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii k'iighai' jidii ihłii ąįį ihłii t'ihchy'aa , ts'ą' ąįį ch'eegoonzhrįį shantł'eegwiin'ąįį an dhidlit kwaa t'inchy'aa . Zhit ch'izhii Tr'ihił'e' nąįį andaa gwitr'it t'agwał'ya' , shįį shakhai' t'ishi'ya' kwaa gaa Vit'eegwijyąhchy'aa vich'eegoonzhrii shaatr'agwah'in k'iighai' t'ishi'in .
46:15:002:1	Juu Gwik'injiighit Nąįį Neegweheendaii
46:15:011:0	Jii jidii geenakhwaałtan ąįį shįį shats'an akwat ch'izhii Tr'ihił'e' goots'an gootth'ak haa datthak nakhwats'ą' geech'oorahtan t'igwii'in , ts'ą' jii jidii geenakhwaraahtan ąįį t'ee juk gwik'injuhkhit t'akhwa'in .
46:15:012:0	Jii gwandak t'ee Christ niindhat ts'ą' neegwiindaii gwinyąą gwizhit jaghaii nakhwatee nakhwalat nąįį juu niindhat duuyeh neegwiindaii ginyąą ?
46:15:013:0	Ąįį łi'deegwidlii ji' t'ee Christ niindhat gwats'an neegwiindaii gwinyąą ąįį zhyaa t'igwinyąą łee .
46:15:014:0	Christ niindhat gwats'an neegwiindaii kwaa ji' , k'eegwiichy'aa geenjit nakhwaa gwarahaandak gwakwaa ts'ą' gwik'injahohkhit chan gweheekwaa .
46:15:015:0	Ąįį googaa gwandaa ts'ą' Christ niindhat gwats'an neegwiindaii kwaa ji' , Vit'eegwijyąhchy'aa Christ eeneegwiłdaii gwinyąą ąįį tr'oots'it t'igwinyąą łee , gaa juu niindhat nąįį duuyeh neegwiindaii dohnyąą ąįį łyaa t'ohnyąą ji' , Vit'eegwijyąhchy'aa , Christ chan niindhat gwats'an eeneegwiłdaii kwaa t'oonchy'aa .
46:15:016:0	Niinjik nąįį neegwiindaii kwaa ji' , Christ chan neegwiindaii kwaa t'oonchy'aa .
46:15:017:0	Christ neegwiindaii kwaa ji' , nakhwagwik'injigwiighit ąįį zhyaa t'oonchy'aa łee , ąįįts'ą' tth'aii hee nakhwatr'agwaanduu gwanlii gwats'ą' nakhwaa tr'igweendaii t'ohchy'aa łee .
46:15:018:0	Ąįįts'ą' chan zhit juu Christ k'injiighit nąįį nigiinjik nąįį chan tth'aii hee gootr'agwaanduu gwanlii ts'ą' gavaatr'igweendaii gwinyąą t'igwinyąą .
46:15:019:0	Yeendaa ąįį nakwaa , gaa juk gwarandaii gwizhit Christ neediihahshii geenjit vit'injiraahchy'aa ji' t'ee dinjii nąįį datthak andaa diineenjit tr'igwigwidii ts'ąįį gweheezyaa .
46:15:020:0	Christ adan tr'ookit niindhat gwats'an neegwiindaii łi'didlii haa t'igwinyąą , ąįį gwik'it juu niindhat nąįį giłchųų t'iginchy'aa ts'ą' geedan chan neegwigweheendaii t'oonchy'aa .
46:15:021:0	Dinjii Adam , oozhii ąįį tr'ookit dąį' veh'an niriindhat goodlit , ąįį gwik'it dinjii Christ oozhii ąįį veh'an neegwireheendaii .
46:15:022:0	Dinjii Adam oozhii ąįį vats'an t'iriinjil geh'an vaa nireheedhaa , ąįį gwik'it Christ vaa kheihłak tr'iinlii geh'an neegwireheendaii t'oonchy'aa .
46:15:023:0	Gaa nakhwatee gwagwaanchy'aa ts'ą' nijin neegahǫhdaii goo'aii ąįį izhit t'ee neegahǫhdaii t'oonchy'aa . Christ tr'ookit neegwiindaii ąįįtł'ęę nijin nineezhii ji' juu Christ k'injiighit nąįį neegweheendaii t'oonchy'aa .
