46:4:001:1	Christ eenjit Tr'ihił'e' Nąįį
46:4:001:0	Christ vitsyaa tr'iinlii nąįį veenjit gwitr'it t'agwaroh'ya' zhrįh diinohnyąą . Vit'eegwijyąhchy'aa yeenii dinjii nąįį Łi'deegwidlii geegoh'it goo'aii chy'aa juk dinjii nąįį haa gwarahaandak geenjit diinantł'eegwiinlii .
46:4:002:0	Ąįįts'ą' chan ch'itsyaa nąįį juu goots'ą' k'eedeegwaadhat nąįį łyaa k'eegwagwahahthat gwizhrįh goo'aii .
46:4:003:0	Duulee Vit'eegwijyąhchy'aa veenjit gwitr'it gwinzii t'ishizhik nihthan . Duulee chan gwinzii t'ishizhik nohthan . Gaa nats'ahts'ą' ninjich'ǫhthat gaa gwinzii , juu dinjii nąįį datthak nats'ahts'ą' shininjich'agahthat gaa gwinzii . Shįį gaa nats'ąą shigwitr'it zhit doonchy'aa gaashandaii kwaa .
46:4:004:0	Zhit gwitr'it shantłeegwin'ąįį shiyinji' zhit gwinzii t'ishi'ya' gaashandaii , gaa ąįį khit ts'ą' gwinzii t'ishi'in t'agwaihnyąą kwaa . K'eegwaadhat zhrįh nats'ąą shigwitr'it t'agwał'ya' heenjyaa t'oonchy'aa .
46:4:005:0	Ch'izhii dinjii nąįį jidii gwitr'it Vit'eegwijyąhchy'aa goovantł'eiin'ąįį gwinzii t'igii'in kwaa dohnyą' shrǫ' , juk jyaa dagweheenjyaa geenjit goo'aii kwaa gaa yeendaa Ch'aroahkat Drin ji' jyaa digweheenjyaa geenjit gwehee'aa t'oonchy'aa . K'eegwaadhat nineezhii ji' , adan ąįį juu gwinzii akwat gwinzii kwaa t'iizhik heenjyaa t'oonchy'aa . Nineezhii ji' nijin tǫǫ goo'aii ąįį gach'ahahdrii ts'ą' jidii geegoh'it goo'aii ąįį gwizhrįh neegwehee'aa . Ąįįt'ee dinjii vidrii zhit doonchy'aa kwaii gwizhrįh nagwahaatth'aa . Izhit ji' dinjii nąįį googwitr'it nizįį geenjit Vit'eegwijyąhchy'aa gooveenjihah'aa ts'ą' jyaa gavaahaanjyaa .
46:4:006:0	Shachaa nąįį , shįį ts'ą' Apollos eenookhwaagwaldak t'ihnyąą gwik'iighai' gwagohoo'ee geenjit . Diininjich'ohthat dąį' , jii ginjik deegwinyąą t'igwinyąą gaakhwandaii : Vit'eegwijyąhchy'aa Vidęhtły'aa Choh Zhit , “ Dinjii ch'ihłee gaa ch'izhii andaa tr'ihkhit hil'ee dohnyą' shrǫ' ! ” Ąįį gwik'it zhit juu geenookhwahtan ąįį ch'izhii geech'ǫąąhtan andaa nizįį hohjyaa kwaa goo'aii .
46:4:007:0	Ch'izhii dinjii nąįį gwiizųų tr'agwah'in dohnyą' shrǫ' , juu goovandaa hil'ee niłtsąįį ? Jidii khwa'įį ąįį Vit'eegwijyąhchy'aa ts'an datthak oodhoojik t'oonchy'aa . Vit'eegwijyąhchy'aa vats'an oodhoojik ji' jaghaii vaa ideech'oh'in ?
46:4:008:0	Ch'ihłee gaa geenakhwahahchyaa kwaa k'it t'akhwa'in . Jidii Vit'eegwijyąhchy'aa di'įį datthak khwa'įį nohthan ? Ch'anky'aa Shroodiinyąą ts'an jidii gwinzii datthak ch'adąį' hee khwa'įį nohthan . Ch'anky'aa Shroodiinyąą nizhit niint'aii ts'ą' kheihkwaii choh ( King ) k'it nakhweegoo'aii k'it t'ohthan . Ąįįts'ą' diikhwan tr'ihil'ee kwaa ts'ą' diit'ohchy'aa kwaa nohthan . Łyaa kheihkwaii dhoodlit ji' nakhwoihnyąą , jyaa dakhwazhit ji' diikhwan chan nakhwaa kheihkwaii tr'iheelyaa .
46:4:009:0	Jii jyąhts'ą' t'oonchy'aa gwich'in nihthan . Vit'eegwijyąhchy'aa ąįį juu Tr'ihił'e' nąįį gihil'ee kwaa ts'ą' gwizhrįh nagoovinlii goorihił'ee kwaa k'it t'oonchy'aa , ts'ą' oo'at nijin dinjii tr'aghan gwa'an nidiireheelyaa , izhit datthak gwizhrįh tr'iilk'įį gwizhit diirahahkhwaa . Deediireheelyaa li' geenjit jii nankat dinjii nąįį aakin diigaa'įį ts'ą' Zheekat gwich'in datthak nąįį gaa aakin diigaa'įį .
46:4:010:0	Dinjii nąįį diikhwan tr'igwirinjik ts'ą' tr'ąąkhii geh'an Christ veenjit tr'agwarah'in diigoonyaa , gaa nakhwan ąįį Christ vaa kheihłak ǫhłįį geh'an , łyaa nakhwagwizhi' gwanlii nohthan . Jii nankat dinjii nąįį k'eegwiichy'aa t'igwehee'yaa geenjit diiginjik t'aih kwaa diigoonyaa . Gaa nakhwan ąįį Vit'eegwijyąhchy'aa vats'an t'aih tr'ii'įį dohnyąą , ts'ą' dinjii nąįį nakhwahił'ee . Gwiizhit diikhwan ąįį tr'ihil'ee kwaa diigoonyaa .
46:4:011:0	Juk gwats'ą' datthak gwinlęįį chan diizhit gwahts'ik , ts'ą' gwinlęįį chan chųų tr'ahłįį , gwiizhit gwach'aa ch'aa zhrįh naraazhii , dinjii nąįį chan daganli' haa diigahgwat , ts'ą' nankat neerihiidal dąį' diidehk'it gwinzii gaa gwakwaa .
46:4:012:0	Diinanli' haa gwiint'aii gwitr'it t'agwarah'in , nijin dinjii gwiizųų diits'ą' ginkhii dąį' , googaa diikhwan ąįį goots'ą' gwinzii gireheekhyaa goo'aii . Nijin dinjii diits'ą' iizųų gaa nihk'it izhyaa gwaraah'in .
46:4:013:0	Dinjii diits'ą' gwiizųų ginkhii dąį' , ch'eeshroonchy'aa haa diits'ą' goohkhii . Juk googaa dinjii zhyaa giilį' diinoonyąą ts'ą' gwintł'oo chan diigihił'ee kwaa .
