46:9:001:1	Tr'ihił'ee Nilii Deehee'yaa Goo'aii
46:9:001:0	Tr'ihił'e' ihłii ts'ą' ch'adanh gwa'an tr'agwał'in gwat'aałchy'aa kwaa ts'ą' nakhwan ąįį tr'igiinkhii zheh gwats'an shats'ahohjyaa goo'aii t'oonchy'aa . Diik'eegwaadhat Jesus shandee haa nał'ya' . Nakhwan t'ee K'eegwaadhat vats'ą' nakhwagwaałkįį t'oonchy'aa ! Nakhwan t'ee gwitee gwats'an K'eegwaadhat k'injohkhit nakhwadhałtsąįį .
46:9:002:0	Dinjii ch'izhii nąįį Tr'ihił'e' shagoonyąą kwaa ji' gaa nakhwan ąįį jyąhts'ą' shininjich'ohohthat kwaa goo'aii . K'eegwaadhat vaa nohthat geh'an nakhwan Tr'ihił'e' ihłii gaakhwandaii .
46:9:003:0	Nijin dinjii nąįį Tr'ihił'e' ihłii kwaa shagahnyąą dąį' , jii jyąhts'ą' t'ee goodii giihkhii t'oonchy'aa .
46:9:004:0	Nakhwan ts'ą' ch'izhii tr'igiinkhii zheh kwaii Barnabas , shįį haa diigwitr'it eenjit shih ts'ą' chųų haa diinantł'eehohchak goo'aii .
46:9:005:0	Ch'izhii Tr'ihił'e' nąįį ts'ą' K'eegwaadhat Jesus vachaa nąįį ts'ą' Peter haa deegee'ya' gwik'it t'igwehee'yaa geenjit goo'aii t'oonchy'aa , dii'at gwik'injiighit gwanlii ji' adahaa k'eerahahchik geenjit goo'aii .
46:9:006:0	Akwat Barnabas , shįį haa K'eegwaadhat veenjit tr'agwarah'in gwiizhit gwireheendaii geenjit tr'agwarahah'yaa lee t'oonchy'aa ?
46:9:007:0	Niveet'ah'in giinlii geenjit googwarookwat goo'aii . Dinjii gwanzhįh nahshii nąįį khit giits'an jak ga'aa t'oonchy'aa , ts'ą' divii k'ąąhtii nąįį khit chan digidivii ts'an aak'ii t'ok giheenjyaa t'oonchy'aa .
46:9:008:0	Ąįį geh'an Law zhit jyaa digwinyąą , Drin gwit'eegwaanchy'aa deegwii'in gwatsal gwalak zhrįh t'igwii'in kwaa .
46:9:009:0	Moses va-law kat jyaa digwinyąą , “ Tł'ooli' ( wheat ) nizįį ts'ą' iizųų haa nehtee tr'ihiinlyaa geenjit aak'ii ( Ox ) vighit gwatł'an dach'ohchaa shrǫ' gwinyąą ! ” Jii Vit'eegwijyąhchy'aa aak'ii ( Oxen ) kwaii eenjit ninjich'adhat zhrįh lee t'inyąą ?
46:9:010:0	Jyaanyąą dąį' , diikhwan lee t'idiinahnyąą ? Aahą' , diikhwan diineenjit gwadąąntł'oo t'inchy'aa . Juu gwanzhįh eenjit khagwiighit ts'ą' gwanzhįh nahshii ąįį yalak ooheendal geh'an shoh haa geetr'agwagwah'in t'igii'in .
