46:6:001:1	Gwik'injiighit , Ch'izhii Gwik'injiighit Nąįį Ch'aroahkat Zheh Nihdąhchįį
46:6:001:0	Nijin nakhwatee ch'ihłee ch'izhii gwik'injiighit haa gwinzii gwił'ąįį kwaa ji' , zhit ch'aroahkat zheh dinjii neenjit shrigweheelyaa ąįį gwik'injiighit kwaa vats'ą' hoiinzhi' shrǫ' . Gaa juu gwik'injiighit nąįį gwinzii t'ohnyąą ji' oohkat .
46:6:002:0	Yeendaa nan ndaanąą'ąį' ji' gwik'injiighit nąįį t'ee jii nankat dinjii nąįį goohahkat t'oonchy'aa gaakhwandaii ? Jii nankat gwidinji' nąįį goots'ą' k'eegwandhat ji' zhit gwa'an gwintsii nakhweenjit zhyaa k'it t'igweheechy'aa gwiizhit jii nankat jidii tsal shreegahohłyaa geenjit gaa gohthan kwaa .
46:6:003:0	Ch'aroahkat drin ji' zheekat gwich'in iizųų dhidlit nąįį gaa tr'oohahkat t'oonchy'aa gaakhwandaii ? Zheekat gwich'in nąįį gaa tr'oohahkat łee akwat jii nankat datthak nihzheedagąąn'ee gaa shrigweheelyaa ąįį gwintsal .
46:6:004:0	Nakhwatee gwik'injiighit gwinzii gwił'ąįį kwaa ji' , juu gwintsii veegoo'aii kwaa nąįį ji' gaa , nakhweenjit shrigweheelyaa .
46:6:005:0	Jyąhts'ą' nakhwats'ą' gihkhii geh'an ada'oozhii ǫhłįį , nakhwatee ch'ihłak goonzhįį gwizhrįh t'oonchy'aa , gwik'injiighit neekwaii nąįį nihzheedagąąn'ee ji' nihłaa shrigwigweheelyaa gwizhrįh goo'aii t'oonchy'aa .
46:6:006:0	Ąįį googaa gwik'injiighit ch'ihłak ch'aroahkat zheh nehee dąį' juu gwik'injiighit kwaa nąįį ts'ą' nadhat .
46:6:007:0	Zhit juu ch'aroahkat łi'didlii nahnyąą gaa Vit'eegwijyąhchy'aa vandee zhit gwik'injiighit ch'aroahkat zheh nąhchįį geh'an gwiizųų t'ini'in . Ch'izhii gwik'injiighit nąįį nats'ą' gwiizųų t'igiizhit ji' ts'ąįį gwandaa gwiizųų , ch'agoahkat ts'ą' haazhii zhit gwiizųų t'ishizhit diinyąą ąįį gwinzii . Dinjii gwik'injiighit nats'an ch'aan'įį ji' yu' ? Vits'į' neeyuunjii shrǫ' gaa zhyaa vats'ą' akhoiinyąą ts'ąįį gwinzii .
46:6:008:0	Ąįį gwizhit nakhwalat nąįį nihts'ą' gwiizųų t'igii'in , ts'ą' ch'izhii nąįį ts'an chan ch'agan'įį . Ąįį juu jyaa dii'in t'ee nakhwatee gwik'injiighit ch'ihłee t'ii'in . Jyąhts'ą' łyaa gwiizųų .
46:6:009:0	Dinjii tr'agwaanduu vigwitr'it gwanlii nąįį yeendaa ji' zheekat gwizhit duuyeh Vit'eegwijyąhchy'aa haa nadhat ts'ą' yaa k'eedeegwaadhat t'oonchy'aa . Geeghaih ch'ijuk naagwaraandak ji' gwik'injuhkhit shrǫ' ! Juu dinjii akwat tr'injaa haa zhyaa ch'aa'iłchųų nąįį ts'ą' ch'ik'itiltsį' ts'ą' khagidiinjii nąįį chan ts'ą' juu geedhidii gaa va'at akwat vakai' nilii kwaa nąįį haa dhichįį nąįį t'aihnyąą , dinjii akwat tsyaa tsal haa ch'izhii dinjii haa gaachįį nąįį chan ,
46:6:010:0	Ch'an'įį nąįį , gwadal lęįį ashoo'į' niindhan nąįį , ts'ą' ch'anagahoonį' gwizhrįh k'it t'inchy'aa nąįį , ts'ą' gwiizųų ch'izhii dinjii eeginkhii nąįį , ts'ą' ch'izhii dinjii tsint'ahkaii haa yagwadal oonjii nąįį datthak duuyeh yeendaa ji' Vit'eegwijyąhchy'aa haa giilk'ii .
46:6:002:1	Deekhwa'in Zhit Vit'eegwijyąhchy'aa Viyinjiihoh'ee
46:6:011:0	Christ , vik'injahohkhit gwehkįį dąį' nakhwalat nąįį jyaa ts'ą' gwiizųų t'agwah'ya' . Gaa Vit'eegwijyąhchy'aa nakhwatr'agwaanduu oo'an gwahaadlii . Shroodiinyąą nakhwiłtsąįį , ts'ą' viinyą' ts'ą' shoo dhoodlit . K'eegwaadhat Jesus Christ dee'ya' k'iighai' ts'ą' Vit'eegwijyąhchy'aa , Ch'anky'aa Shroodiinyąą k'iighai' nakhweenjit jyaa diizhik .
46:6:012:0	Nakhwalat nąįį “ Gwik'injihkhit geh'an deesho'ya' nihthan khan gwik'it t'ishi'ya' , ” ginyąą , deegoo'ya' gwiindhan khan gwik'it t'igwehee'yaa gaa geetee hee ąįį deegoo'ya' gwiindhan ąįį gweheezyaa geenjit t'oonchy'aa kwaa . Nakhwalat nąįį “ Jidii t'asho'ya' nihthan datthak khan gwik'it t'ishi'yaa , ” gaa shįį Paul ihłii ąįį jidii nihthan datthak duuyeh shats'ą' k'eedeegwaadhat .
46:6:013:0	Nakhwalat nąįį , “ Diizhit gwiłts'ik dąį' ch'ara'aa gaa gwinzii ! ” ginyąą , ąįį gwik'it “ Dinjii haa tr'oochį' gwiindhan dąį' , jyaa digwii'in gaa gwinzii , ” ginyąą gaa jyaa dagoovaihnyąą ; “ Ąįį gwiindhan kwaii ch'ihłan drin ji' datthak Vit'eegwijyąhchy'aa ndaagwąąn'ąį' gwahahtsyaa t'oonchy'aa . Ąįįts'ą' juu veeraadii kwaa haa tr'aachįį chan gwiizųų , Vit'eegwijyąhchy'aa diitthąį' haa K'eegwaadhat Jesus vitsyaa tr'iheelyaa eenjit diiniłtsąįį . Diitthąį' t'ee K'eegwaadhat vats'an t'inchy'aa .
46:6:014:0	K'eegwaadhat niindhat dąį' Vit'eegwijyąhchy'aa vat'aii haa kheekee'ąįį . Diikhwan chan niriindhat tł'ęę khakeediirehee'aa .
46:6:015:0	Nijin Christ vaa ch'ihłak ǫhłįį dąį' Christ vatthąį' ts'ą' natthąį' haa ch'ihłak ǫhłįį t'oonchy'aa gaakhwandaii . Izhit gaa łyaa t'igwinyąą ji' , jii shatthąį' , Jesus Christ haa ch'ihłak nilii ąįį vaa tr'injaa laraa eenjit ch'aadhichįį ąįį vaahihchyaa lee doonchy'aa ? Łyaa zhyaa duuyeh goo'aii !
46:6:016:0	Tr'injaa laraa eenjit ch'aadhichįį vaadhinchįį ji' vaa natthąį' ch'ihłak ilik gaanandaii , jyąhts'ą' Dęhtły'aa Choh zhit gwadanakhwatł'oo ; “ Dinjii , tr'injaa haa nihłeegǫǫndak dąį' da'at haa inchi' tł'ęę ch'ihłak gaadlit . ”
46:6:017:0	Juu K'eegwaadhat Jesus haa ch'ihłak nilii t'ee danky'aa ts'ą' Jesus Vach'anky'aa Shroodiinyąą haa ch'ihłak ilik t'oonchy'aa .
46:6:018:0	Geeghaih dinjii akwat tr'injaa haa dhinchįį kwaa gaa na'at akwat nakąį' zhrįh haa dhinchįį ! Zhit ch'izhii , tr'agwaanduu t'agwarah'in kwaii datthak diitthąį' iizųų ąhtsii kwaa . Gaa nijin na'at akwat nakąį' nilii kwaa haa dhinchįį dąį' natthąį' iizųų ąhtsii t'ini'in .
46:6:019:0	Natthąį' t'ee Ch'anky'aa Shroodiinyąą yizhit gwich'įį gaanandaii . Vit'eegwijyąhchy'aa nakhwats'ą' yihił'e' t'inchy'aa . Vit'eegwijyąhchy'aa vats'an ǫhłįį t'oonchy'aa , nan natthąį' ts'ą' k'eegwandhat kwaa .
