46:10:001:1	Ch'ik'itiltsį' Gwits'į' Gwak'ǫǫhtii
46:10:001:0	Shachaa nąįį , jii ganoondaii nakhwaihnyąą , yeenii diilak nąįį Moses tąįį geedaa dąį' deegiizhit gaanoondaii , zheek'ǫh goots'ii daadhal tąįį geedaa ts'ą' chųų choh daatsik oozhii ąįį gwatł'an gwinzii niinjil Vit'eegwijyąhchy'aa gook'ąąhtii ts'ą' t'igwii'in .
46:10:002:0	Moses tąįį geedaa geh'an zheek'ǫh goots'ii daadhal tąįį giinjil ts'ą' chųų choh daatsik tł'an chųų goots'an dhidlit k'it t'oonchy'aa ts'ą' giinjil .
46:10:003:0	Nan gwinjir gwa'an giilk'ii gwiizhit datthak ts'ą' Vit'eegwijyąhchy'aa k'iighai' zheekat gwats'an shih shroodiinyąą gin'al ,
46:10:004:0	ts'ą' Vit'eegwijyąhchy'aa k'iighai' zheekat gwats'an chųų shroodiinyąą chan geenį' . Ąįį kii ts'an chųų shroodiinyąą geenį' ąįį goovaahaazhii , ąįįt'ee Christ t'inchy'aa .
46:10:005:0	Ąįį googaa , Vit'eegwijyąhchy'aa khaiinjii datthak gooshoo ahłįį kwaa , ts'ą' gooch'ichį' nangwinjir gwa'an an-nihłik hee goochį' dhidlii .
46:10:006:0	Jii datthak t'ee tr'agwaanduu gwats'ą' dinjireheeghit kwaa gwits'į' t'igwii'in .
46:10:007:0	Goolat nąįį chan ch'ik'itiltsį' ts'ą' khagidiinjii gwik'it t'akhwa'ya' shrǫ' . Dęhtły'aa Choh zhit t'igwinyąą “ Ch'ik'itiltsį' gihił'ee geenjit dinjii nąįį ch'igiin'al ąįįtł'ęę ch'igildzyaa . ”
46:10:008:0	Diikai' akwat dii'at nilii kwaa nąįį haa tr'oochį' shrǫ' , zhat dąį' nakhwalat nąįį jyaa dii'in gwik'it , ąįį geh'an drin ch'ihłak gwizhit 23 thousand nąįį Vit'eegwijyąhchy'aa an gooviłtsąįį .
46:10:009:0	K'eegwaadhat chan deeheenjyaa li' geenjit zhyaa k'eegwiichy'aa t'igwee'ya' kwaa , yeenii diilak lat nąįį jyaa diizhit akhai' gyųų choh iizųų goovinghan .
46:10:010:0	Diinehk'aa t'igwii'in geenjit k'eegwiichy'aa t'agǫǫnyą' shrǫ' , yeenii diilak lat nąįį t'iinyą' gwik'it . Ąįį geh'an Vit'eegwijyąhchy'aa Zheekat Gwich'in gwats'an ch'ichį' goohahkhwaa geenjit goots'ą' hił'e' .
46:10:011:0	Ndaagwahąą'aa gwats'ą' nahgwan geh'an diikhwan ąįįts'ą' ch'izhii nąįį jii kwaii gwik'it t'igwiizhit , ąįį gwik'it t'igwehee'yaa kwaa geenjit gwadanakhwatł'oo .
46:10:012:0	Gwinzii K'eegwaadhat vaa k'igwąą'ee nihthat nindhan ji' khan nit'eehaandhal gwits'į' gwak'ąąhtii .
46:10:013:0	Jii jidii gwak'ǫǫdhinzhii t'ee dinjii nąįį gwak'oojil t'oonchy'aa . Gaa Vit'eegwijyąhchy'aa deeshi'yaa nyąą ąįį gwik'it t'ihee'yaa , duuyeh nandaa t'oonchy'aa ąįį gwik'it teedhinkhaii gwahtsii t'inchy'aa . Nijin gwiizųų t'asho'ya' niindhan ji' , gihłeehinkhaa geenjit t'aih nantł'eehee'aa , gwik'it t'inihi'yaa kwaa geenjit .
46:10:014:0	Shachaa nakhweet'ihthan nąįį , ch'ik'itiltsį' ts'ą' khadagohjyaa shrǫ' .
46:10:015:0	Dinjii vigwizhi' gwanlii k'it nakhwats'ą' gihkhii , ąįį gwik'iighai' gwinzii akwat gwiizųų t'ihnyąą ji' geenjit gininjich'ohthat .
46:10:016:0	Gwireheendaii geenjit Christ diineenjit niindhat geh'an , ninjigwadhat chųų tyah , Vit'eegwijyąhchy'aa mahsį' gwinyąą t'ee jii chųų tyah zhit jak chų' tr'iinįį ąįį K'eegwaadhat vadaa nihtee neerahakat t'igwii'in . Ąįįts'ą' łųhchy'aa gadaraanzhuu ts'ą' tr'a'aa t'ee Christ vatthąį' nihtee neerahahchak t'igwii'in .
46:10:017:0	Tr'iinlęįį gaa , łųhchy'aa ch'ihłak zhrįh nehtee neerahahchak , ąįį geh'an kheihłak tr'inlii k'it t'oonchy'aa .
46:10:018:0	Nijin Israel gwich'in nąįį Vit'eegwijyąhchy'aa vats'a' ataiinjii tr'ahtsii ts'an ch'a'aa dąį' Vit'eegwijyąhchy'aa haa kheihłak giinlii .
46:10:019:0	Ch'ik'itiltsį' akwat jidii shih ch'ik'itiltsį' antłeerahchak nik'ee geenjit gwihil'ee lee t'oonchy'aa ?
46:10:020:0	Nakwaa , gwik'injiighit kwaa nąįį ch'ik'itiltsį' ts'ą' ataiinjii tr'ahtsii deek'it ( Altar ) kat gwantł'eech'agahchak dąį' , Vit'eegwijyąhchy'aa ts'ą' t'igii'in kwaa gaa ch'anky'aa iizųų ts'ą' t'igii'in , ąįįts'ą' ch'anky'aa iizųų nąįį haa ǫhłį' shrǫ' nakhwaihnyąą t'ihnyąą .
46:10:021:0	Duuyeh K'eegwaadhat vichųų tyah ts'an chųų ninįį gwizhit ch'anky'aa iizųų vichųų tyah ts'an chan jak chų' ninįį t'oonchy'aa . K'eegwaadhat vaa ch'in'aa gwizhit ch'anky'aa iizųų chan haa neech'iin'aa kwaa t'oonchy'aa .
46:10:022:0	K'eegwaadhat vik'įį gwarohtsyaa nohthan ? Vandaa t'araaht'aii nohthan ?
