19:37:001:1	Doo yá'ádajíshóonii bee dazdoodzihii ádin
19:37:001:0	Doo yá'át'ééhgóó ádaaníiłii biniinaa t'áadoo bik'ee ádił náhodílchiłí , doo ákǫ́ǫ́ ádaat'íinii t'áadoo yiníłch'į́dí .
19:37:002:0	Háálá éí t'áá hahígo tł'oh bidi'doolzhih nahalingo áádóó ch'il dit'ódí dadínóołnah nahalingo ádooldįįł .
19:37:003:0	Bóhólníihii baa dzíínílíigo yá'át'éehgo áánííł ; kéyahgi kééhót'į́į doo , áádóó ba'ahódlíigo na'altso' doo .
19:37:004:0	Áádóó ałdó' Bóhólníihii baa nił nihoozhǫǫh , áko nijéí bee bídin nílíinii neidiyii'aah doo .
19:37:005:0	Díníyáágóó Bóhólníihii baa diní'aah , áádóó ałdó' baa dzíínílí , áko t'áadoo le'é ná yi'oolíił doo .
19:37:006:0	T'áá ákogi ánít'éhígíí bee adoodlał nahalingo áyoolíił doo , áádóó ałné'é'áahgo adinídínígíí nahalingo t'áá ákogi ááníłígíí ná bééhózingo áyósin doo .
19:37:007:0	Bóhólníihii bee háánílyį́į́h , áádóó ha'íínílníigo binahjį' áhodíínílzée'go biba' sínídá ; diné t'áá ałtsoní boosánígíí éí doo yá'át'ééhgóó nahagizgo t'áadoo biniinaa ádił náhodílchiłí .
19:37:008:0	T'áadoo náháchį'í índa hashké nániidzįįhii yóó'adí'aah . T'áadoo ádił náhodílchiłí ; éí doo yá'áshónígi ándoolííł .
19:37:009:0	Háálá doo yá'áshǫ́ǫ́góó ádaaníiłii ádooldįįł , nidi Bóhólníihii yiba' ádaat'éii éí nahasdzáán daabíí' dooleeł .
19:37:010:0	Háálá t'óó nááhodoo'náá'ígo diné doo yá'áshóonii ádin doo ; t'áá aaníí , kééhat'į́į́ nít'éé' yę́ęgi hazhó'ó hádííní'į́į́' , nidi ádin doo .
19:37:011:0	Nidi a'ohgo ádaat'éii nahasdzáán daabíí' dooleeł , áádóó t'áá ałtsoní bee hasht'ehodít'é baa bił nidahoozhǫǫh doo .
19:37:012:0	Diné doo yá'áshóonii éí diné t'áá ákogi ááníiłii yinahagiz , áádóó yich'į' biwoo' ahíidiłk'ash ;
19:37:013:0	éí Bóhólníihii t'óó haidloh doo , háálá éí bijį́ há nihonít'i' dooígíí bił bééhózin .
19:37:014:0	Badahojoobá'íii índa hojooba' nahas'áanii atídeidoolííł áádóó diné t'áá ákogi ádaaníiłii nideidoołtsił biniyé diné doo yá'ádaashóonii be'ełtįįtł'óól nídeidiłts'ǫ' índa diltłish hadayiiznil .
19:37:015:0	Dabidiltłish dabijéí baa anídadoojił , áádóó bida'ałtį́į́' k'ídahidooltǫǫł .
19:37:016:0	T'óó ahojíyóí doo yá'ádajíshóonii bidziilgo dah da'jílée nidi , diné t'áá ákogi ááníiłii t'įįhdígo dah oolééłjígo agháago yá'át'ééh .
19:37:017:0	Háálá diné doo yá'ádaashóonii yee dabidziilígíí dahidooltǫǫł , nidi Bóhólníihii éí diné t'áá ákogi ádaat'éii naazį́įgo áyósin .
19:37:018:0	T'áá ákogi ádaat'éii bídayéełkaahígíí Bóhólníihii bił bééhózin , áádóó bíí' dadooleełii éí hool'áágóó hólǫ́ǫ doo .
19:37:019:0	Doo yá'áshǫ́ǫ́góó áhooníiłgo doo t'óó baa yáhásinígi ádabidi'doolníił da ; dahodichingo yidiiłkáah nidi , hwiih danilį́į doo .
19:37:020:0	Nidi diné doo yá'ádaashóonii ádoodįįł ; Bóhólníihii bi'ana'í éí dibé yázhí bik'ah nááhániihii nahalingo ádooldįįł ; łid nahalingo yóó'ahildóoh doo .
19:37:021:0	Diné doo yá'áshóonii béeso ba'a'niłgo doo nina'ódlééł át'ée da , nidi diné t'áá ákogi ááníiłii éí bił hadlee' áádóó jooba' .
19:37:022:0	Jó , Bóhólníihii hak'idajidlíii éí nahasdzáán daahóó' dooleeł , nidi Bóhólníihii hóyée'go há hahaasdzíi'ii éí ádazhdoodįįł .
19:37:023:0	Bóhólníihii éí diné nididooltałgóó yiyoołááł , áádóó joogááłgóó Bóhólníihii haa bił hózhǫ́ .
19:37:024:0	Azhą́ jideezgo' nidi , doo tsé'yaa azhdoogoh da , háálá Bóhólníihii de áhósin .
19:37:025:0	Ániid naasháá nít'éé' ; k'ad éí hasistih , nidi t'áá ákogi ááníiłii t'ah doo yóó'abi'dit'aahgo yiistséeh da , índa ba'áłchíní t'ah doo bááh yókeedgo yiistséeh da .
19:37:026:0	T'áá áłahjį' jooba' áádóó a'iinííł , índa ba'áłchíní bik'idahojidlí .
19:37:027:0	Doo yá'ádaashóonii bits'ánínáahgo yá'át'éehgo áánííł , áko hool'áágóó hinínáa doo .
19:37:028:0	Háálá Bóhólníihii éí t'áá ákogi ááníiłii ayóó'áyó'ní , áádóó bidiyį́į́' danilíinii doo yóó'iidi'aah da . Hool'áágóó baa áháyą́ą doo , nidi doo yá'áshóonii ba'áłchíní éí ádooldįįł .
19:37:029:0	T'áá ákogi ádaaníiłii hool'áágóó kéyah bíí' dadooleeł , áádóó ákwii hool'áágóó kéédahat'į́į doo .
19:37:030:0	T'áá ákogi ááníiłii hóyą́ągo yáłti' , áádóó doo haada yit'éii yaa yáłti' .
19:37:031:0	BiDiyin God bibee haz'áanii bijéí bii' hólǫ́ ; ts'ídá doo ałtánídiighasgóó yigáał doo .
19:37:032:0	Diné doo yá'áshóonii éí t'áá ákogi ááníiłii yizéé' yidoot'įįł yiniyé naayik'íghal .
19:37:033:0	Bóhólníihii éí diné t'áá ákogi ááníiłii éí diné doo yá'áshóonii doo yaa hodidoo'áał da , áádóó aa hwiinít'į́įgi haa náhódóot'įįł biniyé niho'deedlóozgo há nihoot'aahígíí Bóhólníihii doo yee has'ą́ą da .
19:37:034:0	Bóhólníihii biba' ánít'é , áádóó bik'eh áhoot'éégóó yínááł , áko kéyah níí' dooleeł biniyé ayóó ánít'éego ándi'doolnííł ; doo yá'ádaashóonii ádabi'dooldįįłgo yidííłtsééł .
19:37:035:0	Diné doo yá'áshóonii doo ła' jóle' át'éii áádóó tsin dootł'izh sikaadii haníísánígíí nahalingo k'ee'ąą nooséełgo yiiłtsą́ .
19:37:036:0	Ákondi ákǫ́ǫ́ ch'íníyáá nít'éé' ; jó , doo ákwii hojílǫ́ǫ da lá , hahonétą́ą́' nít'éé' , háájí shį́į́ dzizlį́į́' lá .
19:37:037:0	Diné t'áadoo bee bik'íhót'ahíii hazhó'ó baa ákonínízin doo ; t'áá ákogi át'éii níníł'į́ ; diné ákót'éii ba'áłchíní náás noot'į́įł doo .
19:37:038:0	Nidi bee haz'áanii dayiitíihii éí t'áá łahjį' ádooldįįł ; diné doo yá'ádaashóonii áho'disdįįdgo doo nidi hwéédahaniih da doo .
19:37:039:0	Bóhólníihii bibee yisdá'iildéehii éí t'áá ákogi ádaat'éii yee yisdáhákááh ; bich'į' dahodii'náahgo bine' a'niichéehii yá nilį́ .
19:37:040:0	Bóhólníihii éí bíká adoolwołgo yisdábidoonił ; diné doo yá'ádaashóonii éí bits'ą́ąjį' yisdábiijááh , háálá hó haa dadzólí .
