19:33:001:1	Í'iilaii áádóó hasht'e'ósinii baa ha'niih
19:33:001:0	T'áá ákogi ádaahníiłii , Bóhólníihii bee nihił nidahoozhǫǫh ! T'áá ákogi ádaat'éii naa dahaniihgo beełt'é .
19:33:002:0	Tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii bee Bóhólníihii baa dahohniih , tsin tł'óół neeznáá bąąh daneelzhee'go bee bá nidaahnéego dahohtaał !
19:33:003:0	Sin ániidíii bee bich'į' dahohtaał ; daohchįįhgo ayóó íits'a'go bee nidaahné .
19:33:004:0	Háálá Bóhólníihii bizaad éí t'áá ákogi át'é , áádóó binaanish t'áá át'é yaa naagháhígíí bada'ahódlí .
19:33:005:0	T'áá ákogi át'éii índa doo haada yit'éii ayóó'áyó'ní ; nahasdzáán éí Bóhólníihii bibee aa a'ááh hasinii bił si'ą́ .
19:33:006:0	Bóhólníihii t'óó haadzíi'go yádiłhił hazlį́į́' , índa hayol bee hadziidziihgo yádiłhił biyi'di dahiníláii t'áá át'é dahazlį́į́' .
19:33:007:0	Tó ałt'anehegeehgo ałk'iditą́ągo áyiilaa ; kin biyi' hasht'e'na'aznilígi át'éego tónteel ayóó íídéetą́'ígíí beełt'éego hasht'éyiilaa .
19:33:008:0	Nahasdzáán bikáa'gi diné t'áá ałtso Bóhólníihii deidísin le' , nahasdzáán bikáa'gi kéédahat'íinii t'áá ałtso hats'ąą daasti' le' !
19:33:009:0	Háálá t'óó hadzoodzíi'go bohoolyaa , áádóó hadzoodzíi'go nahasdzáán niilts'id .
19:33:010:0	Bóhólníihii éí ał'ąą dine'é yindaha'áhígíí t'áadoo náádleełígóó áyósin ; ał'ąą dine'é nidahagizgo nitsídaakeesii doo idééłníígóó áyósin .
19:33:011:0	Bóhólníihii binahat'a' hool'áágóó hólǫ́ ; t'áá ałtso oochííłgóó ni'níchį́ bijį́įjį' bijéí biyi'dóó yee yaa nitsíkeesii hool'áágóó hólǫ́ .
19:33:012:0	Ła' dine'é éí Bóhólníihii bidiyin ádayósinii éí bik'idahojidlí , áádóó bíí' danilį́į doo biniyé náyiizláa'ii éí ałdó' bik'idahojidlí !
19:33:013:0	Yá'ąąshdę́ę́' Bóhólníihii déez'į́į́' ; diné t'áá ałtso yinéł'į́ ;
19:33:014:0	dah sidáádę́ę́' nihokáa'gi kéédahat'íinii t'áá ałtso yinéł'į́ ,
19:33:015:0	hó lą́ą éí t'áá ałtso dabijéí ádajile' , áádóó yaa nidaakaígíí t'áá ałtso baa nitsídzíkees .
19:33:016:0	Aláahgo naat'áanii bisiláo ayóó ánéelą́'ígíí éí doo yee yisdádoogáał da ; diné naabaahii t'áá bí ayóó ábóodziilígíí doo yee yisdágháah da .
19:33:017:0	Łį́į́' bee na'abaahii bee yisdáhóót'i'ígíí t'áadoo nánídlíní da , índa łį́į́' ayóo dilwo' nidi , doo ła' yisdáhodoołtéeł da .
19:33:018:0	Shoo , Bóhólníihii deidísinii índa yee aa a'ááh nízinii bee bił chodahoo'íinii éí Bóhólníihii binéł'į́ ,
19:33:019:0	áko anoonééł bits'ąą bii' naazíinii yisdéídiyoonił áádóó nídahodichįįhgo dahináago áyósin doo .
19:33:020:0	Nihii' naazíinii Bóhólníihii yiba' ádaat'é ; nihíká análwo'ii índa nihinaage' nilį́ .
19:33:021:0	Áko nihijéí bił nidahoozhǫǫh , háálá bízhi' diyinii baa dadzííníidlí .
19:33:022:0	Bóhólníihii nílíinii , nee nihił chodahoo'ínígíí bik'ehgo nihaa a'ááh nínízinígíí nihik'igi hólǫ́ǫ le' .
