19:21:001:1	Ana'í bits'ąą yisdá'iildéehii baa ha'niih
19:21:001:0	Bóhólníihii nílíinii , nibee adziil binahjį' aláahgo naat'áanii t'áá íiyisí bił hózhǫ́ǫ doo , áko nibee yisdá'iildéehii ayóó át'éego yaa bił nihoozhǫǫh doo !
19:21:002:0	Bijéí yídin nilíinii baa dííní'ą́ , áádóó yókeedii t'áadoo bits'ąą t'ą́ą́' íinilaa da . Síilah .
19:21:003:0	Jó , hózhǫ́ǫ́jí bee ak'ihojidlíii bił bidááh nánídááh ; óola ílíinii bee naat'á ch'ah ályaago bik'éédí'ááh .
19:21:004:0	Iiná níyííkeedgo baa dííní'ą́ ; hool'áágóó ahóyéel'áágóó bíyoołkáał doogo bá íinilaa .
19:21:005:0	Yisdáhíłteehígíí bąą ayóó át'é silį́į́' ; bee ił ídlíinii índa bee ayóó é'ét'éii baa hidí'aah .
19:21:006:0	Jó , hool'áágóó agháago bik'ihojidlíigo íínísin ; hoł honílónígíí bąą t'áá íiyisí hoł hózhǫ́ǫgo áhwíínísin .
19:21:007:0	Háálá aláahgo naat'áanii éí Bóhólníihii yaa dzólí ; Aláahgo Ayóó'át'éii ayóó'ó'ó'níigo aa a'ááh nízinii bee doo nahjį' kóbidi'doolníił da .
19:21:008:0	Ni'ana'í danilíinii t'áá át'é bídínííl'ąął ; ayóó ánóodziilgo bee diné danjoołáii bik'eh didíídleeł .
19:21:009:0	Náhóóchįįdgo łe'jishbéézh nahalingo áhodííłdįįł . Bóhólníihii hashké nídzingo hodooldił , áádóó kǫ' yee ahodidoołk'ą́ą́ł .
19:21:010:0	Nahasdzáán bits'ą́ąjį' ba'áłchíní ádííłdįįł , áko bits'ą́ą́dóó nidahaazhchínígíí éí diné bitahgóó nidaakaii ałdó' ádííłdįįł .
19:21:011:0	Doo yá'át'éehii yee nik'i dahodidoo'ááł yiniyé nindaha'ą́ ; nindahazgizgo nindahaz'ą́ . Ákódadooníłígíí ts'ídá doo yídaneel'ą́ą da .
19:21:012:0	Háálá t'ą́ą́' anáhidínííłkał ; ne'ałtį́į́' hasht'eniléehgo k'aa' bee bik'ijį' adzidiyííłkah .
19:21:013:0	Bóhólníihii nílíinii , nidziilígíí bee ayóó át'éii nílį́į le' ! Dahwiitaałgo nidziil baa dahwii'niih doo .
