19:143:001:1	Yisdá'iildééh áádóó aníítį́į́ł biniyé sohodizin
19:143:001:0	Bóhólníihii nílíinii , shisodizin shá diits'į́į́h ; nánooshkąąhígíí shá yíníłts'ą́ą́' ! Na'ahódlíhígíí índa t'áá ákogi ánít'éii bee shich'į' ééhonísįįh !
19:143:002:0	Ná naal'a'í nishłíinii doo shá nihodíí'áał da , háálá nidááhdóó diné hináanii doo ła'da ts'ídá t'áá ákogi át'éego bá hadíídzih da .
19:143:003:0	Háálá shi'ana'í atíshíł'į́ ; łeeh shíná'áłjish ; t'áá shiidą́ą'dii daneeznáanii nahalingo chahałheełgi honishłǫ́ǫgo áshósin .
19:143:004:0	Éí bąą shii' sizíinii doo bidziil da nádleeh ; shijéí bide áhoodzaa .
19:143:005:0	Ałk'idą́ą́' áhóót'įįdii bénáshniih ; ninaanish t'áá ałtso nabik'ítséskees ; níla' bee binishínílnishii hazhó'ó baa nitséskees .
19:143:006:0	Nich'į' dah nídiishnih ; kéyah dibáá' nilínígi át'éego shii' sizíinii dibáá' nilį́ nahalingo nídin nilį́ . Síilah .
19:143:007:0	Bóhólníihii nílíinii , tsį́įłgo shich'į' ééhonísįįh ! Shii' sizíinii doo bidziil da nádleeh ! Ch'į́įdiitah góyaa ahikáahii doo bitah deeshłeeł da biniyé doo shits'ą́ąjį' adíníít'áał da .
19:143:008:0	T'ah abínídą́ą́' aa a'ááh nínízinii baa hane'go háni'dii diists'a'go áshílééh , háálá ni naa jííníshłí . Yishááł dooleełgóó bínashiníłtin , háálá shii' sizíinii nich'į' cho'ooł'į́įgo níká déez'į́į́' .
19:143:009:0	Bóhólníihii nílíinii , shi'ana'í danilíinii bits'ą́ąjį' yisdáshíłteeh ! Náshididííł'į́į́ł biniyé nich'į' nídiishwod !
19:143:010:0	Íinínízinii baa naasháa dooleełgo bínashiníłtin , háálá shiDiyin God nílį́ ! NiNíłch'i éí yá'át'éehii nilį́ ; bíni'dii kéyah k'íhoneezláajį' shił adíí'ash !
19:143:011:0	Bóhólníihii nílíinii , nízhi' binahjį' náshiiłnaah ! T'áá ákogi ánít'éhígíí binahjį' shii' sizíinii bich'į' nahwii'nánígíí bii'dóó yisdáníłteeh !
19:143:012:0	Áádóó aa a'ááh nínízinii bik'ehgo shida'ana'í naniłtseed , áádóó atídashił'íinii t'áá ałtso áníłdįįh , háálá ná naal'a'í nishłį́ .
