19:22:001:1	Ti'hoo'níihgo sohodizin áádóó sin bee Diyin God baa ha'niih
19:22:001:0	ShiDiyin God , shiDiyin God , ha'át'éegoshą' yóó'ashidííní'ą́ ? Ha'át'éegoshą' shíká adíílwołgi doo deeghánídi shits'ąą honílǫ́ , índa saad bee nidish'ni'ígíí bits'ą́ądi honílǫ́ ?
19:22:002:0	ShiDiyin God nílíinii , jį́įgo nánooshkąąh , nidi doo shich'į' ééhonísįįh da , áádóó tł'ée'go ałdó' doo dííníshhéel da .
19:22:003:0	Nidi ni diníyin ; Ízrel dine'é yee naa dahaniihígíí bee dah sínídá .
19:22:004:0	Danihizhé'é yę́ę naa dadzólíí nít'éé' , áko naa dadzólíigo yisdéínínil .
19:22:005:0	Nídanooskango yisdéínínil ; naa dadzólíí nít'éé' , áko t'áadoo baa yádahóósįįd da .
19:22:006:0	Nidi ch'osh nahonishłin , áko doo diné nahonishłin da ; diné bá nahat'i'ii índa diné bi'dit'íinii nishłį́ .
19:22:007:0	Dashoo'íinii t'áá ałtso shaa daadlohgo shá nidahałt'i' ; shich'į' bidaa' yee dah daałchi' , áko bitsii' deiłne'go kódaaní ,
19:22:008:0	Bóhólníihii hááhodoołtéełgo beijólí ; háni'dii yisdáháłteeh , háálá haa bił nihoozhǫǫh !
19:22:009:0	Nidi niyee' iishch'id biyi'dę́ę́' hashííníłtį́ ; shimá yisht'o'dą́ą́' shił chohoo'į́įgo áshiinilaa .
19:22:010:0	T'áá shi'dizhchį́į́dę́ę́' naa shi'deet'ą́ ; t'áá shimá shishchį́į́dę́ę́' shiDiyin God nílį́ .
19:22:011:0	T'áadoo nízaadi shits'ą́ądi honílóní , háálá ach'į' nahwii'ná kǫ́ǫ́ hólǫ́ , áko t'áadoo shíká oolyeedí da .
19:22:012:0	Diné éí dóola nidahalinígíí t'óó ahayóí shinás'á ; diné éí Béíshan hoolyéédóó dóola bidziilii nidahalinígíí shináshzhiizh ;
19:22:013:0	náshdóítsoh bitsiijį' daditł'ooígíí alghałgo yéego ánínígi át'éego shich'į' dadéezhch'ago k'adę́ę dashííníiłháásh .
19:22:014:0	Tó yaadziidii nahonishłin ; shits'in t'áá át'é ahádahaazwod ; ak'ah neesk'ihii dííłhį́'ígi át'éego shijéí niseedzá ;
19:22:015:0	ásaa'ts'iil yíłtseígi át'éego shidziil nááltsei , áádóó shitsoo' shiyaats'iin bídiiłgan ; anoonééł bileezh bii' nishííníłtį́ .
19:22:016:0	Háálá łééchąą'í haatįįh yíjéé' nahalingo diné doo yá'ádaashóonii shináshzhiizh ; doo yá'át'ééh ádaaníiłii shinás'á ; shíla' áádóó shikee' yaa'ada'ashiizh .
19:22:017:0	Shits'in t'áá át'é yídéeshtahgo bíneesh'ą́ ; dashiníł'į́įgo dashidiniilgęęzh ;
19:22:018:0	shi'éé' ałtais'nii' , índa shi'é'ígíí yiniyé yáá'iilt'e' yaa naaskai .
19:22:019:0	Nidi , Bóhólníihii nílíinii , t'áadoo nízaadi shits'ą́ądi honílóní ! Adziil shá nílíinii , tsį́įłgo shíká anilyeed !
19:22:020:0	Diltłish bits'ą́ąjį' shii' sizíinii yisdáníłteeh , she'iina' aháláane'go baa nitsískeesii éí łééchąą'í nahalingo diné hashkéii bibee adziilii bits'ą́ąjį' yisdáníłteeh !
19:22:021:0	Náshdóítsoh bitsiijį' ditł'ooígíí bizéé'dę́ę́' áádóó dóola da'ałchinii bidee' bits'ą́ąjį' yisdáshíłteehgo shich'į' ééhonísįįh !
19:22:022:0	Shik'isóó danilíinii nízhi' bee bił dahodeeshnih ; áłah nádleehii bitahgi naa hashniih doo :
19:22:023:0	Bóhólníihii dadíínóhsinii , baa dahohniih ! Jéíkab bits'ą́ą́dóó yichíiłii danohłíinii , t'áá ánółtso ayóó át'éego baa dahohniih ; Ízrel ba'áłchíní ahoolchíiłii , t'áá ánółtso dahodíínóhsin !
19:22:024:0	Háálá hach'į' nahwii'náanii t'áadoo yiyíí'įįd da , áádóó t'áadoo yaa'ih niizį́į' da , índa t'áadoo hats'ą́ąjį' ádzaa da , nidi níjookąąhgo hodiizts'ą́ą́' .
19:22:025:0	Ayóó át'é áłah ílį́įgi bee naa hashniihii nits'ą́ą́dę́ę́' neheleeh ; dabidósinii binááł t'áá aaníí ádíshníigo bee ádee hadeesdzíi'ii bi'deeshłííł .
19:22:026:0	Hojooba' ádaat'éii da'dooyį́įłgo hwiih dadooleeł ; Bóhólníihii hadeintáii éí baa dahaniih doo ! Hool'áágóó nihijéí hináa le' .
19:22:027:0	Nahasdzáán nidahonees'ą́ąjį' t'áá ałtso Bóhólníihii yéédadoolnihgo yich'į' dah nídahididookah , áko ał'ąą dine'é t'áá ałtso nidááhdóó nich'į' nidahałáa doo .
19:22:028:0	Háálá aláahgo bee óhólníihgo bił haz'áanii éí Bóhólníihii bíí' , áádóó ał'ąą dine'é yinant'á .
19:22:029:0	Nihokáá'góó diné ayóó át'é da'at'íinii t'áá ałtso da'dooyį́į́ł áádóó nidahałáa doo ; t'áá ałtso łeeshtahjį' náádleełii hadáahjį' yaa ádadoonííł ; bii' naazíinii dadínóonéełii hach'į' yaa ádadoonííł .
19:22:030:0	Náás da'ahílchíhígíí t'áá ałtso há nidaal'a' doo ; náás ahoolchíiłii ałdó' Bóhólníihii bee bił dahane' doo .
19:22:031:0	Náasdi diné dadoochíłígíí bich'į' Bóhólníihii bit'áá ákogi át'éii yaa dahalne'go , Bóhólníihii kódzaa , daaníi doo .
