19:65:001:1	Iiná bee yá'át'éehii lą'í Diyin God bee baa ha'niih
19:65:001:0	Diyin God nílíinii , Záíyandi naa haniihii hólǫ́ . Áádóó nich'į' bee ádee ha'oodzí'ígíí éí bihodoolnííł .
19:65:002:0	Sodizin yidiits'a'ii nílíinii , diné t'áá ałtso naa hakááh .
19:65:003:0	Doo ákwii ádaat'éii shide ánát'įįh . Bee haz'áanii dahiitíhígíí éí nihits'ánídidíí'áałgo nihá yóó'adidíí'ááł .
19:65:004:0	Nídiniłtíinii nikin bił haz'ání góne' kééhat'į́į doo biniyé t'áá áháníjį' níínílóozii éí bik'ihojidlí . Nikin , t'áá éí nikin bii' sohodizin hodiyin haz'ą́ą́dóó yá'ádaat'éehii dahólónígíí bee hwiih daniidlį́į doo .
19:65:005:0	T'áá ákogi ááníiłgo ayóó át'é ádahooníłígíí bee nihich'į' ééhodíísįįł , Diyin God bee yisdáhiikáahii , nahasdzáán nidahonees'ą́ąjį' índa tónteel nidahonees'ą́ąjį' diné bá ił chohoo'íinii nílį́ .
19:65:006:0	Ni lą́ą adziil bee áká sínílzaazii , nidziil bee dził nidasínínil .
19:65:007:0	Tónteel dadiits'a'ígíí , áádóó tónteel deílk'oołgo dadiits'a'ígíí , índa dadine'é hadahas'áhígíí hasht'éédííłt'eeł .
19:65:008:0	Ákohgo nahasdzáán nidanees'ą́ąjį' kéédahat'íinii nits'ą́ą́dę́ę́' bee éédahózinii yéédaaldzid . Ha'ii'aah áádóó i'ii'aah bił nihoozhǫǫhgo íínísin .
19:65:009:0	Diyin God bitooh hadeezbingo ch'ínílį́įgo bee nahasdzáán nínáníłtłohgo bikáá' nida'nt'ą'go ánáádlííł . Éí hasht'einilaago nihokáá' dine'é bá álástsii' hólǫ́ǫgo íínísin .
19:65:010:0	Nahałtingo tó daneets'ee'ígóó tó lą'í danílį́įgo íínísin . Tó neets'ee'ígóó náhodííłkǫǫłgo ni' hoolzhólí ánáhóódlííł , índa nanise' nooséełgo bik'ijiinídlí .
19:65:011:0	Nináháháahjį' áda'azįįd bee bik'ijiinídlí . T'áá nahóle'góó bee ak'ijiinídlíhígíí bee áda'azįįd .
19:65:012:0	Honoojíidi dahootsogóó nidi bee áda'azįįd . Áádóó dah daask'idígíí bił nidahoozhǫǫh .
19:65:013:0	Dahootsogóó dibé deíl'á . Deíldzisgóó bílástsii' dahólóonii deíl'á . Dahootsoígíí índa deíldzisígíí nídididla'go bił dahózhǫ́ǫgo dahataał .
