19:136:001:1	Bóhólníihii bibee ayóó'ó'ó'ní doo diniitłóohii baa ha'niih
19:136:001:0	Haa'íshą' , Bóhólníihii bich'į' ahééh danohsin , háálá yá'át'éehii nilį́ ; jó , aa a'ááh nízingo ahóyéel'á .
19:136:002:0	Diyin dabidi'níinii biláahdi Diyin God jílíinii bich'į' ahééh danohsin ; jó , aa a'ááh nízingo ahóyéel'á .
19:136:003:0	Bídahólníihii biBóhólníihii bich'į' ahééh danohsin ; jó , aa a'ááh nízingo ahóyéel'á .
19:136:004:0	T'áá bí t'éiyá t'óó bik'eda'ayóigo ó'oolíiłii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:005:0	Yaa hóyą́ągo yádiłhił áyiilaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:006:0	Tó adahaazyíinii biláahdi nahasdzáán niłdzilgo áyiilaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:007:0	Ayóó át'éii bee dadi'nídíinii áyiilaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:008:0	Jį́honaa'éí jį́įgo bee bóhólníihgo áyiilaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:009:0	Ooljéé' áádóó sǫ' éí tł'éé' bee bídahólníihgo áyiilaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:010:0	Ííjip kéyahdi áłtsé nidahaazhchíinii íísdįįdii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:011:0	Áádóó bitahdóó Ízrel ch'íiní'eezhii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:012:0	K'ídéesnii'go ayóó ábóodziilii yee ch'íiní'eezhii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:013:0	Tónteel Łichíí' wolyéii ałts'áyííłk'olii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:014:0	Áádóó bita' góne' Ízrel dine'é ch'íiníłkaii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:015:0	Nidi Féro áádóó bidine'é t'óó ahayóí yił yinéełii Tónteel Łichíí' wolyéii yii' íísdįįdii bich'į' ahééh danohsin , háálá aa a'ááh nízingo ahóyéel'á .
19:136:016:0	Honoojí góne' bidine'é yiní'eezhii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:017:0	Aláahgo naat'áanii ayóó ádaat'éii íísdįįdii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:018:0	Áádóó aláahgo naat'áanii dahayóigo béédaho'dílzinii neistseedii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:019:0	Ámor dine'é binanit'a'í Sáíhan wolyéii yiyiisxíinii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:020:0	Áádóó Béíshan dine'é binanit'a'í Ag wolyéii yiyiisxíinii bich'į' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:021:0	Áádóó bikédaayah hodine'é baazhdiní'áanii bich'į' , háálá aa a'ááh jinízingo ahóyéel'á .
19:136:022:0	Há naal'a'í Ízrel bíí' dooleełgo baazhdiní'áanii bich'į' , háálá aa a'ááh jinízingo ahóyéel'á .
19:136:023:0	Bí lą́ą nihaa dahojoobá'ígo ádaniit'éego nihénáálnii' ni' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:024:0	Áádóó nihi'ana'í danilíinii bits'ą́ąjį' háánihoo'nil , háálá aa a'ááh nízingo ahóyéel'á .
19:136:025:0	Nídídzihii t'áá ałtso nináneel'ą́ąjį' ya'ałtso' , háálá aa a'ááh nízingo ahóyéel'á .
19:136:026:0	Haa'íshą' díí t'áá ałtso biniinaa Diyin God yá'ąąshdi hólóonii bich'į' ahééh danohsin , háálá aa a'ááh nízingo ahóyéel'á .
