19:56:001:1	Aa hodzódlíigo sohodizin
19:56:001:0	Diyin God nílíinii , shaa jiiníbaah , háálá diné t'áá adashółneehgo shaa nitsídaakees . Shá bíighah shi'ana'í danilíinii shide ádahósin .
19:56:002:0	Aláahgo Ayóó'át'éii nílíinii , shá bíighah shi'ana'í t'áá adashółneehgo shaa nitsídaakees , háálá lą'í dashóbááh .
19:56:003:0	Shił yéé' náhádleehgo t'áá íiyisí naa jííníshłíi doo .
19:56:004:0	Diyin God bizaad baa hashniih ; éí Diyin God nilíinii baa jííníshłí . Diné haada shizhdoolíiłgi doo binásdzid da .
19:56:005:0	Shá bíighah shizaad t'áá ádzaagóó nideigiz . Doo yá'áshóonii t'éiyá yee shich'į' nitsídaakees .
19:56:006:0	Shiniyé ahínéiikah . Shaa nidahaakai ; shii' sizíinii yaa héeshjée'go hidishááhgóó shikék'eh hashchíínígóó hadeisííd .
19:56:007:0	Doo ákwii ádajooníłígíí bąą ch'íhíłtł'iid . Diyin God nílíinii , hashké niidzįįhgo dadine'é naa'ahíłtł'iid !
19:56:008:0	Tádíshááhgóó baa ákonínízin . Shinák'eeshto' nitózis bii' hasht'e'nihízííd . Éí ninaaltsoos biyi' ádaalyaa .
19:56:009:0	Nánooshkąąhgo lą́ą , shi'ana'í danilíinii t'ą́ą́' hadookah ni . Éí shił bééhózin , háálá Diyin God shich'ijí nilį́ .
19:56:010:0	Diyin God bizaad baa hashniih doo . Bóhólníihii bizaad baa hashniih doo .
19:56:011:0	Éí Diyin God nilíinii baa jííníshłí . Diné haada shizhdoolíiłgi doo binásdzid da .
19:56:012:0	Diyin God nílíinii , nich'į' bee ádee hahásdzíi'ii shich'į' si'ą́ ; ahééh nisingo naa hashniih doo .
19:56:013:0	Háálá anoonééł bits'ą́ąjį' shii' sizíinii yisdéíníłtį́ : áko iiná bee adinídííngóó Diyin God bá hinishnáa doo biniyé , doo dishgeehgóó áshiinilaa .
