19:39:001:1	Bóhólníihii bee chohoo'íinii
19:39:001:0	Shitsoo' bee doo ádił adeesziihígíí biniyé naasháágóó ádaa áháshyą́ą doo . Diné tsi'nidaakaii shinaagóó nidaakaigo shizaad baa áháshyą́ą doo , dííniid .
19:39:002:0	Doo yáshti'góó t'óó hasht'edíínísht'éé nít'éé' ; yá'át'éehii nidi doo ła' baa hweeshne' da , nidi t'óó tsé'édinda yínííł sélį́į́' .
19:39:003:0	T'áá ádíyi'ídi t'óó ádił ninisdzíiłgo baa nitséskeesii kǫ' diltłi' nahalin silį́į'go índa haasdzíí' ,
19:39:004:0	Bóhólníihii nílíinii , ákohgo ashíidoołkáałii índa ákwíí nááshiidoolkáałii shił bééhonísįįh , índa t'óó kónígháníjį' hinishnánígíí shił bééhodoozįįł .
19:39:005:0	Jó , shíyoołkáałii t'áá díkwíidi yílá bee ni'deelnii' nahalingo shá íinilaa , áádóó hinishná áníłtsooígíí t'áadoo nánídlínígóó baa nitsíníkees . T'áá aaníí , t'ááłáhídi ha'oodzolígíí bíighahgo diné dahiná ! Síilah .
19:39:006:0	T'áá aaníí , t'áadoo le'é bízhdínéeshyęęzhígíí nahalingo diné hiná ! T'áá aaníí , t'áadoo biniyéhígóó doo hasht'edadít'ée da . Diné hasht'e'ni'dii'níił łeh , nidi bíí' dooleełii éí doo bił bééhózin da !
19:39:007:0	K'ad ha'át'íísh biniyé t'ah nisin , Bóhólníihii ? Ninahjį' shá chohoo'į́ .
19:39:008:0	Bee haz'áanii híti'ígíí t'áá ałtso bits'ą́ąjį' yisdáshíłteeh . Diné doo ádahalyáanii doo shá nidahałt'i'góó áshílééh !
19:39:009:0	Doo yáshti' da . Shizéé' doo ąą áháshłéeh da , háálá ni ánít'į́ .
19:39:010:0	Atíshíł'ínígíí k'adí , háálá náshiníłts'ingo shi'niniłhį́ .
19:39:011:0	Doo ákwii át'éii biniinaa diné nidíteehgo atíníł'į́įgo ch'osh ałchozhii ałchozhígíí nahalingo baa bi ł hózhónígíí bits'ą́ą́' ádííłdįįł . T'áá aaníí , diné t'áá ałtso be'iina' t'ááłáhídi ha'oodzolígíí nahalin ! Síilah .
19:39:012:0	Bóhólníihii nílíinii , shisodizin shá diits'į́į́h , áádóó nánooshkąąhígíí shá yíníłts'ą́ą́' ! Shinák'eeshto' nínálzhishgo t'áadoo t'óó hasht'edíínít'éhí ! Háálá t'óó kónígháníjį' na'ałk'ee sédá , dashizhé'é yę́ę nahalingo dé'éyóní nishłį́ .
19:39:013:0	T'ah doo áníshdin yishłeehdą́ą́' , áá sísįįhgo shił hózhǫ́ nídeeshdleeł .
