19:79:001:1	Jerúsalem ábi'disdįįdgo baa dajicha
19:79:001:0	Diyin God nílíinii , níí' nilíinii bitahjį' ał'ąą dine'é anáásą́ągo nidahaazná ; nikin bii' hodílzinii dayííłchǫ' ; Jerúsalem kints'iil ádayiilaa .
19:79:002:0	Ná nidaal'a'í dabits'íís éí tsídii wódahgo nidaat'a'ii dabich'iyą' doogo yaa deideez'ą́ ; nidiyį́į́' danilíinii bits'íís nihokáa'gi naaldlooshii da'aldeełii yaa deideez'ą́ .
19:79:003:0	Dabidił tó yajiinilígi át'éego Jerúsalem binaagóó nihidadílį́įgo ádayiilaa , áko t'áadoo yóó'ádabóle'í da nít'éé' .
19:79:004:0	Bił kéédahwiit'íinii bich'į'go bá nahat'i'ii dasiidlį́į́' ; nihinaagóó nidaakaii t'óó nihá nidahałt'i' áádóó t'óó nihaa daadloh nít'éé' .
19:79:005:0	Bóhólníihii nílíinii , haa nízáágóoshą' kóhoot'ée doo ? Da' hool'áágóósh náháchį' dooleeł ? Łe'nínízinígíísh kǫ' nahalingo diltłi' dooleeł ?
19:79:006:0	Ał'ąą dine'é doo néédahósinii índa dadine'é bił dah nahaz'ą́ą́góó doo nízhi' dayózhíigo sodadilzinii éí t'óó báhádzidgo bee atí'éł'íinii bik'i yaanííł .
19:79:007:0	Háálá éí Jéíkab dine'é yaa nahodeeskai áádóó kééhat'į́į́ nít'éé' yę́ęgi doo siláhígóó ádahoolaa .
19:79:008:0	Danihizhé'é doo ákwii ádáát'įįdii t'áadoo nihik'ijį' si'ą́ągo béénílniihí , nidi tsxį́įłgo nihaa a'ááh niizįįh , háálá t'áá íiyisí yínííł dasiidlį́į́' .
19:79:009:0	Diyin God nílíinii , yisdánihíínínilii nízhi' baa ha'niih doo biniyé nihíká anilyeed ; nízhi' binahjį' yisdánihínííł áádóó ádił nida'ayeelzíi'ii nihá yóó'adí'aah .
19:79:010:0	Ha'át'íísh biniinaa ał'ąą dine'é kódaaníi doo , Háájíshą' biDiyin God ? Ná nidaal'a'í bidił dadeezna'ii biniinaa k'éédidíí'níłígíí bíni'dii nihinááł ał'ąą dine'é bił béédahózingo ánílééh !
19:79:011:0	Awáalyaaí dadi'nínígíí naa hosiilts'įįh le' ; dadínóonéełjį' baa dadeest'áanii nidziil ayóó át'éii bik'ehgo áánísįįh !
19:79:012:0	Bóhólníihii nílíinii , bił kéédahwiit'íinii t'óó ná nidahałt'i' yę́ę tsosts'idi ahą́ą́h nániilá bíighahgo bijéí deidíłniihgo bee bá nináhółt'i' .
19:79:013:0	Áko nidine'é niidlíinii nikéyah hootsogóó dibé naakaígíí nahoniidlingo hool'áágóó nich'į' ahééh daniidzin doo ; náás oochííłgóó bee naa ha'niihii baa nidahwiilne' doo .
