19:109:001:1	K'ééhodi'nééh biniyé ná'ookąąh
19:109:001:0	Diyin God naa hashniihii , t'áadoo t'óó áhodínílzé'í !
19:109:002:0	Háálá t'áá íiyisí doo yá'ádaashóonii índa binda'adlo'ii shide ádeinízingo wooch'ííd yee shaa nidahalne' .
19:109:003:0	Ak'e'diniih saad yił shináshzhiizh , áádóó t'áadoo biniinaanígóó shik'iijéé' .
19:109:004:0	Ayóó'óósh'nínígíí bidiníná t'óó shik'i dahodii'ą́ , nidi bá sodiszin .
19:109:005:0	Áko yá'át'éehii bidiníná doo yá'át'éehii yee k'éédashidiidlaa , índa ayóó'óósh'nínígíí bidiníná shik'ee dadeeznih .
19:109:006:0	Diné doo yá'áshóonii honiyé niníłteeh . Ak'i hodii'aahii bíni'dii honish'náájí sizį́į le' .
19:109:007:0	Haa hwiiníst'įįdgo háni'dii há nihoot'aah ; háni'dii hasodizin ádi ł ni'iidzííh yileeh !
19:109:008:0	T'áá díkwíí yiską́ąjį' nijigháa le' . Áádóó bee hóhólníhígi náánáła' hatsásk'ehjį' anáádoodááł !
19:109:009:0	Ha'áłchíní bizhé'é ádinii danilį́į le' ! Hwe'asdzą́ą́ éí bąąh áhásdįįdii nilį́į le' !
19:109:010:0	Ha'áłchíní da'dókeedgo na'ałjidí danilį́į le' ! Dabikints'iil dah naazhjaa'dóó nízaadi nidaakaigo da'dókeed le' !
19:109:011:0	Háni'dii hwee hólóonii t'áá ałtso hąąh hayííł'áhígíí hagha yó'nííł . Binjishnishii dé'éyóní hagha dayó'nííł !
19:109:012:0	Háni'dii doo ła' haa a'ááh nízin da doo índa háni'dii ha'áłchíní bąąh ájísdįįdígíí doo ła'da jooba' da doo !
19:109:013:0	Ha'áłchíní dooleeł nít'éé' yę́ę bíni'dii áldįįh ; bíni'dii akéédę́ę́' hanínáánoot'áanii bízhi' k'éé'élchxǫǫh !
19:109:014:0	Háni'dii Bóhólníihii éí hazhé'é doo ákwii ádáát'įįdii yénálniih , áádóó hamá ádił ni'iisíi'ii doo k'éé'doolchxǫǫł da !
19:109:015:0	Éí t'áá áłahjį' Bóhólníihii bidáahgi hólǫ́ǫ le' ! Áko nahasdzáán bikáá'dóó doo hwéédahaniih da doo biniyé doo hwéédahaniihgóó áyósin doo !
19:109:016:0	Háálá éí diné aa a'ááh hasin doo yee énálniih da nít'éé' , nidi diné bahojoobá'íii áádóó hojooba' has'áanii índa bijéí yínííł danilíinii nizdoołtsiłgo atíjíł'į́į́ nít'éé' .
19:109:017:0	Ódziih bił ayóó áhoot'éé nít'éé' , áko nábi'dódziih ! Ła'da yik'iizhdoodliiłígíí doo yaa bił hózhǫ́ǫ́góó doo ła'da hak'i néizhdoodliił da !
19:109:018:0	Ódziih éí éé' nahalingo yee hadít'éé nít'éé' , áko tó nahalingo bits'íístah shidoogish , áádóó ak'ah nahalingo bits'in biih shidoogish !
19:109:019:0	Éé' ák'ínéíltihígíí nahalin le' , áádóó t'áá áłahjį' sis nahalingo binázt'i' le' !
19:109:020:0	Shik'i dahodii'aahii áádóó nichǫ́'ígo shaa yádaałti'ii bíni'dii ákót'éego Bóhólníihii díí yee k'ééhodidoodlííł !
19:109:021:0	Diyin God Bóhólníihii nílíinii , nízhi' binahjį' shaa atínít'į́ . Yisdáshíłteeh , háálá aa a'ááh nínízinii éí yá'át'ééh !
19:109:022:0	Háálá shahojoobá'í áádóó hojooba' hoséł'ą́ , índa shijéí tídiilyaa .
19:109:023:0	I'íí'ą́ągo chaha'oh iildóhígíí nahonishłingo ááshdįįł ; nahachagiitsoh níyol yáábiiłhą́hígíí nahonishłin .
19:109:024:0	Doo ashą́ą́góó bąą shigodta' gónaa doo niłdzil da . Áádóó shííts'iinígo shik'ah yę́ę ásdįįd .
19:109:025:0	T'óó bá nahat'i'ii nishłį́ . Nídashiníl'įįhgo bitsiits'iin deiłne' .
19:109:026:0	Bóhólníihii shiDiyin God nílíinii , shíká anilyeed ! Aa a'ááh nínízinii bik'ehgo yisdáshíłteeh !
19:109:027:0	Díí nigaan bee baa nisíníyáhígíí bił béédahodoozįįł ; ni Bóhólníihii éí ákónít'į́ !
19:109:028:0	Da'ódziih nidi bíni'dii ni éí ak'ijiinídliih ! Dashóbáahgo t' óó baa yáhásinígi ádabi'dólne' , nidi ná naal'a'í nishłíinii t'áá íiyisí shił nihoozhǫǫh le' !
19:109:029:0	Shik'i dahodii'aahii doo ił ídlį́į́jí éé'ígíí yii' naazhjée' le' ! Beeldléí nahalingo baa yádahasinii ák'ínídeiltih le' !
19:109:030:0	Bóhólníihii bich'į' chánahgo ahééh nisin doo ; t'áá aaníí , diné t'óó ahayóí bitahgóó baa hashniih doo .
19:109:031:0	Háálá diné bahojoobá'íii bidi'yoolyéełjį' bee ha'oodzíi'ii bits'ą́ą́dóó yisdéidoołtééł biniyé yinish'náájí sizį́ .
