19:38:001:1	Ti'hooníihii ádił oodzíí' yąąh bíni'ii bisodizin
19:38:001:0	Bóhólníihii nílíinii , náháchį'go t'áadoo nashidíteehí , t'áá íiyisí doo nił hózhǫ́ǫ́góó t'áadoo hashkée nashinítiní !
19:38:002:0	Háálá nik'a' shaa adaazhjil , áádóó yéego shik'i dinilchid .
19:38:003:0	Doo nił hóózhǫǫdígíí biniinaa shitah nahastseed ; sha'át'e' biniinaa shits'in dadiniih .
19:38:004:0	Háálá doo ákwii áát'įįdii shik'i diilkǫ' ; hééł nahalingo shide áníłdáás .
19:38:005:0	Doo áháshyánígíí biniinaa tídááná yę́ęgóó dííłdzidgo daniłchxon .
19:38:006:0	Shich'į' nahwii'náago shá bíighah yínííł nishłį́įgo yéego bik'ee naashyiish .
19:38:007:0	Shiníí'dóó yaago kǫ' hózhdínił nahalingo shitah nahastseed .
19:38:008:0	Ho'dishjizhígíí nahalingo shitah doo hwiináa da silį́į́' . Ayóo shijéí yidíłniihígíí bik'ee dish'ní .
19:38:009:0	Bóhólníihii , bídin nishłíinii t'áá ałtso nił bééhózin ; dish'nínígíí doo nits'ąą nees'į́į' da .
19:38:010:0	Shijéí nitsináltłi' ; shąąh nááháka'go shiná'oh náhoojį́į́h .
19:38:011:0	Bee shąąh dahoo'a'ígíí biniinaa dashich'ooní índa bił naashdeeh yę́ę doo shinádadízin da , shik'éí danilíinii t'áá níléí shits'áhwiiní'ą́ądi nidaakai .
19:38:012:0	Dahodiyiilyééł dashó'níinii shá nináda'a'nił . Atídashidoolíiłii doo yá'át'ééhgóó shindahagizgo shida'doolohígíí shá bíighah yaa nitsídaakees .
19:38:013:0	Nidi shí diné bijééhkałii nahalingo doo adiists'a' da . Diné doo yáłti'ii nahonishłin .
19:38:014:0	T'áá aaníí , diné bijééhkałii nahonishłingo t'áadoo bee haosdziihí da .
19:38:015:0	Bóhólníihii nílíinii , ni t'éí níká shił chohoo'į́ ; ni lą́ą , Bóhólníihii shiDiyin God nílíinii , ni éí shich'į' ééhodíísįįł .
19:38:016:0	Háálá ándííniid , Ałtánídiisghasgo shee ádaa daha'niihii t'áadoo shaa bił dahózhóní .
19:38:017:0	Jó , k'adę́ę naa'iishtłíísh áádóó t'áá áłahjį' shił hodiniihgo yínííł naashá .
19:38:018:0	Doo ákwii áát'įįdii bee ádaa hashne' áádóó ádił ni'iisdzíihgo bąąh shíni' .
19:38:019:0	Shi'ana'í danilíinii dabiinéigo ayóó ádabóodziil , áádóó éí t'áadoo biniinaanígóó shik'ee dadiniihii t'óó ahayóí .
19:38:020:0	Áádóó ałdó' yá'át'éehii bidiníná doo yá'áshóonii shaa nídayii'níiłii éí shi'ana'í danilį́ , háálá yá'át'éehii bik'ehgo yishááł .
19:38:021:0	Bóhólníihii nílíinii , yóó'ashidóó'ááł yíila' ! ShiDiyin God nílíinii , t'áadoo shits'áhwiiní'ą́ądi honílóní !
19:38:022:0	Bóhólníihii yisdáshíłtéehii , tsį́įłgo shíká anilyeed !
