19:71:001:1	Diné haastihii bisodizin
19:71:001:0	Bóhólníihii nílíinii , naa jííníshłí . Ts'ídá t'ááká t'óó shaa yáhásinígi áshi'dólnééh yíila' !
19:71:002:0	T'áá ákogi ánít'éii binahjį' yisdáshíłteeh ; yóó'adínéesht'į́įłgi shá ahóót'i'go ánílééh áádóó shich'į' dah díníit'aahgo yisdáshíłteeh !
19:71:003:0	Binahjį' bidziilgo kééhasht'íinii t'áá áłahjį' áajį' bine' ahinishchéehii shá nílį́į le' . Yisdáshidííłtéełgo bee háínídzíí' , háálá tsé índa bine' naasdzi'ii shá nílį́ .
19:71:004:0	ShiDiyin God nílíinii , diné doo yá'áshóonii ts'ídá doo ákwii áánííłgóó doo yits'íidii bílák'eedóó hááshíłteeh .
19:71:005:0	Háálá , Bóhólníihii Diyin God nílíinii , ni t'éiyá nee shił chohoo'į́ . Bóhólníihii nílíinii , t'áá ániid naasháádą́ą́' naa jííníshłí .
19:71:006:0	T'áá shi'dizhchį́į́dą́ą́' nee nisdzil . Shimá biishch'id biyi'dę́ę́' hashííníłtíinii ánít'į́ . T'áá áłahjį' naa hashniih .
19:71:007:0	Diné t'óó ahayóí shiniinaa t'óó bił adahayóigo hoolzhish . Jó , ni t'éí bidziilgo bine' ahinishchéehii nílį́ .
19:71:008:0	Ayóó át'éego naa hashniih áádóó ayóó ánít'éego bee ił nílíinii shá bíighah bee naa hashne' .
19:71:009:0	Są́ baa'níłdįįdgo t'ááká nahjį' kóshólééh yíila' . Doo shidziil da sélį́į'go yóó'ashidóó'ááł lágo .
19:71:010:0	Háálá shi'ana'í shik'ijį' yádaałti' ; dashidiyoołhéełii shindaha'áago
19:71:011:0	kódaaní , Diyin God yóó'abidíí'ą́ ; bikéé' dohjeehgo bił dadohdeeł , háálá t'áadoo yisdánábółtéłí da .
19:71:012:0	Diyin God nílíinii , t'áadoo nízaadi shits'ąą honílóní ! ShiDiyin God nílíinii , tsį́įłgo shíká anilyeed !
19:71:013:0	Shii' sizíinii bi'ana'í danilíinii t'óó baa yáhásinígi ádabi'dólne' áádóó ádabi'dóldįįh . Atídahodiilnííł dashó'níinii t'óó bá nidahat'i' le' áádóó doo bił dajílį́į́góó ádabi'dólne' .
19:71:014:0	Nidi shí éí áłahjį' shił chohoo'į́į doo áádóó t'ah yówehgo hózhǫ́ naa hashniih doo .
19:71:015:0	T'áá ákogi ááníiłii índa nibee yisdá'iildéehii t'áá ákwíí jį́ baa hashne' doo , háálá ákónéelą́'ígíí doo shił bééhózin da .
19:71:016:0	Bóhólníihii Diyin God nilíinii bibee adziilii bee yisháał doo . Ni t'éiyá t'áá ákogi ánít'éhígíí baa yáshti' doo .
19:71:017:0	Diyin God nílíinii , t'áá ániid naasháádą́ą́' nashinínítą́ą́' áádóó t'óó bik'eda'ayóigo baa nisíníyáhígíí t'ahdii ná baa táhodishnííh .
19:71:018:0	Diyin God nílíinii , t'áá są́ baa'níłdįįdjį' áádóó shitsii' yiigaiijį' t'ááká yóó'ashidóó'ááł lágo . K'ad oochíłígíí áádóó náás oochííłgóó t'áá ałtso bitahgóó nidziilígíí áádóó nibee adziilígíí baa táhodeeshni'jį' t'ááká yóó'ashidóó'ááł lágo .
19:71:019:0	Diyin God nílíinii , t'áá ákogi ááníłígíí ałdó' yá'ąąsh bíneel'ą́ . Ayóó ádaat'éii baa nisíníyá . Diyin God nílíinii , háishą' nigi át'é ?
19:71:020:0	Bik'e'ashch'íi'go bee shich'į' nahwii'náanii lą'í shił bééhózingo áshiinilaii hááshidi'yííłdįįł índa nahasdzáán bii'dę́ę́' hááshidííłtééł .
19:71:021:0	T'ah yówehígo ayóó ánísht'éego áshidíílííł , áádóó ha'ííníshníigo ánáshidíídlííł .
19:71:022:0	ShiDiyin God nílíinii , t'áá aaníinii nihígíí biniinaa ałdó' tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii bee naa hashniih doo . Ízrel dine'é biDiyin nílíinii , tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii bee naashnéego nich'į' hashtaał doo .
19:71:023:0	Ayóó át'éego shił nihoozhǫǫhgo nich'į' hashtaałgo naa hashniih doo . Shii' sizíinii yisdéíníłtíinii ałdó' ayóó át'éego bił hózhǫ́ǫgo hataał doo .
19:71:024:0	T'áá ákogi ánít'éhígíí shá bíighah baa yáshti' doo . Háálá atídahodiilnííł dashó'níinii t'óó baa yáhásinígi ádaalyaa áádóó t'óó ádaa yádaniidzį́į́' .
