19:68:001:1	Diyin God éí Dził Sáínai áádóó diyingo haz'ą́ągi hólóonii
19:68:001:0	Háni'dii Diyin God dildzííł ! Háni'dii bi'ana'í danilíinii tabidi'nooskaad ! Háni'dii bik'ee dadiniihii bits'ą́ąjį' yóó'iijeeh !
19:68:002:0	Łid bił yóó'iiyołígi át'éego yóó'abí'dísooł ! Ak'ah konibąąhgóó diłhįhígi át'éego Diyin God binááł háni'dii diné doo yá'ádaashóonii ádabi'dildįįh !
19:68:003:0	Nidi bíni'dii t'áá ákogi ádaat'éii bił dahózhǫ́ ! Bíni'dii Diyin God binááł bił nidahoozhǫǫh ! T'áá aaníí , t'áá íiyisí bił nidahoozhǫǫh le' !
19:68:004:0	Diyin God bich'į' dahohtaał ; bízhi' baa dahohniihgo dahohtaał ! Éí yót'ááh hiníláii yikáá' náhodididleehii yéego bich'į' dahohtaał ! Bízhi' éí Jiihóvah wolyé , éí bidááhdóó nihił nidahoozhǫǫh le' !
19:68:005:0	Diyin God éí áłchíní bizhé'é ádaadinii yiTaa' nilį́ áádóó hodiyingo kééhat'į́įgi asdzání bąąh ádahasdįįdii yá ánihwii'aahii nilį́ .
19:68:006:0	T'áá bita'ígóó naagháii bighan hólǫ́ǫ doogo Diyin God baidiyii'aah . Awáalyaa naazhjé'ígíí ch'íyii'éésh . Nidi nidaalteehii t'éiyá kéyah dahóółtseiigi kéédahat'į́ .
19:68:007:0	Diyin God nílíinii , nidine'é bilą́ąjį' dah diniyáago honoojíí góne' bá ch'íhwííníle' . Síilah .
19:68:008:0	Áko ni' nahaas'náá' , Diyin God hólóonii binááł , wót'ááhdę́ę́' t'áá íiyisí nahóółtą́ , Ízrel biDiyin God nilíinii binááł Dził Sáínai nahaas'náá' .
19:68:009:0	Diyin God nílíinii , nik'ehgo t'óó ahayóí nahóółtą́ . Nidine'é kéyah bíí' dooleełígíí nídínéesdzáago hasht'éinidlaa .
19:68:010:0	Ákwii nidine'é kéédahat'į́į́ nít'éé' . Diyin God nílíinii , baa dahojoobá'íii nidi jiiníba'ígíí binahjį' baa áhosínílyąąd .
19:68:011:0	Bóhólníihii haadzíí' . Sáanii t'óó ahayóí dahalne'go kódaaní ,
19:68:012:0	Ana'í dah deínéehii éí aláahgo bindanit'a'í t'áá bił yóó'adahinichééh ! Hooghandi asdzání nidaazdáhígíí éí ana'í binaalye'é daasnáanii nideiniih .
19:68:013:0	Dibé naazhjéé' bitahgóó danohjahgo hasbídí bit'a' béésh łigaii bik'ésti' nahalinígíí , áádóó bits'os nineezígíí éí óola łitsoii bik' ésti' nahalinígíí nidahonohłin .
19:68:014:0	Aláahgo Ayóó'ábóodziilii éí aláahgo naat'áanii danilíinii yik'eh deesdlį́į́'dóó tainooskaadgo yas nahalingo Dził Zálman bąąh yígai .
19:68:015:0	Diyin God bidził ła' Béíshan wolyé ; Béíshan éí dził deelzhaaígi át'é .
19:68:016:0	Dził dah dahats'osii nohłíinii , ha'át'íísh biniyé dziłghą́ą'gi Bóhólníihii kééhasht'į́į doo nízingi deinołch'į́į́d ? T'áá aaníí , ákwe'é Bóhólníihii hool'áágóó kééhat'į́į dooleeł !
19:68:017:0	Tsindaabąąs bijáád naakiígíí yee dah deínéehii éí diyingo naal'a'í naadiindi mííl , áádóó míildi ałk'i náámíilgo ánéelą́ą́' . Dził Sáínaigi Bóhólníihii diyingo hólónígi át'éego éí bitahgi hólǫ́ .
19:68:018:0	Aghánáhóó'áajį' hahosíníle' . Yisnááh t'áadoo bee néelą́'ígóó hashíní'eezh . Áádóó ákwii Bóhólníihii kééhat'į́į doo biniyé diné bitahgi aa deet'áanii naa dayiiznil ; nidaalteehii nidi bitahgi ałdó' naa da'iiznil .
19:68:019:0	Bóhólníihii éí t'áá ákwíí jį́ nihiyéél nihá yooyéełii , t'áá éí Diyin God yisdánihiiníiłii baa ha'niih . Síilah .
19:68:020:0	NihiDiyin God éí bee yisdá'iildéehii nilį́ . Áádóó Bóhólníihii Diyin God éí anoonééł bik'ee'ąą hodeezt'i'ii nilį́ .
19:68:021:0	Nidi Diyin God éí bi'ana'í danilíinii dabitsiits'iin yidoołjish . Bitsii' t'óó ahayóii ádaa ha'niihii ádihodiilt'i'go naagháii bitsiits'iin yidoołjish .
19:68:022:0	Bóhólníihii ání , Éí Béíshandę́ę́' nídeesh'ish ; tónteel tá łtł'ááhdę́ę́' hahideeshnił .
19:68:023:0	Áko ni'ana'í bidił bii'góó ch'ídíínááł , áádóó nilééchąą'í éí da'doołch'ał .
19:68:024:0	Diyin God nílíinii , hodílzingo ná da'ínéehii dayoo'į́ . ShiDiyin God aláahgo shinanit'a'í , hodiyingo haz'ání bii'jį' bá da'ínéehii dayoo'į́ .
19:68:025:0	Dahataa łígíí alą́ąjį' yikah . Akéédę́ę́' bibee na'a'néhí sin yee nidaanéhígíí yikah . Bita' góne' éí ch'ikéí ásaa' daagádígíí yee nidaanéego yikah .
19:68:026:0	Diné t'óó ahayóí áłah danilį́įgi Diyin God baa dahohniih . Nihí Ízrel bits'ą́ą́dóó dahosoolį́į'ii , Bóhólníihii baa dahohniih .
19:68:027:0	Bénjamin lą́ą , akéédę́ę́' naagháhígíí éí alą́ąjį' oo'ish ; Júdah dine'é yá aląąjį' naazíinii yił yinéełii bił , áádóó Zébyulan dine'é yá aląąjį' naazíinii , Náftalai dine'é yá aląąjį' naazíinii ałdó' akéé' yinééł .
19:68:028:0	Ayóó ánóodziil doogo niDiyin God ná haadzíí' . Diyin God nílíinii , nihá binishínílnishii niłdzilgo ánílééh .
19:68:029:0	Jerúsalem kin haal'áagi nikin bii' sohodizin si'ánígíí hoł danilį́įgo aláahgo naat'áanii dajílíinii aa yílyáii naa dajiiníił doo .
19:68:030:0	Lók'aa'tahgóó naaldlooshii ałchinii áádóó dóola índa diné bibéégashii yáázh deíl'áhígíí nidahojílinii nidahodíteehgo béésh łigaii baa dajidlee'go naa dahizhdoojih . Anaa' baa bił nidahoozhǫǫhii tanoołkaad .
19:68:031:0	Ííjip kéyahdę́ę́' naat'áanii danilíinii ch'ídookah ; Iithiyópiya dine'é tsxį́įłgo Diyin God yich'į' k'ídidoolchiłgo náyookąąh doo .
19:68:032:0	Ał'ąą dine'é nihił dah nahaz'ą́ą́dę́ę́' Diyin God bich'į' dahohtaał ; Bóhólníihii baa dahohniihgo dahohtaał . Síilah .
19:68:033:0	T'áá shiidą́ą'dii yót'áahdi hiníláii yikáá' náhodididleehii bich'į' dahohtaał . Jó'akon , hahadziihgo biinéé' ayóó íits'a' .
19:68:034:0	Diyin God bidziil dadohníigo baa dahohniih . Aláahgo yee ayóó át'éii yee Ízrel yaa áhályą́ áádóó bidziilígíí éí wót'áahdi hólǫ́ .
