19:119:001:1	Diyin God bibee haz'áanii aláahgo yá'át'éehii
19:119:001:0	T'áadoo bee bik'ídahót'ahígóó deíkáahii éí bik'idahojidlí , Bóhólníihii bibee haz'áanii yik'ehgo deíkáahii éí ákódaat'é !
19:119:002:0	Yee hahaasdzíi'ii yik'eh dahół'íinii índa bijéí t'áá át'é yee háká ádaat'íinii éí bik'idahojidlí .
19:119:003:0	Doo ádił da'iilzííhgóó Bóhólníihii bik'eh áhoot'éégóó deíkááh !
19:119:004:0	Nibik'ehgo iináanii bee nihá hwiinił'a'go haleebee deíníikáah dooleeł .
19:119:005:0	Bee nihoyíní'áanii baa honisą́ągo shidziilgo áshi'dólne' laanaa !
19:119:006:0	Ákohgo nibik'eh ó'oo'níiłii t'áá át'é shił nilį́įgo doo t'óó shaa yáhásingo áshidi'doolníił da .
19:119:007:0	T'áá ákogi át'éego bee nihodiyíní'áanii bóhooł'ą́ą'go shijéí t'áá ákogi át'éego naa hashniih doo .
19:119:002:1	Bóhólníihii bibee haz'áanii bik'eh hól'į́
19:119:008:0	Bee nihoyíní'áanii bik'eh honish'į́į doo . Ts'ídá t'ááká yóó'ashidóó'ááł lágo !
19:119:009:0	Haash yit'éego diné ániid naagháii yigááłgóó doo yá'ádaashóonii ádąąh yit'į́į doo ? Nizaad bik'ehgo ádaa áhályą́ągo lą́ą .
19:119:010:0	Shijéí t'áá át'é bee hánísht'į́į́ nít'éé' . Nibik'eh ó'oo'níiłii bits'ą́ąjį' dah doosha' lágo !
19:119:011:0	Doo nich'į' ádił ni'iisíih da doo biniyé nizaad shijéí bii' nídé ł'į́į́' .
19:119:012:0	Bóhólníihii nílíinii , naa ha'niih le' ! Bee nihoyíní'áanii bínashiníłtin !
19:119:013:0	Bik'eh hoogáałii bee hahídziihii t'áá ałtso baa hweeshne' .
19:119:014:0	Jit'íinii nináneel'ą́ąjį' baa hoł hózhónígíí nahalingo bee hahínídzí'ígíí bik'ehgo joogáałii éí baa shił nihoozhǫǫh .
19:119:015:0	Nibik'ehgo iináanii nabik'ítséskees doo , áádóó ánít'éii shił nilį́į doo .
19:119:003:1	Bóhólníihii bibee haz'áanii bee ił hózhǫ́
19:119:016:0	Bee nihoyíní'áanii baa shił nihoozhǫǫh doo . Nizaad doo beidiyeeshnah da .
19:119:017:0	Ná naal'a'í nishłíinii shich'į' nił hadlee'go shaa jiiníba' , áko hinishnáago nizaad bik'eh honish'į́į doo .
19:119:018:0	Nibee haz'áanii biyi'dóó t'óó bik'eda'ayóii baa ákonisin doo biniyé shináá' ąą ánílééh .
19:119:019:0	Nahasdzáán bikáá'góó dé'éyóní nishłį́ ; nibik'eh ó'oo'níiłii shits'ąą nídóół'įįh yíila' !
19:119:020:0	T'áá áłahjį' shii' sizíinii nibik'eh hoogáałii yídin nilį́įgo yínííł bił naashá .
19:119:021:0	Ádaa dahoji'niihii éí hóyée'go há hada'iisdzíi'ii dahodííníteh . Jó , éí nibik'eh ó'oo'níiłii bits'ádziiskai .
19:119:022:0	Yee shá nidahałt'i'ii índa yee dashi'íinii shits'ą́ąjį' kónílééh , háálá bee hahíínídzíi'ii bik'eh honish'į́ .
19:119:023:0	Azhą́ naat'áanii danilíinii t'óó nichǫ́'ígo shaa yádaałti' nidi , ná naal'a'í nishłíinii bee nihoyíní'áanii yéego nabik'ítséskees .
19:119:004:1	Bibee haz'áanii ts'ídá bik'eh honish'į́į doo
19:119:024:0	Bee hahíínídzíi'ii baa shił nihoozhǫǫh ; éí kót'éego dashiłníinii ádaat'é .
19:119:025:0	Shii' sizíinii doo náádoo'nééh át'éégóó ni'jį' nihidíníit'ą́ . Nizaad bee háínídzíi'ii bik'ehgo náshiiłnaah !
19:119:026:0	Yishááłgóó baa hweeshne'go shich'į' ééhosínísįįd . Bee nihoyíní'áanii bínashiníłtin !
19:119:027:0	Nibik'ehgo iináájí bik'idi'yiishtįįhgo áshíínísin . Áko t'óó bik'eda'ayóii ááníiłii baa yáshti' dooleeł .
19:119:028:0	Shii' sizíinii yínííł yéego yik'ee yicha . Nizaad bik'ehgo shidziilgo ánáshídlééh !
19:119:029:0	Na'adlo' bee ayi' honít'i'ii shits'ádiní'aah , áádóó nibee haz'áanii bee shaa jiiníbaah !
19:119:030:0	T'áá aaníí áhoot'ééjí nidiní'ą́ . Bik'eh hoogáałii shilą́ąjį' hólǫ́ǫgo íínísin !
19:119:031:0	Bee hahíínídzíi'ii bí'ádiistsood . Bóhólníihii nílíinii , t'ááká t'óó baa yáhásinígi áshóóle' lágo !
19:119:005:1	Ak'idi'dootį́į́ł biniyé sohodizin
19:119:032:0	Nibik'eh ó'oo'níiłii bik'ehgo yishwoł doo , háálá t'áá ałtsojį' hózhǫ́ yéego shił ahojoobá'ígo nitsískees áshílééh !
19:119:033:0	Bóhólníihii nílíinii , bee nihoyíní'áanii bínashiníłtin , áko ashíyííłką́ bijį́įjį' bik'eh honish'į́į doo .
