19:29:001:1	Níyol bii'dę́ę́' Bóhólníihii biinéé' diits'a'
19:29:001:0	Yá'ąąshdę́ę́' ayóó ábóodziilii danohłíinii , Bóhólníihii baa dahohniih ; Bóhólníihii yee ayóó át'éii índa bibee adziilii baa dahohniih .
19:29:002:0	Bóhólníihii bízhi' ayóó át'éii yą́ą́h nilíinii nihił danilį́ ; ayóó ánóolningo nihił dahodiyingo Bóhólníihii bich'į' nidahohłá .
19:29:003:0	Táłkáá'góó Bóhólníihii biinéé' diits'a' ; Diyin God ayóó át'éii biinéé' ii'ni'gi át'éego diits'a' . Bóhólníihii éí tó t'óó adahayóí yikáá'góó hólǫ́ .
19:29:004:0	Bóhólníihii biinéé' ayóó ábóodziil ; Bóhólníihii biinéé' ayóó át'é .
19:29:005:0	Bóhólníihii biinéé' gad yiyiitííh ; Bóhólníihii éí Dził Lébanan bighą́ą'di gad ayóó ádaníłtsooígíí yiyiitííh .
19:29:006:0	Béégashii yáázh naalgeed nahalingo dził nayiiłná ; dóola yáázh ałchinii naalgeed nahalingo Dził Lébanan áádóó Dził Síriyan ałdó' nayiiłná .
19:29:007:0	Bóhólníihii biinéé' éí kǫ' ałts'áidiyiiłnood .
19:29:008:0	Bóhólníihii biinéé' honoojí nayiiłná ; Bóhólníihii éí Kéídesh kéyah honoojí nayiiłná .
19:29:009:0	Bóhólníihii biinéé' diits'į́įhgo bįįhtsa'ii nida'iiłchíihgo ííł'į́ ; dahodíłch'ilgóó hałdééh , índa kin bii' sohodizin góne' t'áá ałtso ayóó ájít'éii yee haa yádaałti' .
19:29:010:0	Tó yíląąd yę́ędą́ą́' Bóhólníihii hoo'áałgo dah sidáá nít'éé' ; t'áá aaníí Bóhólníihii aláahgo naat'áanii nilį́įgo hoo'áałgo dah sidáago ahóyéel'áa doo .
19:29:011:0	Bóhólníihii bidine'é dabidziilgo íidoolííł . Bóhólníihii bidine'é ach'į' hózhǫ́ yee yik'izhdoodliił .
