19:112:001:1	Bóhólníihii bidósinii t'áá ałtsoní yee náás yigááł
19:112:001:0	Bóhólníihii baa dahohniih ! Bóhólníihii yidísinii índa bibik'eh ó'oo'níiłii t'áá íiyisí yaa bił nihoozhǫǫhii éí bik'ihojidlí !
19:112:002:0	Bits'ą́ą́dóó oochíiłii éí kéyah bikáá'góó ayóó át'ée doo ; t'áá ákogi ádaat'éii ba'áłchíní éí bik'ihozhdoodliił .
19:112:003:0	Binaalye'é índa yódí éí bighan góne' hólǫ́ǫ doo , áádóó bit'áá ákogi é'ét'éii ahóyéel'áágóó hólǫ́ǫ doo .
19:112:004:0	Diné t'áá ákogi át'éii chahałheełgóó adinídíín bá náhoodleeł . Éí jooba' áádóó bił hadlee'go aa a'ááh nízin índa t'áá ákogi áánííł .
19:112:005:0	Diné bił hadlee'ii áádóó a'iiníiłii éí yá'át'éhígi áánííł . Binaanish nilíinii doo haada yit'éégóó yá'át'éehgo áyoolííł .
19:112:006:0	Hool'áágóó doo łahgo áńdoo'níił da ; t'áá ákogi ááníiłii hool'áágóó bééhániih doo .
19:112:007:0	Doo yá'át'ééhgóó hane'ii doo bik'ee bił yée' da ; Bóhólníihii yaa dzólíigo bijéí bohoníłdzil .
19:112:008:0	Bi'ana'í danilíinii baa honónééł laanaa nízinii ákódaalyaajį' bik'ee doo bił yée' da doo áádóó bijéí bidziil ályaa .
19:112:009:0	Bił hadlee'go na'aznii' ; diné badahojoobá'íii yitaa'aznii' . Bit'áá ákogi é'ét'éii éí hool' áágóó hólǫ́ǫ doo ; be'adziil baa ha'niihgo náás kódoolnííł .
19:112:010:0	Diné doo yá'áshóonii éí yiyiiłtséehgo báháchįįh ; biwoo' ahíidiłk'ashgo doo bééhodoozįįł da . Diné doo yá'áshóonii laanaa nízinii t'áadoo nádleehí da .
