19:95:001:1	Aa ha'niihjí áádóó nahadláájí sin
19:95:001:0	Haa'íshą' , Bóhólníihii bich'į' dahwiitaał ! Baa nihił dahózhǫ́ǫgo tsé bee yisdéiikaii bich'į' yéego dahwiitaał !
19:95:002:0	Bich'į' ahééh daniidzingo bidááhdóó nihidiikah , áádóó nihił dahózhǫ́ǫgo sin bee bich'į' yéego dahwiitaał doo !
19:95:003:0	Háálá Bóhólníihii éí Diyin God ayóó át'éii nilį́ ; diyin dabidi'níinii t'áá ałtso biláahgo Aláahgo Naat'áanii ayóó át'éii nilį́ .
19:95:004:0	Nahasdzáán bii'góó ayóó ádahonízádígíí bílák'ee silá . Dził aghádahaz'áhígíí ałdó' bí .
19:95:005:0	Tónteel ałdó' bí , háálá bí áyiilaa áádóó ni' yíłtseii áyiilaa .
19:95:006:0	Haa'íyee' , bich'į' yaa ádadii'níiłgo bich'į' nidahodiidlaał , Bóhólníihii ánihiilaii bich'į' nitsidadidiigoh !
19:95:007:0	Háálá bí nihiDiyin God nilį́ , áádóó bikéyah hootsogi bidine'é naakaígíí niidlį́ . Jó , bidibé dah yooléełii daniidlį́ . Díí jį́ Diyin God biinéé' dadoohts'a'go ,
19:95:008:0	shą́ą́' , honoojíidi ałghadazhdit'ááh yę́ędą́ą́' áádóó Diyin God nabídazhnitaahgo yoołkááł yę́ędą́ą́' t'ą́ą́zh'neezhjé'ígi át'éego t'áadoo nihijéí dantł'izí .
19:95:009:0	Áadi shinaanish dayoo'į́į́ nít'éé' nidi , danihizhé'é yę́ę shíkada'iisxilgo nashídaneeztą́ą́' .
19:95:010:0	Dízdiin nááhaijį' éí oochíłígíí bich'į' doo shił hóózhǫǫdgóó ádííniid , Diné t'áá bí bijéí yee ádił nida'ílzííh . Ánísht'éii doo bił béédahoozį́į́' ádaat'ée da .
19:95:011:0	Áko t'óó báhádzidgo atí'ésh'íinii binahjį' ádee hadeesdzíi'go ádííniid , Háá'áyį́į́h bee hooł'a'ígíí ts'ídá doo biih dazhdookah da .
