19:55:001:1	Binda'adlo'ii ádoodįįł bíká sohodizin
19:55:001:0	Diyin God nílíinii , shisodizin yíníłts'ą́ą́' , áádóó nánooshkąąhígíí t'áadoo bits'ąą na'ádiníl'iní !
19:55:002:0	Shííníłts'ą́ą'go shich'į' ééhonísįįh , háálá saad honishłónígíí índa nidish'ni'ígíí bik'ee nitsinishtłah .
19:55:003:0	Háálá shi'ana'í hahóół'á , áádóó diné doo yá'ádaashóonii shich'į' nidahwiiłná . Háálá doo ákwii át'éii shik'ijį' deidiyiiłtááh , áádóó bádahachį'go dashijoołxá .
19:55:004:0	Shijéí t'áá íiyisí yidíłniih . Anoonééł bik'ee hóyée'ii shik'i dahoole' .
19:55:005:0	Shił yéé' hazlį́į́' áádóó shitah hodiis'náá' índa ts'ídá t' áá íiyisí t'óó bik'ee shił hóóyéé' .
19:55:006:0	Áko ádíshní , Hasbídí nahalingo shit'a' hólǫ́ǫ doo yę́ę , áko éí bee yóó'adeesht'ahgo háadida hanáshyį́įh doo nít'éé' .
19:55:007:0	Jó , ákót'éego éí nízaadgóó adeeshááł nít'éé' ; honoojíidi hanáshyį́įh doo nít'éé' . Síilah .
19:55:008:0	Ayóó át'éego níyol áádóó t'óó báhádzidgo níyol bits'ąą tsxį́įłgo niiłt'ádiich'ijį' yóó'adeesht'ah nít'éé' .
19:55:009:0	Bóhólníihii nílíinii , éí bił dahóhłąąh índa bizaad bits'ą́ą́' ałtaa nánínił , háálá éí kin haal'áagi diné ádéédahooldzíihgo índa ahináádiijahgo yiiłtsą́ .
19:55:010:0	T'áá ákwíí jį́ índa t'áá ákwíí tł'éé' éí kin haal'á binaa ahééda'astł'inígíí bighą́ą'di nidaakai áádóó doo ákwii át'éii índa ádílááh bitahgi hólǫ́ .
19:55:011:0	Kintahgóó doo yá'áshóonii baa na'aldeeh . Kintah da'nítiingóó ade áhólzinii índa yooch'ííd doo yóó'adeidi'aah da .
19:55:012:0	Háálá shá nahast'i'ígíí éí doo shi'ana'í át'į́į da lá , éí át'į́įgo éí bich'į' ha'ííníshníi doo nít'éé' . Índa shik'ee deeznihii shich'į' ayóó át'éego í'diilyaii doo éí át'į́į da lá . Éí át'į́įgo éí bits'ąą nídideesht'į́į́ł nít'éé' .
19:55:013:0	Nidi ni ánít'į́į́ lá ; diné t'áá bił ahinisht'éii , bił tádísh'aashii , shik'is nílíinii , ni ánít'į́į́ lá ;
19:55:014:0	łikango ahił náhwiilnih nít'éé' . Diyin God bikingóó k'é ahidii'níigo lą'í bił neiikai nít'éé' .
19:55:015:0	Bíni' t'áadoo kót'é ílíní daniné , bíni'dii t'áá dahináago ch'į́įdiitahgóó ahikááh , háálá kéédahat'į́įgi índa dabitahgi ts'ídá doo yá'áshóonii hólǫ́ .
19:55:016:0	Nidi shí éí Diyin God néideeshkąął , áádóó Bóhólníihii yisdáshidoołtééł .
19:55:017:0	E'e'áahgo índa abínígo áádóó ałné'é'áahgo t'áá niná'deet'įįhjį' sodiszin ; t'áá niná'deet'įįhjį' yéego ná'ooshkąąhgo shiinéé' yididoots'į́į́ł .
19:55:018:0	Naashbaahdę́ę́' t'áadoo át'éhígóó hózhǫ́ǫgo shii' sizíinii yisdéidoołtééł , háálá lą'í shit'ááh nájah .
19:55:019:0	Diyin God , t'áá ałk'idą́ą́' hoo'áałii shididoots'į́įłgo atíhodoolííł . Síilah . Háálá doo łahgo ádajinéhígíí bąą Diyin God doo dazhdísin da .
19:55:020:0	Yił k'é ahidi'níinii yich'į' nát'ą́ą́' ninálwod ; yił aha'deet'áanii k'íinínizh .
19:55:021:0	Bizaad łikango yáłti' , nidi bijéí biyi'di t'éí anaa' nidzin ; ak'ah yilzhólígíí bilááh át'éego yáłti' , nidi yee yáłti'ígíí diltłish nahalingo bik'eda'ashch'íí' .
19:55:022:0	Bee nide áhoot'éhígíí Bóhólníihii baa diní'aah , áko naa áhályą́ą doo . Diné t'áá ákogi át'éii nahjį' kóbidi'doolníłígíí ts'ídá doo yee hwiidooł'aał da .
19:55:023:0	Nidi Diyin God nílíinii , ni éí a'áán góyaa ó'ooldįįłjį' ahodííłkał . Diné nideiłtseedgo dił bits' ádaazlį́įgo ádeile'ii índa binda'adlo'ii doo nízaadgóó dahináa da doo , nidi shí éí naa jííníshłíi doo .
