19:63:001:1	Diyin God éí diné yídin nilíinii yee hwiih nilį́įgo ííł'į́
19:63:001:0	Diyin God nílíinii , shiDiyin God nílį́ ; ts'ídá t'áá aaníí hándínísh'į́į' doo . Kéyah náhooltseii áádóó nídínéesdzáago tó ádindi shii' sizíinii níká dibáá' nilį́ áádóó shits'íís nídin nilį́ .
19:63:002:0	Áko bee nidziilii índa bee ayóó ánít'éii yideestsééł biniyé kin bii' sohodizin góne' hándéé'į́į́' .
19:63:003:0	Jó , iiná biláahgo aa a'ááh nínízinígíí bee naa hashniih doo .
19:63:004:0	Kót'éego ni'níłdįįd bijį́įjį' naa hashniih doo . Dego dah nídidiishnihgo nízhi' bee naa hashniih doo .
19:63:005:0	Awol áádóó ak'ah jííyą́ą́' nahalingo shii' sizíinii hwiih nilį́ áádóó shił hózhǫ́ǫgo naa hashniih .
19:63:006:0	Shitsásk'eh bikáá' sítį́įgo nénáshniih , áádóó tł'ée'go ch'énínásdzi'go naa nitséskees .
19:63:007:0	Háálá shíká anánílwo' nít'éé' , áko nit'a' biyaagi k'ad shił hózhǫ́ .
19:63:008:0	Shii' sizíinii yéego nikéé' ahidíízį́ ; ninish'náájí bee nisdzilgo áshíínísin .
19:63:009:0	Nidi shii' sizíinii ádazhdoołdįįł biniyé hádajit'íinii éí nahasdzáán biyi' ayóó ánízáád góyaa dazhdooleeł .
19:63:010:0	Diltłish bee nidahodi'dootsił . Mą'ii dahodoolghałii dajílį́į doo .
19:63:011:0	Nidi aláahgo naat'áanii éí Diyin God yaa bił nihoozhǫǫh doo . T'ááłá'í jinítínígo t'áá aaníí ádajiníigo ádee hadahizhdidziihii éí hoł dahózhǫ́ǫ doo , nidi dabiyooch'íidgo yádaałti'ii dahodi'doolyił .
