19:115:001:1	Diyin God áádóó eda'alyaii
19:115:001:0	Nihich'į' éí dooda , Bóhólníihii nílíinii , nihich'į' éí dooda , nidi aa a'ááh nínízinii áádóó nit'áá aaníinii biniinaa nízhi' bee ni'dójíigo naa ha'niih le' !
19:115:002:0	Ha'át'íísh biniinaa ał'ąą dine'é ádaaní , BiDiyin Godshą' k'ad háájí silį́į́' ?
19:115:003:0	NihiDiyin God yee' yót'ááh hiníláadi hólǫ́ ; t'áá ádeeshłííł nízinígíí áyoolííł .
19:115:004:0	Bi'eda'alyaii éí béésh ł igaii índa óola , éí diné bíla' yee ádayiilaii ádaat'é .
19:115:005:0	Éí bizéé' dahólǫ́ǫ nidi , doo yee yádaałti' da . Bináá' dahólǫ́ǫ nidi , doo yee da'oo'į́į da .
19:115:006:0	Bijaa' dahólǫ́ǫ nidi , doo yee da'diits'a' da . Bíchį́į́h dahólǫ́ǫ nidi , doo yee da'ałchin da .
19:115:007:0	Bíla' dahólǫ́ǫ nidi , doo yee nida'ach'id da . Bikee' dahólǫ́ǫ nidi , doo yee nidaakai da , áádóó azooł dah dijoolígíí dahólǫ́ǫ nidi , doo yee yádaałti' da .
19:115:008:0	Díí ádajoolíłígíí t'áá éí nidahojílin , áádóó eda'alyaii yaa dadzólíhígíí t'áá ałtso ałdó' t'áá ákódaat'é .
19:115:009:0	Ízrel dine'é nohłíinii , Bóhólníihii baa dadzíínóhłí ! Éí yíká análwo'ii áádóó yinaage' nilį́ .
19:115:010:0	Éran dine'é nohłíinii , Bóhólníihii baa dadzíínóhłí ! Éí yíká análwo'ii áádóó yinaage' nilį́ .
19:115:011:0	Nihí Bóhólníihii dadíínóhsinii , Bóhólníihii baa dadzíínóhłí ! Éí yíká análwo'ii áádóó yinaage' nilį́ .
19:115:012:0	Bóhólníihii éí nihénálniih nít'éé' ; ak'izhdoodliił ; Ízrel dine'é yik'izhdoodliił ; Éran dine'é yik'izhdoodliił .
19:115:013:0	A'ohgo ádaat'éii índa ayóó ádaat'éii Bóhólníihii deidósinii yik'izhdoodliił .
19:115:014:0	Niha'áłchíní t'áá bił Bóhólníihii k'ee'ąą nihidínółt'įįhgo da'dooht'įįł !
19:115:015:0	Bóhólníihii éí yádiłhił índa nahasdzáán áyiilaii nihik'ijidlíi le' .
19:115:016:0	Yá'ąąsh bił hiníláii éí Bóhólníihii bí , nidi nahasdzáán éí dadine'é bada'áłchíní yeidiní'ą́ .
19:115:017:0	Daneeznáanii éí Bóhólníihii doo yaa dahaniih da ; hodéezyéél góyaa nidahaleehígíí ałdó' dooda .
19:115:018:0	Nidi nihí kodóó ahóyéel'áágóó Bóhólníihii baa dahwii'niih doo . Bóhólníihii baa dahohniih !
