19:105:001:1	Bóhólníihii éí Ízrel dine'é yá ayóó át'éii áyoolíiłii
19:105:001:0	Haa'íshą' Bóhólníihii bich'į' ahééh danohsin ! Bízhi' dayínóhshíigo bich'į' sodadołzin ! Diné bitahgóó yaa naayáhígíí baa dahołne' !
19:105:002:0	Bich'į' dahohtaał ! Baa dahohniihgo bich' į' dahohtaał ! T'óó bik'eda'ayóigo áát'įįdii t'áá ałtso baa dahołne' !
19:105:003:0	Bízhi' diyinii bee baa dahohniih le' ! Bóhólníihii há daat'íinii bijéí bił nidahoozhǫǫh le' !
19:105:004:0	Bóhólníihii índa bibee adziil hádaoht'į́ ! Bóhólníihii t'áá áłahjį' hádaoht'į́ !
19:105:005:0	T'óó bik'eda'ayóigo áálíiłii áádóó t'óó bik'eda'ayóigo át'éii índa yee nihodiiz'áanii béédaałniih !
19:105:006:0	Bóhólníihii yá naal'a'í nilíinii Éíbraham bits'ą́ą́dóó yichíiłii danohłíinii , Jéíkab bada'áłchíní nídii'nilii danohłíinii , béédaałniih !
19:105:007:0	Éí Bóhólníihii nihiDiyin God nilį́ . Nahasdzáán bikáá'góó t'áá níłtéél nít'éé' nihodii'aah .
19:105:008:0	Bibee aha'deet'áanii , t'áá éí miildi ałk'i ná'oochííłgóó yich'į' saad yee haadzíi'ii hool'áágóó yénálniih .
19:105:009:0	Éí Éíbraham yił aha'deet'ą́ áádóó Áízak yich'į' ádee hadoodzíí'
19:105:010:0	índa bee nihot'áanii dooleeł biniyé bohoníłdzilgo Jéíkab baa deet'ą́ , áko hool'áágóó bee aha'deet'áanii át'éego Ízrel baa deet'ą́ .
19:105:011:0	Kóníigo haadzíí' , Kéínan kéyah nihá bits'á ní'ą́ągo nihíí' dooleeł biniyé nihaa dideesh'ááł .
19:105:012:0	Diné t'áá dókólt'éhígo , t'áá aaníí t'áá dókójílt'éhí yee' éí kéyahdi dé'éyóní dajílį́įgo tázhdínéehgo
19:105:013:0	ał'ąą dine'é ła'ałyóí baa níjí'néehgo ał'ąą dine'é bee bídahólníihgo bił dah nahaz'ą́ą́góó tázhdínéehgo
19:105:014:0	diné doo ła' atíbidi'doolníłígíí biniyé yich'ą́ą́h déesnii' nít'éé' ; t'áá aaníí bidine'é yiniinaa aláahgo naat'áanii danilíinii yich'ahashkéé nít'éé' ,
19:105:015:0	kóníigo , Ak'ah bik'i yadaadziidgo deísį́į'ii t'áadoo baa nídaaht'íní ! Shá dahalne'ii atídaohłééh lágo !
19:105:016:0	Éí kéyahgi dahodidoochįįł , dííniid áádóó bits'ą́ą́dóó ch'iyáán náhoodleełgo yee dahinánígíí t'áá ałtso nahjį' kóyiilaa .
19:105:017:0	Diné léi' hatsijį' ayííł'a' ; éí Jóseph naalte' dooleełgo nahaaznii'ii
19:105:018:0	hakee' éí béésh da'ahólzha'í yee hadeideesnih . Béésh da'ahólzha'í yee dah dahwiiztł'ǫ́ .
19:105:019:0	Bee hadzoodzíi'ii bohoolyaajį' Bóhólníihii bizaad nahóneeztą́ą́' .
19:105:020:0	Aláahgo naat'áanii háká i'ííł'a'go ch'ééhoníłt'e' . Diné binanit'a'í nilíinii ch'ééhoníłt'e' .
