19:116:001:1	Anoonééł bits'ą́ąjį' yisdá'iildééh baa ahééh hwiindzin
19:116:001:0	Bóhólníihii ayóó'óósh'ní , háálá bich'į' yáshti'ígíí áádóó yíníshkeedígíí shá yidiizts'ą́ą́' .
19:116:002:0	Shich'į' dah díníit'ą́ągo shíists'ą́ą́' ; éí bąą ni'níłdįįd bijį́įjį' náoshkąąhgo bich'į' sodiszin doo .
19:116:003:0	Anoonééł bitł'óól shináhineeshzhee' ; hool'áágóó ti'hoo'níihdi bik'e'íyée'ii shidiniiltsood nít'éé' ; ach'į' nahwii'ná índa yínííł bik'ee ti'hwiisénii' .
19:116:004:0	Áko índa Bóhólníihii bízhi' bee yíníshíigo náoshkąąhgo bich'į' sodiszin ; Bóhólníihii nílíinii , nánooshkąąh ; shii' sizíinii yisdáníłteeh !
19:116:005:0	Bóhólníihii éí jooba' áádóó t'áá ákogi át'é ; t'áá aaníí , nihiDiyin God aa a'ááh nízinii nilį́ .
19:116:006:0	Bóhólníihii éí doo dahóyáanii yaa áhályą́ ; t'áá báada a'ohgo ánísht'é sélį́į'go yisdáshííłtį́ .
19:116:007:0	Shii' sizíinii nílíinii , háánílyį́įh dooleełgóó nánídleeh , háálá Bóhólníihii éí t'óó ahayóígóó yá'át'éehii ná yaa naayá .
19:116:008:0	Jó , anoonééł bits'ą́ąjį' shii' sizíinii yisdéíníłtį́ , doo yishchagóó áshiinilaa , áádóó shaa áhólyą́ągo doo dishgeehgóó áshíínísin nít'éé' .
19:116:009:0	Bóhólníihii binááł dahináanii bitahdi yisháał doo .
19:116:010:0	T'áá íiyisí shich'į' nahwii'ná , dishníi nidi baa jííníshłí .
19:116:011:0	Tsį́įłgo haasdzíi'go ádííniid , Nihokáá' dine'é t'áá ałtso dabiyooch'íidii danilį́ .
19:116:012:0	Bóhólníihii t'áá ałtsoní shaa yiiznilii ha'át'íishą' bee bich'į' k'éédideesh'nííł ?
19:116:013:0	Bee yisdá'iildééhjí bee adlání ádá shóideesht'eełgo shił hózhǫ́ǫgo Bóhólníihii bízhi' bee yíníshíigo bich'į' sodideeszįįł .
19:116:014:0	Bóhólníihii bidine'é t'áá ałtso binááł Bóhólníihii bich'į' ádee hadeesdzíi'ii k'ad bi'deeshłííł .
19:116:015:0	Bóhólníihii binááł bidiyį́į́' daninéego agháago ílį́įgo yaa nitsíkees .
19:116:016:0	Bóhólníihii nílíinii , t'áá aaníí ná naal'a'í nishłį́ ; ná naal'a'í biyáázh nishłį́įgo ná naal'a'í nishłį́ . Bee dah dashi'diistł'óonii shá k'eda'síní'ah .
19:116:017:0	Ahééh hasingo nááhániihii nich'į' nááhideeshnih áádóó Bóhólníihii bízhi' yíníshíigo sodideeszįįł .
19:116:018:0	Bóhólníihii bidine'é t'áá ałtso binááł Bóhólníihii bich'į' ádee hadeesdzíi'ii k'ad bi'deeshłííł .
19:116:019:0	Jerúsalem nílíinii , nitahgi Bóhólníihii bikin bii' sohodizin binaagi nahaz'ánígi bi'deeshłííł . Bóhólníihii baa dahohniih !
