19:132:001:1	Kin bii' sohodizin bik'ihojidlí biniyé sohodizin
19:132:001:0	Bóhólníihii nílíinii , David atíbi'dil'íinii t'áá ałtso béénílniih .
19:132:002:0	Íídą́ą́' Bóhólníihii yich'į' ádee hadoodzíi'ii Jéíkab biDiyin God Ayóó'át'éii yich'į' ádee hadoodzíi'go ání ,
19:132:003:0	T'áá aaníí shighan góne' doo yah adeesháał da índa shitsásk'eh doo biih deesh'nah da ,
19:132:004:0	doo iideeshhosh da , doo nidi dínéeshch'ił da ,
19:132:005:0	Bóhólníihii bá haz'ą́ą dooleełgi , éí Jéíkab biDiyin God Ayóó'át'éii kééhat'į́į dooleełgi bik'íníyáajį' índa ákódeeshnííł .
19:132:006:0	Jó , Éfratah nahós'a'di baa hosidiits'ą́ą́' ; tsin yíl'áhígíí bíighahgóó dahootsogi bik'íniikai .
19:132:007:0	Haa'íshą' kééhat'ínígi yah adiikah ; bibikáá' dah adées'eezí si'ą́ągi nidahodiidlaał !
19:132:008:0	Bóhólníihii nílíinii , díldzííł , háánílyį́įh dooleełgóó tsits'aa' dílzinii nidziil bee bééhózinii bił dínááh .
19:132:009:0	Háni'dii nináá'iiłniihii t'áá ákogi át'éii yee hadadít'ée le' , áádóó nidiyį́į́' danilíinii bił dahózhǫ́ǫgo nídididla' le' .
19:132:010:0	Ná naal'a'í David biniinaa ak'ah bik'i yeiniziidgo yínísį́į'ii nits'ą́ąjį' doo habidínííłniił da .
19:132:011:0	Bóhólníihii t'áá aaníí áníigo índa doo yits'ą́ąjį' áńdoo'nííłgóó David yich'į' yee ádee hadoodzíí' , Nits'ą́ą́dóó da'ahílchíihii ła' , bikáá'dóó nahó'áii yikáá' dah náhidinoobįįłgo ádeeshłííł .
19:132:012:0	Na'áłchíní éí shibee aha'deet'áanii índa bee hahásdzíi'ii bee nidadínéeshtįįłígíí yik'eh dahół'į́įgo banááda'áłchíní ałdó' bikáá'dóó nahó'áii hool'áágóó yikáá' dah náhidinoobįįł doo .
19:132:013:0	Háálá Bóhólníihii éí Záíyangi náhodii'ą́ ; ákwii kééhat'į́į doo biniyé yiniizį́į́' .
19:132:014:0	Kwe'é hool'áágóó hanáshyį́įh doo , kwe'é kééhasht'į́į doo , háálá éí bídin nishłį́į́ nít'éé' .
19:132:015:0	Záíyandi bikiin dajiináanii t'óó ahayóí bee hak'ijishdlíi doo ; bidine'é baa dahojoobá'íii ch'iyáán yee hwiih danilį́įgo ádeeshłííł .
19:132:016:0	Ákwe'é nááda'iiłniihii bee yisdá'iildéehii bee hadadideeshłííł , áádóó ákwe'é bidiyį́į́' danilíinii bił dahózhǫ́ǫgo nídididla' doo .
19:132:017:0	Ákwii David dziil bá hooleełgo ádeeshłííł ; ak'ah bik'i yaadziidgo yísį́į'ii bá bee hool'iní ła' hasht'eishłaa .
19:132:018:0	Hwe'ana'í danilíinii yáhásin bee hadadideeshłííł , nidi naat'á ch'ah hak'i dí'ánígíí bee bééhózingo hóhólníhígíí náás yit'ih doo .
