19:97:001:1	Bóhólníihii nant'áii áádóó bibee adziilii
19:97:001:0	Bóhólníihii nant'á , nahasdzáán bił nihoozhǫǫh le' ! Táyi'dę́ę́' kéyah lą'í hadaaz'áhígíí bił dahózhǫ́ǫ le' !
19:97:002:0	Binaagóó k'os índa chahałheeł hólǫ́ . T'áá ákogi át'éii áádóó doo haada yit'éii bee bibikáá'dóó nahat'áii bohoníłdzilgo si'ą́ .
19:97:003:0	Kǫ' bilą́ąjį' doonałgo binaagóó bi'ana'í iidiyiiłk'ą́ą́h .
19:97:004:0	Bits'ą́ą́dóó nída'iilgęshii nahasdzáán bikáá'góó bee nídahool'įįh ; nahasdzáán éí yiyiiłtsą́ągo yik'ee ditłid nít'éé' .
19:97:005:0	Nahasdzáán t'áá si'ą́ą́ nít'éé' bee Bóhólníihii honíle'go bik'ee ak'ah dííłhį́'ígi át'éego dził dadííłhį́į́' .
19:97:006:0	Yádiłhił éí Bóhólníihii t'áá ákogi át'éhígíí yaa halne' áádóó ał'ąą dine'é t'áá ałtso bee ayóó ájít'éii dayoo'į́ .
19:97:007:0	Be'elyaii yich'į' nidahałáii , be'elyaii yee ádaa daha'niihii t'óó ádaa yádandzin le' . Diyin danihidi'níinii t'áá ánółtso , Bóhólníihii bich'į' nidahohłá .
19:97:008:0	Záíyan adiizts'ą́ą'go bił hóózhǫǫd . Bóhólníihii nílíinii , ánihoyí'aahígíí binahjį' Júdah bitsi'ké t'áá íiyisí bił dahóózhǫǫd .
19:97:009:0	Háálá ni , Bóhólníihii nílíinii , nahasdzáán t'áá si'ą́ą́ nít'éé' biláahgo ayóó ánít'é . Diyin dabidi'níinii t'áá ałtso biláahgo ayóó át'éii nílį́ .
19:97:010:0	Bóhólníihii ayóó'ádeínóhnínígíí , doo yá'át'éehii dajiinohłá ; Bóhólníihii éí bidiyį́į́' danilíinii bii' naazíinii yá yaa áhályą́ . Diné doo yá'ádaashóonii yits'ą́ąjį' yisdáyiinííł .
19:97:011:0	Diyin God éí diné t'áá ákogi ádaaníiłii yá adiníłdíín . Diné bijéí t'áá ákogi ádaat'éii bił nídahoojǫǫłgo áyósin .
19:97:012:0	Diné t'áá ákogi ádanoht'éii , Bóhólníihii baa nihił nidahoozhǫǫh ! Jidiyinígíí béédaałniihgo bich'į' ahééh danohsin !
