19:84:001:1	Diyin God bikin bii' sohodizin bídin ídlį́
19:84:001:0	T'áá ałtsoní bee Bóhólníihii nílíinii , dooládó' hózhónígi kééhót'į́į da !
19:84:002:0	Shii' sizíinii éí Bóhólníihii bikin bii' sohodizin yinízingo yídin ánééh . Shijéí áádóó shits'íís t'áá chaałda Diyin God hináanii yich'į' hataał .
19:84:003:0	T'áá ałtsoní bee Bóhólníihii nílíinii , aláahgo shinanit'a'í áádóó shiDiyin God nílíinii , nibikáá' náá'iiniihí si'ą́ągi tsídiiłbáhí nidi bighan yik'éghááh áádóó táshchozhii biyázhí niidooniłgi bit'oh yik'éghááh .
19:84:004:0	Nikin yii' kéédahat'íinii éí bik'idahojidlí ! Éí áłahjį' naa dahaniihgo dahataał . Síilah .
19:84:005:0	Diné ninahjį' bidziilii , Záíyangóó da'nítiinii bijéí biyi'di bíni' danilíinii éí bik'idahojidlí .
19:84:006:0	Béíka bokoohgóó deíkáahgo tó hadaazlį́įgo ádahale' ; áłtsé nahałtį́hígíí ałdó' tó nídeigeehgóó tó háádadibį́į́h .
19:84:007:0	Bidziil dahooleełgo náásgóó deíkááh . T'ááłá'í nítínígo Záíyandi Diyin God yidááhdę́ę́' nihidookah .
19:84:008:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii , shisodizin diits'į́į́h ! Jéíkab biDiyin God nílíinii , íísíníłts'ą́ą́' ! Síilah .
19:84:009:0	Shoo , Diyin God naagé nihá nílíinii , ak'ah bik'i yeiniziidgo yínísį́į'ii binii' níníł'į́ !
19:84:010:0	Jó , t'áá háadida t'ááłáhídi míildi hwee i'íí'ą́ biláhídi át'éego nikin bii' sohodizingi hwee i'íí'ą́ą́jí agháago yá'át'ééh . Diné doo yá'ádaashóonii dabiníbaal bii'góó kééhasht'į́į dooleełígíí biláhídi át'éego shiDiyin God bikin bidáádílkał baa áháshyą́ą dooleełjígo shił yá'át'ééh .
19:84:011:0	Háálá Bóhólníihii Diyin God éí jį́honaa'éí áádóó naagé nihá nilį́ . Bóhólníihii bee ajooba' índa bits'ą́ą́dóó bee ił ídlíinii eidii'aah . T'áá ákóne' át'éego deíkáahii éí yá'ádaat'éehii łá'í nidi doo yits'ą́ąjį' hwííléeh da .
19:84:012:0	T'áá ałtsoní bee Bóhólníihii nílíinii , diné naa dzólíii éí bik'ihojidlí !
