19:25:001:1	Bik'ehgo joogáałgo , há yóó'a'dii'aahgo áádóó haa áháyą́ą doo bíká sohodizin
19:25:001:0	Bóhólníihii nílíinii , shii' sizíinii nídin nilį́įgo nich'į' sodiszin .
19:25:002:0	ShiDiyin God nílíinii , naa jííníshłí ; t'ááká t'óó baa yáhásinígi ádashóle' lágo ; shi'ana'í danilíinii doo shik'eh dadidlį́į da le' .
19:25:003:0	T'áá aaníí niba' ádaat'éhígíí doo ła' t'óó baa yáhásinígi ábi'dil'į́į da le' , nidi t'áadoo biniinaanígóó shindahaz'áanii ádaa yádahiniizįįh le' .
19:25:004:0	Bóhólníihii nílíinii , nik'ehgo ádahoot'éii shił bééhonísįįh ; nik'ehgo da'nítiinii bínashiníłtin .
19:25:005:0	Nit'áá aaníinii bii'góó shił yí'ash , áádóó nashinítin , háálá Diyin God bee yisdááyáii nílį́ ; t'áá áłahjį' niba' ánísht'é .
19:25:006:0	Bóhólníihii nílíinii , aa a'ááh nínízinii áádóó ayóó'í'ííní'níigo jiiníba'ígíí bee shéénílniih , háálá t'áá shiidą́ą'di hólǫ́ .
19:25:007:0	Ániid naasháádą́ą́' ádił ni'iyésíi'ii índa bee haz'áanii híti'ii t'áadoo béénílniihí . Bóhólníihii nílíinii , yá'ánít'éhígíí binahjį' aa a'ááh nínízinii bik'ehgo shéénílniih !
19:25:008:0	Bóhólníihii nilíinii éí yá'át'ééh áádóó t'áá aaníí góne' át'éii nilį́ ; éí bąą bąąhági ádaaníiłii yá'át'ééh honít'i'ii yee neinitin .
19:25:009:0	A'ohgo ádaat'éii yá'áhoot'ééhgóó yoo'ish , áádóó a'ohgo ádaat'éii hohonít'i'ii bínabizhniłtin .
19:25:010:0	Bóhólníihii bibee aha'deet'áanii índa yee hahaasdzíi'ii yida'ał'ínígíí éí aa a'ááh hasin áádóó t'áá aaníinii bee da'nítiingóó deíkááh .
19:25:011:0	Bóhólníihii nílíinii , doo ákwii áát'įįdii nízhi' binahjį' yóó'adí'aah , háálá ayóó ánéelą́ą́' .
19:25:012:0	Háí diné shį́įshą' Bóhólníihii yidísinii nilį́ ? Éí diné joogááł dooleełgóó nizhdiní'ą́ągo ákǫ́ǫ́ Bóhólníihii nahonitin doo .
19:25:013:0	Hwii' sizíinii t'áadoo yídin nilínígóó hináa doo , áádóó kéyah aa deet'ánígíí ha'áłchíní daabíí' dooleeł .
19:25:014:0	Bóhólníihii deidósinii éí Bóhólníihii yił ahídadínéelná ; bibee aha'deet'áanii bił béédahózingo áyósin .
19:25:015:0	T'áá áłahjį' Bóhólníihii bich'į' dínísh'į́į́' , háálá łoh biyi'dę́ę́' hááshididooł'is .
19:25:016:0	Shich'į' naanánídáahgo shaa jiiníbaah , háálá t'áá sáhí naashá áádóó atíshi'dil'į́ .
19:25:017:0	Yínííł ánísht'éhígíí shijéí bide ádzaa ; tsístł'asíyáhígíí bii'dóó hááshíłteeh .
19:25:018:0	Atíshi'dil'ínígíí áádóó ti'hooshníhígíí hazhó'ó shá baa nitsíníkees , áádóó ádił ni'iisíhígíí ałtso shá yóó'adí'aah .
19:25:019:0	Shi'ana'í t'óó ahayóígíí áádóó diné doo ił nida'íłdįįhii doo dashíłdinígíí baa nitsíníkees .
19:25:020:0	Shii' sizíinii baa áhólyą́ , áádóó yisdáshíłteeh ; t'óó baa yáhásinígi áshi'dólne' lágo , háálá naa jííníshłí .
19:25:021:0	Doo shina'adlo'ii áádóó t'áá ákóne' ánísht'éii bee yisdziih le' , háálá niba' ánísht'é .
19:25:022:0	Diyin God nílíinii , Ízrel dine'é bich'į' nidahwii'náanii t'áá át'é bik'éniná'nídléego háání'nííł .
