19:45:001:1	Aláahgo naat'áanii iiyehjí sin
19:45:001:0	Shijéí bee yá'át'éehii baa hodeeshnihii wó'ą́ą́lį́ ; bee hahasdziihii aláahgo naat'áanii bee bił hashne' ; shitsoo' éí yiyiichįįhgo ak'e'ałchíii nahalin .
19:45:002:0	Diné ba'áłchíní danilíinii bitahdóó ni aláahgo naa dzólní ; jiiníba'go t'éiyá yáníłti' ; éí bąą Diyin God hool'áágóó nik'ijisdli' .
19:45:003:0	Aláahgo naat'áanii ayóó ábóodziilii nílíinii , nits'ádi'nílídígíí áádóó ayóó ánít'éhígíí bee hadínéehgo nidiltłish nąąh ní'áago ánílééh .
19:45:004:0	Aláahgo naat'áanii ayóó át'éii nílį́įgo ak'eh dídlį́įgo łį́į́' nił yildloshgo t'áá aaníinii áádóó aa a'ááh hasinii índa t'áá ákogi át'éii bich'ą́ą́h nahóle' . Níla' nish'náájíígíí t'óó bik'ee tsízdólyésígi ádaat'éii yee naninitin doo .
19:45:005:0	Nik'a' dadeeníigo aláahgo naat'áanii bi'ana'í dabijéí baa ahilyeed , áko ał'ąą dine'é niyaajį' naa'ahinidééh .
19:45:006:0	Diyin God nílíinii , bikáá'dóó nahó'áii bikáá'dóó hóó'áałgo hool'áágóó ahóyéel'á . Bee nóhólníihgo bił haz'áanii biyi' naat'á gish éí ts'ídá t'áá ákogi át'éii át'é .
19:45:007:0	T'áá ákogi át'éii ayóó'ííní'ní , índa doo yá'áshóonii éí jiiníłá . Éí bąą Diyin God , niDiyin God nilíinii ak'ah nik'i yayiiziidgo bił da'ahíínítą'ii biláahgo át'éego nił hózhǫ́ǫgo ániilaa .
19:45:008:0	Mir áádóó álooz índa káshiya daolyéii łikání dahalchinígíí ni'éé' bąąh dahalchin ; aláahgo naat'áanii bikin góne' áívori bee naashch'ąą'ii ákóne' tsin bąąh tł'óół daneelzhee'ígíí dadiits'a'go nił hóóshǫǫd .
19:45:009:0	Asdzání nił danilíinii bitahgi aláahgo naat'áanii danilíinii dabitsi'ké ła' naazį́ : asdzą́ą́ naat'ááh éí Ófer kéyahdę́ę́' óola bee éé' disǫsii ályaaígíí yee hadít'éego ninish'náájí sizį́ .
19:45:010:0	Ch'ikę́ę́h nílíinii , shich'į' dah díníit'aahgo nitsíníkeesgo shíísíníłts'ą́ą́' . Nidine'é áádóó nizhé'é bighandóóígíí baa yoonééh .
19:45:011:0	Áko aláahgo naat'áanii ayóó áníínílninígíí yidánoolníi doo . NiBóhólníihii nilínígíí bąą bich'į' hodíínísin .
19:45:012:0	Táir hoolyéii bich'é'é , t'áá éí agháago da'at'íinii nihich'ozhdooniił danízingo deit'íinii naa deidiyoonił .
19:45:013:0	Aláahgo naat'áanii bitsi' bighan góne' ayóó ánóolningo óola yishbizhgo éé' ályaii yee hadít'é .
19:45:014:0	Éé' naashch'ąą'ii yee hadít'éego aláahgo naat'áanii baa doodlóós . Ch'ikéí t'ah doo diné bee dahaleehii yił ałchodaa'néego bikéé' tádíkáhígíí nił yah adoot'ish .
19:45:015:0	Baa hózhǫ́ǫgo áádóó baa ił nihoozhǫǫhgo bi'doot'ish doo . Aláahgo naat'áanii bighan góne' yah adookah .
19:45:016:0	Danizhé'é naazį́į́ nít'éé' yę́ęgi niye'ké naazį́į dooleeł ; nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' bikáá'góó naat'áanii danilį́įgo ádadííliił .
19:45:017:0	Náás da'ahideeshchíinii t'áá ałtso bitahgóó nízhi' bééhániihgo ádeeshłííł . Éí bąą hool'áágóó ahóyéel'áágóó diné naa dahaniih doo .
