19:85:001:1	Diyin God éí Ízrel dine'é yaa a'ááh dínóozįįł bíká sohodizin
19:85:001:0	Bóhólníihii , nikéyah baa jiiníba' nít'éé' ; Jéíkab bíí' nilíinii daasnáanii bá shónéisíníłt'e' .
19:85:002:0	Nidine'é doo ákwii ádáát'įįdii bá yóó'adííní'ą́ ; ádił da'asziihii t'áá ałtso bá bik'i hwiiniziid . Síilah .
19:85:003:0	T'óó báhádzidgo bee atí'éł'íinii t'áá ałtso nahjį' nidííní'ą́ ; t'áá íiyisí náhóóchįįdígíí bits'ą́ąjį' ánéinidzaa .
19:85:004:0	NihiDiyin God , yisdánihiinííł nílíinii , hasht'éénihídlééh áádóó nihich'į' náháchį'ígíí éí ni'kónílééh !
19:85:005:0	Hool'áágóósh nihich'į' náháchį' doo ? Oochííłgóósh t'áá ałtso bich'į' náháchį' doo ?
19:85:006:0	T'áá aaníí nídanihi'diyííłnaał , áko nidine'é daniidlį́įgo ninahjį' nihił nidahoozhǫǫh doo .
19:85:007:0	Bóhólníihii nílíinii , nihaa a'ááh nínízinii nihich'į' yit'íní ánílééh áádóó nibee yisdá'iildéehii nihaa diní'aah .
19:85:008:0	Diyin God Bóhólníihii yee hadoodzihii dideests'į́į́ł . Bidine'é índa bidiyį́į́' danilíinii bee asht'ehodít'éii yee yich'į' hadoodzih , nidi t'ááká doo áháyą' yich'į' t'ą́ą́' dah nínáádookááh yíila' .
19:85:009:0	T'áá aaníí , diné dabidósinii t'áá áyídígi bee yisdá'iildéehii bá hólǫ́ , áko nihikéyahgi bee baa ha'niihii hólǫ́ǫ doo .
19:85:010:0	Aa a'ááh hasin índa t'áá aaníinii ahidii'áázh ; t'áá ákogi át'éii índa bee asht'ehodít'éii ahizts'ǫs .
19:85:011:0	T'áá aaníinii łeeyi'dóó hahinisé , áádóó t'áá ákogi át'éii éí wót'ááhdę́ę́' déez'į́į́' .
19:85:012:0	T'áá aaníí , Bóhólníihii yá'át'éehii nihaididoo'ááł , áádóó nihikéyah bikáa'gi na'nt'ą' doo .
19:85:013:0	Bilą́ąjį' t'áá ákogi át'éii yigáałgo nihá atiin áhodoolííł .
