19:62:001:1	Diyin God t'éiyá bine' i'niichééh
19:62:001:0	T'áá aaníí shii' sizíinii déesyéelgo Diyin God yiba' át'é . Bí t'éí yisdáshiiłteeh .
19:62:002:0	T'áá bí t'éiyá tsé shá nilį́ áádóó bee yisdáhásháahii índa bine' ahinishchéehii nilį́ . Ts'ídá doo nahjį' kóshidi'doolníił da .
19:62:003:0	Haa nízáágóó ach'į' nahwii'ná bee t'áá ánółtso diné bindahoh'áa doo ? Áko tsé ahénátł'ingo nídíníizhoozhgo naałdaasígíí áádóó anít'i' diniitłóo'ii nahalingo bida'noołhį́ .
19:62:004:0	Aląąjį' dzizínídóó nahjį' háádahodiyiilghą́ą́ł danízingo hondaha'á . Wooch'ííd ayóogo baa bił dahoneeni . Ak'idajidlíigo yádaałti' , nidi ódziih bii' dahólǫ́ . Síilah .
19:62:005:0	Shii' sizíinii nílíinii , Diyin God t'éiyá biba' ánít'é , háálá éí bits'ą́ą́dę́ę́' shił chohoo'į́ .
19:62:006:0	T'áá bí t'éiyá tsé shá nilį́ áádóó bee yisdáhásháahii índa bine' ahinishchéehii nilį́ . Doo nahjį' kóshidi'doolníił da .
19:62:007:0	Bee yisdáhásháahii áádóó bee ił nishłíinii Diyin God bílák'ee silá . Diyin God éí tsé bee shidziilii nilį́ , áádóó bine' nehesdzíihii nilį́ .
19:62:008:0	Diné danohłíinii , t'áá áłahjį' Diyin God baa dadzíínóhłí . Bídin danohłíinii t'áá ałtso danihijéí tł'ááhdę́ę́' bee bi ł dahołne' . Diyin God bine' ahiniichéehii nihá nilį́ . Síilah .
19:62:009:0	Diné baa hojoobá'ígo naaldeehii t'áadoo nánídlíní da ; diné baa yádahasinii éí t'óó ádaat'é ; díí t'áá áłah dahidiidleehgo ayol t'áá bich'į'go ászólí yee' ; t'áadoo náádleełí da .
19:62:010:0	Ade ádahwíínóhsinígíí t'áadoo bada'íínóhłíhí . Diné łídaocházhígíí binahjį' adeesht'įįł t'áadoo danohsiní ; jit'íinii hodidileehgo t'áadoo nihijéí bee bíchą́deídółni'í .
19:62:011:0	Díigi át'éego Diyin God t'ááłáhídi haadzíí' , áádóó naakigo ałkéé' haz'ą́ diséts'ą́ą́' ; Diyin God éí bidziil ,
19:62:012:0	áádóó ałdó' Bóhólníihii nílíinii , aa a'ááh nínízin , háálá diné t'ááłá'í nítínígo ádáát'įįdígíí bik'ehgo bich'į' ni'iyílé .
