19:146:001:1	Bóhólníihii t'áá ákogi át'éego ááníiłgi baa ha'niih
19:146:001:0	Bóhólníihii baa dahohniih ! Shii' sizíinii nílíinii , Bóhólníihii baa hóniih !
19:146:002:0	Ni'níłdįįd bijį́įjį' Bóhólníihii baa hashniih doo . T'ah hinishnánídą́ą́' shiDiyin God baa hashniihgo bich'į' hashtaał doo .
19:146:003:0	Naat'áanii t'áadoo baa dadzíínóhłíhí índa t'áadoo áká oolyeed át'éii diné danilíinii t'áadoo baa dadzíínóhłíhí .
19:146:004:0	Biyol haalwo'go bí éí łeeyi' góyaa yileeh ; t'áá éí bijį́ bintsíkees ádįįh .
19:146:005:0	Jéíkab biDiyin God nilíinii háká análwo'ii áádóó haDiyin God Bóhólníihii bee hoł chohoo'íinii éí hak'ihojidlí .
19:146:006:0	Éí yádiłhił índa nahasdzáán , tónteel índa bii' dahólóonii t'áá ałtso áyiilaa ; éí hool'áágóó t'áá aaníinii nilį́ .
19:146:007:0	Éí bide ádahólzinii t'áá ákogi át'éego yá k'éédoo'nííł áádóó dichin danilíinii ya'ałtso' . Bóhólníihii éí awáalyaaí ch'ééyii'nííł .
19:146:008:0	Bóhólníihii éí doo da'oo'íinii da'oo'į́įgo ánáyoodlííł , áádóó bąąh nidahwiikaadii chánah ánáyoodlííł . T'áá ákogi ádaaníiłii éí Bóhólníihii ayóó'ábó'ní .
19:146:009:0	Dé'éyóní danilíinii éí Bóhólníihii baa áhályą́ ; áłchíní bizhé'é ádaadinii áádóó asdzání bąąh ádahasdįįdii yíká análwo' , nidi diné doo yá'ádaashóonii binahat'a' yits'ą́ą́' niyiiłchxǫǫh .
19:146:010:0	Bóhólníihii éí hool'áágóó bóhólníih doo , Záíyan nílíinii , niDiyin God oochííłgóó t'áá ałtso yá nant'áa doo . Bóhólníihii baa dahohniih !
