19:6:001:1	Ach'į' nahwii'náago ajooba' baa sohodizin
19:6:001:0	Bóhólníihii nílíinii , náháchį'go t'áadoo nashidíteehí ; t'áá íiyisí doo nił hózhǫ́ǫ́góó t'áadoo t'áá hashkée nashinítiní .
19:6:002:0	Bóhólníihii nílíinii , shaa jiiníbaah , háálá doo shidziil da yishłeeł ; Bóhólníihii nílíinii , náshíłdziih , háálá shits'in daneezgai .
19:6:003:0	Shii' sizíinii ałdó' t'áá íiyisí bich'į' nahwii'ná . Bóhólníihii nílíinii , haa nízáágóoshą' kónísht'ée doo ?
19:6:004:0	Bóhólníihii nílíinii , shaa nínáahgo shii' sizíinii yisdáníłteeh ; aa a'ááh nínízinii bik'ehgo yisdáshíłteeh .
19:6:005:0	Háálá diné daaztsą́ągo doo nénálniih da . Jishcháá'dę́ę'shą' háí nich'į' ahééh nízin doo ?
19:6:006:0	Nidish'ni'go bąąh díníłna' ; t'áá ákwíí tł'éé' shitsásk'eh bikáá'góó shinák'eeshto' naashnil ; bikáá' nishtéhígíí shinák'eeshto' bee nínáshtłoh .
19:6:007:0	Shíni' yii'a'ígíí bik'ee shináá' ábi'niidįįd . Shida'ana'í bik'ee yishchago shináá' t'óó yówehda ádzaa .
19:6:008:0	Doo ákwii át'éii baa deínóhkáahii , t'áá ánółtso shits'ánóhkááh , háálá yishchago Bóhólníihii shidiizts'ą́ą́' .
19:6:009:0	Bóhólníihii náoshkąąhígíí yidiizts'ą́ą́' ; Bóhólníihii shisodizinígíí néidiyiilé .
19:6:010:0	Shida'ana'í t'áá ałtso yádadínóozįįł áádóó anáhákáahgo t'áadoo hooyání yádaniizį́į'go t'áá íiyisí nitsidadooltłił .
