19:42:001:1	Diyin God bíká dibáá' jílíinii
19:42:001:0	Bįįh éí tó danílíinii yídin nilínígi át'éego shii' sizíinii nídin nilį́ , shiDiyin God .
19:42:002:0	Shii' sizíinii éí Diyin God hináanii yíká dibáá' nilį́ . Hahgoshą' Diyin God baa deesháałgo bidááhdóó nideeshááł ?
19:42:003:0	Diné éí , Háájíshą' niDiyin God silį́į́' ? áłahjį' dashiłníigo t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' shinák'eeshto' shich'iyą'go t'óó yishcha nít'éé' .
19:42:004:0	Diné áłah nádleehgo bił naashdeeh yę́ę , Diyin God bikin si'ą́ąjį' ałnánásh'ish yę́ę , diné áłah nilínígíí bił dahózhǫ́ǫgo biinéé' nídididla' yę́ę , ahééh danízingo dahataał yę́ę áádóó hodiyingo áłah ná'ádleehjį' bił ałnánásh'nééh yę́ę , díí béédaashniihgo t'áá íiyisí nich'į' sodiszin .
19:42:005:0	Shii' sizíinii nílíinii , ha'át'íí lá bąą doo nił hats'íid da ? Áádóó ha'át'íí lá bąą ádił nitsééníltłi' ? Diyin God bee nił chohoo'į́ , háálá shíká análwo'go shił hózhǫ́ǫgo ánáshoodlíłígíí baa nááhásh'niih doo .
19:42:006:0	ShiDiyin God nílíinii , shii' sizíinii doo bił hóóts'íid da ; éí bąą Jórdan tooh binaa nahós'a'dóó Dził Hérman áádóó Dził Máízar sinilídóó nénáshniih dooleeł .
19:42:007:0	Ayóó íits'a'go nahałtingo tónteel ałch'į' ádaaní áádóó ałkéé' deílk'oołígíí shik'i ch'éhélk'ooł nít'éé' .
19:42:008:0	Ákondi jį́įgo Bóhólníihii aa a'ááh nízinii yee hadoodzih . Áádóó tł'ée'go Diyin God bich'į' hashtaał doo ; Diyin God bee hinishnáanii bich'į' sodiszin doo .
19:42:009:0	Diyin God , shá tsé bine' na'adzi'ii nilíinii , ábidideeshniił , Ha'át'íísh biniinaa sheisínínah ? Ha'át'íísh biniinaa ana'í atídashił'į́įgo bik'ee yishchago tádíshááh ?
19:42:010:0	Diltłish deeníinii hats'in néinishish nahalingo atídashił'į́įgo shida'ana'í t'áá áłahjį' shaa daadlohgo ádashiłní , Háájíshą' niDiyin God silį́į́' ?
19:42:011:0	Shii' sizíinii nílíinii , ha'át'íí lá bąą doo nił hats'íid da ? Áádóó ha'át'íí lá bąą ádił nitsééníltłi' ? Diyin God bee nił chohoo'į́ , háálá shíká análwo'go shił hózhǫ́ǫgo ánáshoodlíłígíí éí shiDiyin God baa nááhásh'niih doo .
