19:60:001:1	Ana'í bits'ą́ąjį' nihíká i'doolwołgi bíká sohodizin
19:60:001:0	Diyin God nílíinii , doo nihininizį́į́'góó áádóó tanihinííníłkaadgo nihich'į' náhóóchįįd nít'éé' ; k'ad éí ách'į' ninánihí'nííł .
19:60:002:0	Ni' naha'náago íinilaa . Ni' nehedlaadgo íinilaa . Ákǫ́ǫ́ ałch'į' áńdahódlééh , háálá ni' hoditłid .
19:60:003:0	Bik'eda'íyée'ii bik'ee nidine'é ti'dahooníihgo íinilaa . Wáin deiidlą́ągo bik'ee nida'niit'igo ánihiinilaa .
19:60:004:0	T'áá aaníinii níl'į́į doo biniyé dandísinii dah na'at'a'í baa dííní'ą́ . Síilah .
19:60:005:0	Shich'į' ééhonísįįh ! Ayóó'ííní'níinii yisdádooltééł biniyé nigaan nish'náájí bee shíká anilyeed .
19:60:006:0	Diyin God diyinii nilį́įgo díí yee haadzíí' : Baa shił hózhǫ́ǫgo Shííkem ahádeesoh , áádóó Sákath honíteel bídí'néesh'ąął .
19:60:007:0	Gíliyad éí shí ; Manáseh éí shí ; Íífreiyim éí shibéésh ch'ah át'é . Júdah éí bee haz'áanii ííł'íní shá nilį́ .
19:60:008:0	Mó'ab éí shibii' tá'ádísgisí át'é . Íídam bikáa'jį' shikee' ahideeshxą́ą́ł . Filístiya dine'é danohłíinii , nihik'eh díshdlį́į'go yéego hadadołgháásh .
19:60:009:0	Bohoníłdzilgo kin haal'áajį' háishą' shił doo'ash ? Íídamgóoshą' háí shił doo'ash ?
19:60:010:0	Diyin God nílíinii , doósh nahjį' ninihidííní'ą́ą da ? Diyin God nílíinii , nihisiláo dah yinéełii t'áadoo bił yínínáa da .
19:60:011:0	Nihi'ana'í bich'į' nihíká anánílwo' , háálá diné t'éiyá áká iilwo'go t'áadoo nádleehí da .
19:60:012:0	Diyin God biłgo doo nídaniilyées da doo , háálá bí nihi'ana'í nihá yik'i nidoogaał .
