19:145:001:1	Bóhólníihii bits'ą́ą́dóó yá'át'éehii áádóó bibee adziilii baa ha'niih
19:145:001:0	ShiDiyin God , aláahgo naat'áanii nílíinii , t'áá íiyisí naa hashniih doo , áádóó hool'áágóó ahóyéel'áágóó nízhi' baa hashniih doo .
19:145:002:0	T'áá ákwíí jį́ naa hashniih doo , áádóó hool'áágóó ahóyéel'áágóó nízhi' baa hashniih doo .
19:145:003:0	Bóhólníihii éí ayóó át'éii nilį́ , áko t'áá íiyisí baa ha'niihgo yą́ą́h nilį́ , índa yee ayóó át'éii doo nijółkaah át'ée da .
19:145:004:0	Áálíiłii ła' oochííłdę́ę́' , éí náás oochííłgóó yee yił náádahalne'go naa dahaniih doo , áádóó íínít'įįdii ayóó ádaat'éii yaa dahalne' doo .
19:145:005:0	Bee ił nílíinii bee ayóó ánít'éhígíí áádóó t'óó bik'eda'ayóigo baa nanináhígíí nabik'ítsískees doo .
19:145:006:0	Adziil bee t'óó bik'eda'íyée'go íínít'įįdii bee diné naa nidahalne' doo , áádóó ayóó ánít'éhígíí baa ch'íhwiish'aah doo .
19:145:007:0	Ne'ajooba' ayóó ánéelą́ą'ii bééhániihgo ná yaa nidahalne' doo , áádóó t'áá ákogi ááníiłii ałdó' yee dahataał doo .
19:145:008:0	Bóhólníihii éí jooba' áádóó aa a'ááh hasin bii' hadeezbin ; doo hah báháchįįh da índa bił hadlee'go aa a'ááh nízin .
19:145:009:0	Bóhólníihii t'áá ałtso yich'į' yá'át'éehgo áánííł índa t'áá ałtsoní áyiilaii yoosánígo yaa a'ááh nízin .
19:145:010:0	Bóhólníihii nílíinii , áálíiłii t'áá ałtso naa dahaniih doo , áádóó nidiyį́į́' danilíinii t'áá ałtso naa dahaniih doo !
19:145:011:0	Bee nóhólníihgo bił haz'áanii ayóó át'éii yaa dahalne' doo , áádóó nidziilígíí yaa yádaałti' doo ,
19:145:012:0	áko ayóó át'éego áyoolíłígíí índa bee nóhólníihgo bił haz'áanii ayóó át'éii ił ídlį́ ayóó ánóolninii diné yił ííshjání ádahósin .
19:145:013:0	Bee nóhólníihgo bił haz'áanii hool'áágóó hólǫ́ índa oochííłgóó t'áá ałtso bee nóhólnííh .
19:145:014:0	Bóhólníihii éí diné chą́ą́h dadigeehii t'áá ałtso de áyósin , áádóó bąąh nidahwiikaadii t'áá ałtso chánah ánáyoodlííł .
19:145:015:0	T'áá ałtso níká dadéez'į́į'go niba' ádaat'é , áko baa náhwiilzhíishgo bich'iyą' baa hidí'aah .
19:145:016:0	Níla' ąą ánéinil'įįhgo hináanii t'áá ałtso nináneel'ą́ąjį' deinízinii yee hwiih danilį́įgo áníł'į́ .
19:145:017:0	T'áá ałtsojį' Bóhólníihii t'áá ákogi át'éii jílį́ , áádóó jijooba'go t'áá ałtsoní ájoolííł ;
19:145:018:0	Bóhólníihii nídabookąąhgo bich'į' sodadilzinii , éí t'áá ałtso t'áá aaníí ádaaníigo nídabookąąhii yíighahgi hólǫ́ .
19:145:019:0	Dabidísinii deinízinii yeidii'aah ; nídabookąąhgo ałdó' yidiits'a'go yisdáyiinííł .
19:145:020:0	Bóhólníihii ayóó'ádabó'níinii t'áá ałtso yaa áhályą́ , nidi diné doo yá'ádaashóonii éí t'áá ałtso íidoołdįįł .
19:145:021:0	Bóhólníihii bee baa ha'niihii bee yáshti' doo , áádóó nihokáá' dine'é nináneel'ą́ąjį' bíni'dii bízhi' diyinii hool'áágóó ahóyéel'áágóó yaa dahaniih doo .
