19:140:001:1	Atída'ał'íinii bich'ą́ą́h sohodizin
19:140:001:0	Bóhólníihii nílíinii , diné doo yá'ádaashóonii bits'ą́ąjį' yisdáshíłteeh ; diné doo daats'íidii bits'ąą shaa áhólyą́ .
19:140:002:0	Éí dabijéí biyi'di doo yá'ádaat'éehii yaa nitsídaakees ; anaa' hodooleełígíí yaa nídaat'į́į doo biniyé t'áá áłahjį' ahéédadiikah .
19:140:003:0	Tł'iish bitsoo' hááhaashchii'ii nahalingo bitsoo' dadeení áádóó biwooshtł'ah góne' tł'iish bik'asda' naaziid . Síilah .
19:140:004:0	Bóhólníihii nílíinii , diné doo yá'ádaashóonii dabíla' bits'ąą shaa áhólyą́ ; diné doo daats'íidii bits'ąą shaa áhólyą́ ; jó , shijátah dadí'nóołdisgo shindahaz'ą́ .
19:140:005:0	Diné shide ádeinízinii łoh shiniyé nideiz'ą́ągo nídeidees'į́į́' ; yishááłgóó ałdó' shiniyé tł'óół ahideełnádaastł'óonii ádayiilaa áádóó shidáahdi shiniyé łoh nideiznil . Síilah .
19:140:006:0	Bóhólníihii ábidishní , ShiDiyin God nílį́ , Bóhólníihii nílíinii , nánooshkąąhígíí shá yíníłts'ą́ą́' !
19:140:007:0	Bóhólníihii shiDiyin God ayóó ánóodziilgo yisdáshiyíłteehii nílíinii , anaa' náhádleehgo shitsiits'iin shá bik'íná'ííłtihgo shaa áhólyą́ą́ nít'éé' .
19:140:008:0	Bóhólníihii nílíinii , diné doo yá'ádaashóonii deinízinii doo baa didíí'áał da ; doo yá'át'ééhgóó yinahazgizii doo bá náás kódíílíił da ! Áko doo ayóó át'éego ádadi'doolníił da . Síilah .
19:140:009:0	Shinás'áhígíí ádílááh yee yádaałti'ii , bíni'dii t'áá éí bitsiits'iin bik'ijį' nádleeh !
19:140:010:0	Bíni'dii tsííd dadiltłi'go bik'ijį' naałdaas ! Bíni'dii doo náádahididookah da biniyé tsídza bi'dilkaad ; bíni'dii da'a'áán góyaa abi'dilkaad !
19:140:011:0	Diné doo yá'áshǫ́ǫ́góó yáłti'ii nihokáa'gi bíni'dii doo hasht'edoolníił da ; doo yá'át'éehii éí diné doo yits'íidii yik'eh didoodleeł biniyé haintá .
19:140:012:0	Atíbi'dil'íinii yiniyé át'íinii áádóó badahojoobá'íii bee bá haz'áanii éí Bóhólníihii yá yaa áhályą́ą dooleełgo shił bééhózin .
19:140:013:0	T'áá aaníí t'áá ákogi ádaaníiłii nízhi' yich'į' ahééh dadínóozįįł ; t'áá ákogi ádaat'éii honílǫ́ǫgi kéédahat'į́į doo .
