19:44:001:1	Yisdá'ooldee' áádóó k'ad ach'į' nahwii'náanii
19:44:001:0	Diyin God nílíinii , t'áá nihí dasidiits'ą́ą́' , éí danihizhé'é bídayéełkaah yę́ędą́ą́' baa nisíníyáhígíí yee nihił dahoolne' .
19:44:002:0	T'áá ni ał'ąą dine'é kéyah bii'dóó hahinííníłkaad . Áko índa tsin k'izhdííláhígíí nahalingo ákwii nihwíínínil . Ał'ąą dine'é éí bich'į' nidahoyíníłnáá' índa nidine'é k'ee'ąą noot'į́įłgo íinilaa .
19:44:003:0	Jó , t'áá bí bidiltłish yee doo kéyah dayoosbą́ą da áádóó doo t'áá bí bigaan yee yisdáákai da . Nidi nigaan nish'náájí áádóó t'áá ni nidziilígíí índa ninii' bits'ádi'nílídígíí bee íínít'įįd . Háálá bich'oniníigo ánít'į́ .
19:44:004:0	Ni lą́ą , aláahgo shinanit'a'í nílį́ , shiDiyin God nílíinii . Jéíkab dine'é yisdádookah , diníigo bá hahídziih .
19:44:005:0	Ninahjį' nihi'ana'í ni'jį' naa'adahoyii'nííł . Anaa' danihił'íinii nízhi' binahjį' bik'i nideiikai .
19:44:006:0	Háálá shi'ałtį́į́' doo ba'ííníshłíi da índa shidiltłish doo bee deesdzih da .
19:44:007:0	Nidi nihi'ana'í danilíinii bits'ą́ąjį' yisdánihíínínil áádóó nihik'ee dadiniihii t'óó baa yáhásinígi íinilaa .
19:44:008:0	Diyin God éí t'áá áłahjį' baa dadzííníidlíigo baa dahwii'niih áádóó hool'áágóó nízhi' baa dahwii'niih doo . Síilah .
19:44:009:0	Nidi nahjį' kónihiinilaa áádóó doo da'niidlį́į́góó ánihiinilaa , áko nihisiláo t'áadoo bił nisíníbaa' da .
19:44:010:0	Ana'í t'áá bich'į'dóó naníshiijée'go ánihiinilaa . Áádóó danihijoołxáii éí nihinaalye'é yę́ę áłah ádayiilaa .
19:44:011:0	Atsį' biniyé dibé nidadootsiłii nidahoniidlingo ánihiinilaa . Índa ał'ąą dine'é bitahgóó tanihiníníłkaad .
19:44:012:0	Nidine'é niidlíinii t'įįhdígo nihą́ą́h da'ílį́įgo nanihiyíníłnii' , áádóó doo lą'í nihą́ą́h ni'iizlį́į' da .
19:44:013:0	Bił kéédahwiit'íinii bich'į'go bá nahat'i'ii ánihiinilaa . Nihinaagóó kéédahat'íinii nihá nidahałt' i'go índa t'óó nihaa daadlohgo íinilaa .
19:44:014:0	Ał'ąą dine'é bitahgóó t'óó nihee niyá'ádahodilti'go áádóó nihich'į' bitsii' deiłmazgo íinilaa .
19:44:015:0	T'áá áłahjį' doo ił nishłį́į da , áádóó t'óó ádaa yánísdzin shide ádzaa .
19:44:016:0	Háálá shá nidahałt'i'go saad shich'į' adayiiníiłgo dashódziih áádóó ana'í índa k'éédidoo'níiłii biniinaa t'óó ádaa yániisdzį́į́' .
19:44:017:0	Díí t'áá ałtso nihik'ijį' dahéełdas daazlį́į́' , nidi doo naa deisii'nah da ; nihił aha'díínít'ánígíí t'áadoo doo ákǫ́ǫ́ ádeiilyaa da .
19:44:018:0	Nihijéí biyi'di doo t'ą́ą́' áńdeiidzaa da , índa nik'ehgo áhoot'éii doo bits'áhaakai da ,
19:44:019:0	azhą́ mą'ii bitahdi nanihidiníyiish nidi , áádóó anoonééł bichaha'oh nihik'iiniłdoh nidi , t'áadoo kódeiidzaa da .
19:44:020:0	NihiDiyin God bízhi' baa deisii'nahgo , doodaii' diyin dabidi'níinii bich'į' dah dadiilnii'go ,
19:44:021:0	da' doósh éí Diyin God bił bééhodoozįįł da ? Jó , bí ajéí biyi'di nidanil'inii bił bééhózin ?
19:44:022:0	T'áá aaníí , niniinaa shá bíighah nanihi'ditseed ; dibé nidootsiłii nidahoniidlingo nihaa nitsáhákees .
19:44:023:0	Bóhólníihii nílíinii , ch'éénídzííd ! Ha'át'íísh bąą íłhosh ? Nídiidááh ! Hool'áágóó nahjį' kónihóólééh lágo !
19:44:024:0	Ha'át'íísh bąą nihits'ąą na'ádiníl'in áádóó bee atídanihi'dil'íinii índa bee nihide ádahólzinii baa náyoo'nah ?
19:44:025:0	Háálá nihii' naazíinii ni'jį' yaa dadínéest'ą́ . Índa ni'jį' nihídazhdiiłjéé' nidahoniidlin dasiidlį́į́' .
19:44:026:0	Díldzíiłgo nihíká anilyeed ! Aa a'ááh nínízinii binahjį' nihik'é niná'nídléego yisdánihínííł .
