19:103:001:1	Bóhólníihii bits'ą́ą́dę́ę́' ak'ihojidlí eidii'aahii baa ha'niih
19:103:001:0	Shii' sizíinii nílíinii , Bóhólníihii baa hóniih , áádóó t'áá ánóht'é shii' honohłóonii Bóhólníihii bízhi' diyinii bee yínízhíigo baa hóniih .
19:103:002:0	Shii' sizíinii nílíinii , Bóhólníihii baa hóniih , áádóó yee naa joozba'ii éí t'ááká baa yóónééh .
19:103:003:0	Doo ákwii íínít'įįdii t'áá át'é yóó'iidii'aah ; naałniih t'áá ałtso bits'ąą hadaałt'é ánánoodlííł ;
19:103:004:0	í'ooldįįł bits'ą́ąjį' ne'iina' nááyiisnii'go jooba' áádóó aa a'ááh hasin nináhaazláago áyiilaa ;
19:103:005:0	yá'ádaat'éehii bee hwiih nílį́įgo ánósin , áko atsá táádítłeehgo ániidí nináhádleehígi át'éego ániid nanináago ánáni'doolnííł .
19:103:006:0	Bóhólníihii éí diné bide ádahólzinígíí t'áá ałtso yaa áhályą́ índa t'áá ákogi át'éego yá ó'oolííł .
19:103:007:0	Át'éii Mózes yił yééhoosįįd , áádóó áyoolíłígíí éí Ízrel dine'é yił yééhoosįįd .
19:103:008:0	Bóhólníihii éí aa a'ááh nízin áádóó jooba' , doo hah báháchįįh da ; t'áá íiyisí bił hadlee'go aa a'ááh nízin .
19:103:009:0	Doo t'áá áłahjį' nanihiditeeh da doo , índa doo hool'áágóó báháchį' da doo .
19:103:010:0	Azhą́ ádił da'siilziih nidi , doo éí bik'ehgo nihainíst'įįd da ; doo ákwii ádeiit'įįdę́ę doo bik'ehgo k'éénihidiidlaa da .
19:103:011:0	Háálá nahasdzáán índa yádiłhił bita'gi ánízádígi ánízahgo diné dabidísinii t'áá íiyisí bił hadlee'go yaa a'ááh nízin .
19:103:012:0	Bee haz'áanii dahiiti'ii ha'a'aahdóó e'e'aah ánízáágóó nihits'éidiní'ą́ .
19:103:013:0	T'áá azhé'é ba'áłchíní yaa a'ááh nízinígi át'éego Bóhólníihii dabidísinii yaa a'ááh nízin .
19:103:014:0	Háálá ániit'éhígíí bił bééhózin ; łeezh niidlį́įgo yénálniih .
19:103:015:0	Diné éiyá hóyoołkáłígíí tł'oh łitsooí nahalin ; t'áá bóhólníihgi ch'ilátah hózhóón nooséełii nahalingo jinoosééł .
19:103:016:0	Jó , bich'į' diyołgo t'áá áko ádįįh , áádóó íí'á yę́ęgi doo bééhoozįįh da .
19:103:017:0	Nidi Bóhólníihii aa a'ááh nízinii éí dabidósinii hool'áádę́ę́' índa hool'áágóó yee yił hólǫ́ . Bit'áá ákogi át'éii éí áłchíní áádóó banááda'áłchíní ,
19:103:018:0	éí bibee aha'deet'áanii índa bibik'eh ó'oo'níiłii yéédaalniihgo yida'ał'íinii hool'áádę́ę́' índa hool'áágóó yił hólǫ́ .
19:103:019:0	Bóhólníihii éí yót'ááh hiníláii bitahgi bibikáá'dóó nahat'áii hasht'eyiilaa , áko t'áá ałtsoní bee bóhólníihgo yinant'á .
19:103:020:0	Diyingo naal'a'í ayóó ádanihóodziilii nohłíinii , bizaad deísółts'ą́ą'go yee has'áanii bik'eh dahonoł'íinii , Bóhólníihii baa dahohniih !
19:103:021:0	Dah deínóhnéehgo bá naal'a'í danohłíinii , íinízinii bida'oł'íinii t'áá ánółtso , Bóhólníihii baa dahohniih !
19:103:022:0	Bee bóhólníihgo nahaz'ą́ą́dę́ę́' Bóhólníihii nihinaashnishii t'áá ánółtso , Bóhólníihii baa dahohniih . Shii' sizíinii nílíinii , Bóhólníihii baa hóniih !
