19:135:001:1	Bóhólníihii yee ayóó át'éii áádóó eda'alyaii t'áadoo nánídlíníii
19:135:001:0	Bóhólníihii baa dahohniih . Bóhólníihii bízhi' baa dahohniih ; Bóhólníihii bá naal'a'í danohłíinii , Bóhólníihii baa dahohniih !
19:135:002:0	Nihí Bóhólníihii bikin bii' sohodizin góne' nihiDiyin God bikin binaagi haz'ánígi nisoozíinii ,
19:135:003:0	Bóhólníihii baa dahohniih , háálá Bóhólníihii yá'át'éehii nilį́ ; bízhi' bee dayínóhshíigo baa dahohniihgo dahohtaał , háálá ayóó ánóolnin !
19:135:004:0	Háálá Bóhólníihii éí Jéíkab dine'é , t'áá éí Ízrel dine'é , t'áá hó hadine'é dooleeł biniyé ádá néidii'nil .
19:135:005:0	Háálá Bóhólníihii ayóó át'éii nilį́įgo shił bééhózin , áádóó nihiDiyin God éí diyin dabidi'níinii t'áá ałtso yiláahgo át'é .
19:135:006:0	Yá'ąąshdi , nahasdzáán bikáa'gi , tónteel bikáá'góó índa táłtł'ááhgóó Bóhólníihii t'áá ádeeshłííł nízinígíí áyiilaa .
19:135:007:0	Nidahonees'ą́ą́dę́ę́' t'áá bí k'os hadahalzhoodgo ííł'į́ , nahałtin doogo atsiniltł'ish anídahata'go ííł'į́ áádóó biyódí bił haz'ą́ą́dóó níyolgo ííł'į́ .
19:135:008:0	Bí lą́ą Ííjip kéyahdi diné áłtsé nidahaazhchíinii índa naaldloosh áłtsé nidahaazhchíinii íísdįįd ni' .
19:135:009:0	Éí , Ííjip dine'é nohłíinii , nihitahgi Féro áádóó bá nidaal'a'í bik'ijį' bee éédahózinii índa t'óó bik'eda'ayóii áyiilaa ni' .
19:135:010:0	Éí ał'ąą dine'é t'óó ahayóí índa aláahgo naat'áanii ayóó ádaat'éii íísdįįd ni' .
19:135:011:0	Sáíhan éí Ámor dine'é binanit'a'í nilį́į́ nít'éé' yę́ę , áádóó Ag éí Béíshan dine'é binanit'a'í nilį́į́ nít'éé' yę́ę , índa Kéínan kéyahgi bee ídahólnííh nít'éé' yę́ę t'áá ałtso t'áá yił áhásdįįd ni' .
19:135:012:0	Áko dabikéyah éí Ízrel hadine'é bíí' dooleełgo baazhdiní'ą́ .
19:135:013:0	Bóhólníihii nílíinii , nízhi' hool'áágóó hólǫ́ . Bóhólníihii nílíinii , náás oochííłgóó t'áá ałtso bee nééhániih .
19:135:014:0	Háálá Bóhólníihii bidine'é doo haada yit'éégóó yá hadoodzih , áádóó bá nidaal'a'í łahgo át'éego yaa tsíndookosgo yaa a'ááh dínóozįįł .
19:135:015:0	Ał'ąą dine'é bi'eda'alyaii éí béésh łigaii índa óola bee ádaalyaa ; éí diné bíla' yee ádayiilaii ádaat'é .
19:135:016:0	Éí bizéé' dahólǫ́ǫ nidi doo yee yádaałti' da . Bináá' dahólǫ́ǫ nidi doo yee da'oo'į́į da .
19:135:017:0	Bijaa' dahólǫ́ǫ nidi doo yee da'diits'a' da . Bizéé' dahólǫ́ǫ nidi yee nídadidzihii ádaadin .
19:135:018:0	Díí ádajoolíłígíí t'áá éí nidahojílin ; t'áá aaníí , bi'eda'alyaii yaa dadzólíhígíí t'áá ałtso ałdó' t'áá ákódaat'é .
19:135:019:0	Ízrel dine'é danohłíinii , Bóhólníihii baa dahohniih ! Éran dine'é danohłíinii , Bóhólníihii baa dahohniih !
19:135:020:0	Líívai dine'é danohłíinii , Bóhólníihii baa dahohniih ! Bóhólníihii dadíínóhsinii , Bóhólníihii baa dahohniih !
19:135:021:0	Bóhólníihii éí Záíyandóó Jerúsalemgi kééhat'íinii baa ha'niih ! Bóhólníihii baa dahohniih !
