19:102:001:1	Dinééh bich'į' nahwii'náago ná'ookąąh
19:102:001:0	Bóhólníihii nílíinii , shisodizin shá diits'į́į́h ! Nánooshkąąhígíí bíni'dii didííts'į́į́ł !
19:102:002:0	Shich'į' nahwii'náago t'áadoo shits'ą́ąjį' kónít'éhí ! Shich'į' dah díníit'aah ; nánooshkąąhgo t'áá tsį́łígo shich'į' ééhodíísįįł !
19:102:003:0	Háálá shíyoołkáłígíí łid nahalingo yóó'aheldóóh , áádóó konk'ehgi kǫ' bee honiilgaígi át'éego shits'in daneezgai .
19:102:004:0	Tł'oh yideezgo niiłna'ígíí nahalingo shijéí nááníłnahgo adeeshį́łígíí nidi baa náyoosh'nah .
19:102:005:0	Yéego dish'nínígíí biniinaa shikágí éí shits'in bídadiiłjéé' .
19:102:006:0	Naal'eełí bidaa' nineezgo yee łóó' haalzheehígíí honoojíidi dah sidáhígíí nahonishłin . Doo naagháhígi né'éshjaa' dah sidáhígíí nahonishłin .
19:102:007:0	Ha'ídínísh'į́į'go kin bighą́ą'gi tsídiiłbáhí doo bił hats'íídgóó dah sidáhígíí nahonishłin .
19:102:008:0	Shá bíighah shi'ana'í shá nidahałt'i' ; shik'ijį' danilínígíí shízhi' yee da'ódziih .
19:102:009:0	Háálá bááh jiyą́ nahalingo łeeshch'iih yíyą́ą́' áádóó yishdlánígíí shinák'eeshto' bił ałtahgo yishdlą́ą́' ;
19:102:010:0	doo nił hóózhǫǫdgóó náhóóchįįdígíí biniinaa ákósdzaa . Háálá atis ánísht'éego áshíínísin nít'éé' , nidi k'ad éí a'ohgo ánísht'éego áshiinilaa .
19:102:011:0	Shíyoołkáłígíí éí biká'ígi ii'aahgo chaha'oh nineez yileehígíí nahalin . Tł'oh niiłna'ígíí nahonishłin .
19:102:012:0	Nidi ni , Bóhólníihii nílíinii , hool'áágóó honílǫ́ǫ doo , náás da'ahílchíihii t'áá ałtso néédaalniih doo .
19:102:013:0	Dííldziłgo Záíyan haz'ą́ągi baa a'ááh díníízįįł , háálá bich'oho'níijį' ahoolzhiizh ; jó , k'ad bee nihoot'ą́ąjį' ahoolzhiizh .
19:102:014:0	Háálá ná nidaal'a'í Záíyandi tsé bee biná'ástł'inii bił ayóó ádanóolnin , áádóó bileezh dibahí nidi bił danilį́ .
19:102:015:0	Ał'ąą dine'é éí Bóhólníihii bízhi' deidísin doo , áádóó nihokáa'gi aláahgo naat'áanii t'áá ałtso ayóó ánít'éhígíí deidísin doo .
19:102:016:0	Háálá Bóhólníihii éí Záíyan haz'ą́ągi hasht'ééhoodlaago yee ayóó át'éii bił bidi'dooltsééł .
19:102:017:0	Té'é'į́ danilíinii dabisodizin bił nilį́į́ nít'éé' , áádóó nídabookąąhígíí t'áadoo yiyíí'įįd da .
19:102:018:0	Náás oochííł dooleełgóó díí bee bá ak'e'doochííł , áko diné nináádahidoochíłígíí éí Bóhólníihii yaa dahaniih doo .
19:102:019:0	Jó , aghánáhóó'áadi bihodiyingo haz' ą́ą́dę́ę́' yaago déé'į́į́' . Yá'ąąshdę́ę́' Bóhólníihii nahasdzáán yinééł'į́į'go
19:102:020:0	awáalyaaí ti'dahooníihgo yidiits'a' áádóó dadínóonéełgo bá nidahwiist'áanii yéédeididoochił .
19:102:021:0	Áko Záíyangi Bóhólníihii bízhi' yaa dahodoolnih , áádóó Jerúsalemgi bee baa ha'niihii yaa dahodoolnih .
19:102:022:0	Dadine'é áádóó nihokáá' bee bídahólníihgo bił nahaz'áanii Bóhólníihii yá nidaal'a' doo biniyé áłah silį́į'go yaa dahodoolnih .
19:102:023:0	T'ahdii tádísháahgo doo shidziilgóó áshiilaa ; doo nízaadgóó hinishnáágóó áshiilaa .
19:102:024:0	Ádíshní , ShiDiyin God nílíinii , she'iina' ałníi'jį' ashíyííłką́ągo t'ah shííyisgo shił dah doó'aash lágo . Oochííłgóó t'áá ałtso nibéédahaháahii bitah honílǫ́ .
19:102:025:0	T'áá shiidą́ą'dii nahasdzáán nee niłdzil , índa yót'ááh hiníláii éí níla' bee binishínílnishii át'é .
19:102:026:0	Éí ádadoodįįł , nidi ni t'éí honílǫ́ ; éí t'áá ałtso éé' nahalingo hadadootih . Éé' nahalingo ałnááhíí'nił , áko łahgo át'éego ádadoolnííł ,
19:102:027:0	nidi ni t'éí t'ááłáhígi ánít'é , índa nee nináháháahii doo niit'éeh da .
19:102:028:0	Ná nidaal'a'í bada'áłchíní éí as' ahgóó kéédahat'į́į doo , áádóó éí náás da'ahílchíihii nidáahgi bidahoníłdzil doo .
