19:66:001:1	Diyin God ayóó át'éego ó'oolíiłii bee baa ha'niih
19:66:001:0	Nihokáá' dine'é nohłíinii , t'áá ánółtso nihiinéé' nídididla'go Diyin God bich'į' nihił dahózhǫ́ .
19:66:002:0	Ayóó át'éego bízhi' ił nilíinii baa dahohniihgo dahohtaał . Ayóó át'éego baa dahohniih !
19:66:003:0	Diyin God ádabidohní , Dooládó' ninaanish t'óó bik'eda'ayói da ! Ayóó át'éego nidziilígíí bee ni'ana'í danilíinii niyaajį' ni'ádidoo'nił .
19:66:004:0	Nihokáá' dine'é t'áá ałtso nich'į' nidahałáa doo . Naa dahaniihgo dahataał , nízhi' yaa dahaniihgo dahataał doo . Síilah .
19:66:005:0	Hágo , Diyin God yaa naayáii níníł'į́ . Diné bitahgóó yaa naagháii t'óó bik'eda'ayóí .
19:66:006:0	Tónteelgi hóółtseigo áhoolaa . Diné t'áá ni' tooh ha'naa niníná ; áadi hwee nihił nidahoozhǫǫh nít'éé' .
19:66:007:0	Bidziil yee hool'áágóó nant'á . Ał'ąą dine'é haisííd . Dooda yee nidaalteehii ayóó át'éego áda'dólne' lágo . Síilah .
19:66:008:0	Dadine'é danohłíinii , nihiDiyin God baa dahohniih . Ayóó íits'a'go baa dahohniihígíí adahosiilts'įįhgo ádaahłééh .
19:66:009:0	Éí nihii' sizíinii dahináanii bitahgi nihaa áhályą́ áádóó doo dadiigeehgóó ánihósin .
19:66:010:0	Háálá ni , Diyin God nílíinii , nanihínínítą́ą́' . Béésh łigaii nabóhoneestą́'ígi át'éego nanihínínítą́ą́' .
19:66:011:0	Łoh biih nihííní'eezh . Nihitsé'ak'i gónaa hééł t'áá íiyisí nidaazii bik'i dah síníyį́ nahalin silį́į́' .
19:66:012:0	Diné danilíinii nihitsiits'iin bik'i łį́į́' bił nidaazhjée'go íinilaa . Kǫ' áádóó tó bii' ch'ínii'ná , nidi t'áá ałtsoní hózhǫ́ǫgo bee áda'azįįdjį' anihííní'eezh .
19:66:013:0	Didlidgo náádahaniihii yishjihgo nikin góne' yah adeeshááł . Nich'į' ádee hadeesdzíi'ii bi'deeshłííł .
19:66:014:0	Éí shich'į' nahwii'ná yę́ędą́ą́' bee haasdzíi'ii éí t'áá aaníí ádíshníigo bee nich'į' ádee haasdzíí' .
19:66:015:0	Daneesk'ahgo didlidgo náádahaniihii , deenásts'aa' didlidgo bits'ą́ą́dóó łikání halchingo nich'į' nááhideeshnih . Dóola áádóó tł'ízí bił nich'į' nááhideeshnih . Síilah .
19:66:016:0	Diyin God dadíínóhsinii t'áá ánółtso , hágo , kodi da'íísółts'ą́ą́' áádóó shii' sizíinii yá yaa naayáhígíí baa nahodeeshnih .
19:66:017:0	Ts'ídá yéego bich'į' haasdzíí' áádóó bee bich'į' haasdzí'ígíí bee baa has'nih .
19:66:018:0	Doo ákwii át'éii shijéí bii' bá hosíł'ą́ągo Bóhólníihii doo shididoots'į́įł da .
19:66:019:0	Nidi t'áá aaníí Diyin God shidiizts'ą́ą́' . Shisodizin shá yidiizts'ą́ą́' .
19:66:020:0	Diyin God baa dahohniih , háálá shisodizin t'áadoo nahjį' kóyiilaa da . Índa aa a'ááh nízinii t'áadoo shits'éidiní'ą́ą da !
