19:26:001:1	Doo shina'adlo'góó ádá haasdzíí'
19:26:001:0	Bóhólníihii nílíinii , shaa nánít'įįh , háálá doo shina'adlo'góó níyá , áádóó Bóhólníihii doo naaki nilį́į́góó baa jííníshłí ; éí bąą doo ałtádideesghas da .
19:26:002:0	Bóhólníihii nílíinii , hashísííd , áádóó shínítááh ; shijéí índa shíni' nabínítaahgo hanisííd .
19:26:003:0	Aa a'ááh nínízinii shilą́ąjį' hólǫ́ǫgo yish'į́ , áádóó nit'áá aaníinii bee yishááł .
19:26:004:0	Diné dabiyooch'íidii doo bił naháshtą́ą da , áádóó t'óó ádahodil'íinii doo bił naashdeeh da ;
19:26:005:0	bąąhági ádaat'íinii áłah nádleehii bik'ee dinishniih , índa doo yá'ádaashóonii doo bił nidaháshtą́ą da .
19:26:006:0	Bóhólníihii nílíinii , sha'át'e' ádingo shíla' tánínásgis doo , áko nibikáá' náá'iiniihí bináásháał doo ,
19:26:007:0	áko t'óó bik'eda'ayóii baa nisíníyáii t'áá ałtso bee nahashne'go ahééh nisingo naa nahodishdlaad doo .
19:26:008:0	Bóhólníihii nílíinii , nikin bii' sohodizin góne' kééhót'į́įgi áádóó bee ił nílíinii hólǫ́ǫgi ayóó'íínísh'ní .
19:26:009:0	Shii' sizíinii éí ádił nida'iilzíihii doo bił áłah í'díílíił da , índa diné dił bits'ádaazlį́įgo ádeile'ii doo bił she'iina' ádííłdįįł da .
19:26:010:0	Éí doo yá'áshǫ́ǫ́góó inahat'áii bílák'ee naazlá , índa bee nidaho'diiniihii nish'náájí bílák'ee hadadeezbin .
19:26:011:0	Nidi shí éí doo shina'adlo'góó yisháał doo ; shik'éniná'nídléego hááshíłteeh , áádóó shaa jiiníbaah .
19:26:012:0	K'íhoneezláagi sézį́ ; áłah da'ílį́įgi Bóhólníihii baa hashniih doo .
