19:7:001:1	T'áá ákogi ájít'éego há hadoodzihgo há sohodizin
19:7:001:0	Bóhólníihii shiDiyin God nílíinii , ni naa jííníshłí ; bik'ee neeshchéełii t'áá ałtso bits'ą́ąjį' yisdáshíłteeh ,
19:7:002:0	éí doodaii' shíká adoolwołígíí ádingo náshdóítsoh bitsiijį' daditł'ooígíí nahalingo nidashidiyoołdlał .
19:7:003:0	Bóhólníihii shiDiyin God nílíinii , díí baa niséyáago , shíla' bee doo ákwii át'éii áát'įįdgo ,
19:7:004:0	áádóó shich'į' k'énídzinii doo yá'át'éehii bich'į' naníláago , doodaii' t'áadoo biniinaanígóó shi'ana'í nilíinii bigha'ayéshnilgo ,
19:7:005:0	bíni'dii shélyeedgo shił dah dii'aash ; bee hinishnánígíí bíni' yik'i naaghá , áádóó bee ił nishłíinii ni'jį' kwíílééh . Síilah .
19:7:006:0	Bóhólníihii nílíinii , náháchį'go díldzííł ; shida'ana'í ádéédahooldzídígíí bich'į' nídiibááh ; aa nídíít'įįłgo bee nihwííní'áanii ákwii shá díldzííł .
19:7:007:0	Áko diné áłah nilínígíí ninaagóó ahénál'áa doo , áádóó wót'áahdi bá dah sínídáhídi dah nánídaah .
19:7:008:0	Bóhólníihii éí ał'ąą dine'é t'áá ałtso yeinít'į́ ; Bóhólníihii nílíinii , t'áá ákogi ááshníłígíí bik'ehgo índa doo shina'adlo'ígíí bik'ehgo shaa nánít'įįh .
19:7:009:0	Diné doo yá'ádaashóonii yaa nidaakaígíí ninít'i' le' , nidi diné t'áá ákogi ádaat'éii hasht'e'síníłnil ; jó , Diyin God t'áá ákogi át'éii nilíinii éí diné íinízinii índa bijéí haisííd .
19:7:010:0	Shich'ą́ą́h nahale'ii éí Diyin God ; éí t'áá aaníí góne' át'éii yisdáyiiłteeh .
19:7:011:0	Diyin God éí t'áá ákogi át'éego ainít'į́ , áádóó Diyin God t'áá ákwíí jį́ bąąhági ádajooníiłii yich'į' báháchį' .
19:7:012:0	Doo łahgo át'éego tsínídazdikeesgóó bidiltłish háídiyook'ash ; azdoołkah biniyé be'ełtį́į́' yideests'ǫ́ǫ́d ;
19:7:013:0	bik'ee anoonéełii ałdó' t'áá áłdįįdgo áyiilaa ; diné atída'ał'íinii bik'ijį' bik'a' bik'e'íyée'go áyósin .
19:7:014:0	Jó , diné doo yá'áshóonii éí ádílááh yéé'niiltsąąhgo doo ákwii át'éii béédii'nahgo wooch'ííd niyiiłchííh .
19:7:015:0	Hahwiiniłgo ahoodzą́ągo áyiił'įįh , áádóó hahwiiznil góyaa iitłish .
19:7:016:0	Be'ádílááh t'áá bí bik'ijį' nídoodleeł , áádóó yee até'éł'ínígíí t'áá bí bitsii'káa'jį' nídoodleeł .
19:7:017:0	Bóhólníihii t'áá ákogi át'éhígíí bik'ehgo bich'į' ahééh nisin doo , áádóó Bóhólníihii Aláahgo Ayóó'át'éii bízhi' baa hashniihgo hashtaał doo .
