40:12:001:1	Pen . xij .
40:12:002:1	Christ yn escusodi ei ddiscipulon a dynnesen dywys yr yd . Ef yn iachay ’r llaw ddiffrwyth . Ef yn cymporth y dyn a berchenogid gan gythrael , ac oedd ddall a’ mud . O’r cabledigaeth . Am genedleth y gwiperae . Gairiae da . Gairiae segur . Ef yn ceryddy yr anffyddlonion , yr ei vynnent gael gweled arwyddion . Ac yn dangos pwy yw ei vrodur , ei chwaer a ei vam .
40:12:001:0	YR amser hyny ydd aeth yr Iesu ar ddydd y Sabbath trwy r yd , ac ydd oedd newyn ar ei ddiscipulō , ac a ddechreysont dynny tywys yr yd a’bwyta .
40:12:002:0	A’ phan y gwelawð y Pharisaieit , y dywedesōt wrthaw , Nycha dy ddiscipulon yn gwneythyr hyn nyd yw gyfreithlawn ei wneythyd ar y Sabbath .
40:12:003:0	Ac ef a ddyvot wrthynt , Any ddallenasoch beth a wnaeth Dauid pan oedd arno newyn , a’r ei oeð y gyd ac ef ?
40:12:004:0	Val ddaeth ef ymewn y duy Ddyw , a’ bwyta’r bara gosot yr hwn nyd oedd gyfraithlawn iddo y vwyta , nac ir ei oeð gydac ef , and yn vnic ir Offeiriait ?
40:12:005:0	Nei any ðarllenasoch yn y Ddedyf vot yr Offeiriait ar y Sabbath yn y Templ yn tori’r Sabbath , ac ei bot yn ddirgerydd ?
40:12:006:0	And mi a ddywedaf ichwi , vot yma vn mwy na’r Templ .
40:12:007:0	Eithyr pe gwyddech pa beth yw hyn , Trugareð a ewyllysiaf ac nid aberth , ny varnesech‐chvvi ar yr ei diniwet .
40:12:008:0	Can ys bot Map y dyn yn Arglwydd , ys ar y Sabbath .
40:12:009:0	Ac ef a dynodd o ddyno , ac aeth y’vv Synagog wy .
40:12:010:0	A’ nycha , ydd oedd yno vn a ei law wedy dysychy . Ac wy a ovynesont iddaw , gan ddywedyt , Ai cyfreithlawn iachay ar y Sabbath ? val y gallent achwyn arnaw .
