40:26:001:1	Pen . xxvj .
40:26:002:1	Bwriad yr Offeiriait yn erbyn Christ . Ef yn escuso Mair Magdalen . Ordinat Swper yr Arglwydd . Gwendit y discipulon . Brad Iuddas . Y cleddyf . Can i Chirst y ’alw y un yn vap Dew , y barnwyt ef yn deilwng o angae . Petr yn ymwady , ac yn edifarhay .
40:26:001:0	AC e ðarvu , gwedy i’r Iesu ’orphen y gairie hyn oll , ef a ddyvot wrth ei ddiscipulon ,
40:26:002:0	Chwi wydddoch , mae o vewn y ðauddydd y mae ’r Pasc a’ Map y dyn a roddir y’w groci .
40:26:003:0	Yno ydd ymgynnullawdd yr Archoffeiriait a’r Scrivennyddion , a’ Henyddion y popul i nauað yr Archoffeiriat , a elwit Caiaphas
40:26:004:0	ac a ymgyggoresont py vodd y dalient yr Iesu trwy vrad , a’ ei ladd .
40:26:005:0	Eithyr wynt a ddywetsōt , Nyd ar yr ’wyl , rac bod cynnwrf ym‐plith y popul .
40:26:006:0	Ac val yð oedd yr Iesu ym‐Bethania yn-tuy Simon ’ohanglaf ,
40:26:007:0	e ddaeth ataw wreic , ac gyd a hi vlwch o irait gwerthvawr , ac ei tywalldawdd ar ei benn , ac ef yn eistedd wrth y vort .
40:26:008:0	A’ phan weles ei ddiscipulon , wy a sorasont , gan ddywedyt , Pa rait y gollet hon ?
40:26:009:0	can ys ef al’esit gwerthy er irait hwn er l’awer , a’i roddi ef ir tlotion .
40:26:010:0	A’r Iesu a wybu , ac a ddyvot wrthwynt , Paam ydd ych yn molesty yr wreic ? can ys hi a weithiawdd weithret ða arnaf .
40:26:011:0	Can ys y tlodion a gewch yn wastat yn eich plith , a’ myvy ny’s cewch yn oystat gyd a chwi .
40:26:012:0	Can ys lle y tywalltawdd hi yr irait hwn ar vyg‐corph , er mwyn vy‐claðedigaeth hi gwnaeth .
40:26:013:0	Yn wir ydywedaf wrthych , Pa le bynac y precether yr Euangel hon yn yr oll vyt , hyn yma hevyt a wnaeth hi , a venegir er coffa am denei ,
40:26:014:0	Yno yr aeth vn o’r dauddec , yr hwn a elwit Iudas Iscariot , at yr Archoffeiriait ,
40:26:015:0	ac a ddyvot vvrthynt , Pabeth a rowch i mi , a’ mi y rroddaf ef y‐chwy ? Ac wy a’ osodesont iddaw ddec arugain o ariant .
40:26:016:0	Ac o hynny allā , y caisiawdd ef amser‐cyfaddas yw vradychy ef .
40:26:017:0	Ac ar y dydd cyntaf o wyl y bara‐croew , y discipulon a ðaethant at yr Iesu gan ddywedyt wrthaw , P’le y myny i ni paratoi iti y vwyta ’r Pasc ?
40:26:018:0	Ac yntef a ddyuot , Ewch ir dinas at ryw vn , a dywedwch wrthaw , Yr athro a ddywait , Vy amser ys ydd agos , cyd a thi y cynhaliaf , y Pasc mi am discipulon .
40:26:019:0	A’r discipulon a wnaethant mal y gorchmynesei ’r Iesu yddwynt , ac a paratoesont y Pasc .
40:26:020:0	Ac gwedy ei mynet hi yn hwyr , ef a eisteddawdd i lawr gyd a’r dauddec .
40:26:021:0	Ac mal ydd oeðēt yn bwyta , y dywedawð , Yn wir y doedaf wrthych , y bradycha vn o hanawch vyuy .
40:26:022:0	Yno yr aethant yn athrist dros ben , ac a ddechraesont bop‐vn ddywedyt wrthaw . Ac myvi Arglwydd ?
40:26:023:0	Ac ef a atepawdd ac a ddyvot , Yr hwn a drocha ei law gyd a mi yn y ðescil , hwn a’m bradycha .
40:26:024:0	Diau Map y dyn a gerdda , mal y mae yn ercrivenedic o hanaw , anid gwae ’r dyn hwnaw , trwy ’r hwn y bradycher Map y dyn : ys da vesei ir dyn hwnaw , pe na’s genesit erioet .
40:26:025:0	Yno Iudas yr hwn y bradychawdd ef , a atepawdd ac a ddyvot , Ai myvi yw ef , Athro ? Ef a ddyvot wrthaw , Ty ei dywedaist .
40:26:026:0	Ac val yr oeddynt yn bwyta , e gymerth yr Iesu ’r bara : a’ gwedy iddaw vendithiaw , ef ei torawdd , ac ei roddes ir discipulon , ac a ddyvot , Cymerwch , bwytewch : hwnn yw vy‐corph .
40:26:027:0	Ac ef a gymerth y cwpan , a’ gwedy iddo ddiolch , ef ei rhoddes yddynt , can ddywedyt , Yfwch oll o hwn .
40:26:028:0	Can ys hwn yw vy‐gwaet o’r testament Newydd , yr hwn a dywelltir tros lawer , er maddauant pechotae .
40:26:029:0	Mi ddywedaf wrthych , nad yfwyf o hynn allan o’r ffrwyth hwn y wynwydden yd y dydd hwnw , pan ydd yfwyf ef yn newydd gyd a chwi yn‐teyrnas vy‐Tad .
40:26:030:0	A’ gwedy yddwynt canu psalm , ydd aethant allan i vonyth Olivar .
40:26:031:0	Yno y dyvot yr Iesu yr wrthynt , Chwychwi oll a rwystrir heno o’m pleit i : canys escrivenedic yw , Trawaf y bugail , a’ deveit y vagat a ’oyscerir .
40:26:032:0	Eithyr gwedy ’r adgyvodwyf , ir af och blaen ir Galilea .
40:26:033:0	Ac Petr atepawdd , ac a ddyvot wrthaw , Pe rhan i bawp ac ymrwystro oth pleit ti , eto ni ’im rhwystrir i byth .
40:26:034:0	Yr Iesu a ðyvot wrthaw , Yn wir y dywedaf wrthyt , mae yr nos hon , cyn canu yr ceilioc , i’m gwedy deirgwaith .
40:26:035:0	Petr a ðyvot wrthaw , Pe gorvyddei i mi varw gyd a thi , eto ny’th wadaf . Ar vn modd hefyt y dyvot yr oll ddiscipulon .
40:26:036:0	Yno ydd aeth yr Iesu gyd ac wynt i van a elwit Gethsemane , ac a ddyvor wrth y discipulon . Eisteddwch yma , tra elwyf a gweddiaw accw .
40:26:037:0	Ac ef a gymerth Petr , a’ dau‐vap Zebedeus ac a ðechreawð tristau , ac ymovidiaw yn tost .
40:26:038:0	Yno y dyvot yr Iesu wrthynt , Trist iawn yw vy enait ys yd angae , Aroswch yma , a’ gwiliwch gyd a mi .
40:26:039:0	Ac ef aeth ychydic pellach , ac a gwympodd ar ei wynep , ac y weddyawdd , can ddywedyt , Vy‐Tad , a’s gellir , aed y cwpan hwn ywrthyf : na vyddet hagen , yn ol vy ewyllys i , anid yn ol dy ewyllys di .
40:26:040:0	Yno y daeth at y discipulon , ac ei cafas wy yn cyscu , ac a ddyvot wrth Petr , Paam ? a ny allech’ wiliaw vn awr gyd a mi ?
