40:22:001:1	Pen xxij .
40:22:002:1	Damec y
40:22:003:1	22 : 0
40:22:004:1	*
40:22:005:1	briodas
40:22:006:1	neithior . Galwedigaeth y Cenedloedd . Y dillat priodas . Taly teyrnget . Am y Cyuodiadiadigaeth . Gorchest y Gwyr llen
40:22:007:1	22 : 0
40:22:008:1	‡
40:22:009:1	dyvvdot , dyvvolieth
40:22:010:1	Dywdap Christ .
40:22:001:0	YNo ydd atepawd yr Iesu , ac a lavarawdd wrthwynt drachefyn ym‐parabolae , gan ddywedyt ,
40:22:002:0	Cyffelyp yw teyrnas nefoeð i ryw Vrenhin a wnaethoedd briodas yw vap ,
40:22:003:0	ac a ddanvonawdd ei weision i ’alw yr ei a ohaddesit ir briodas , ac ny vynnesont wy ddawot :
40:22:004:0	Trachefyn yd anvones ef weision er‐eill , gan dywedyt , Dywedwch wrth yr ei a ’ohaddwyt , Wele , paratoais vy‐giniaw : vey ychen am pascedigion a ladwyt , a’ phop peth ys y parat : dewch i’r priodas .
40:22:005:0	Ac wy vu ddiystyr ganthwynt , ac aethant ymaith , vn y’w duy , ac arall y’w vasnach .
40:22:006:0	Ac y relyw a ddaliesont y y weision ef , ac ei gwarthruddiesont , ac a ei llaðesont .
40:22:007:0	A’ phan glypu yr Brenhin , y llidiawdd , ac a ddanvones allan ei lueddwyr , ac a ddinistriawdd y lladdwyr hynny , ac a loscawdd eu dinas .
40:22:008:0	Yno y dyvot ef wrth ei weision , Yn wir y briodas ys y parat : anid yr ei a ohodesit , nid oeddent teilwng .
40:22:009:0	Ewch gan hyny allan i’r priffyrð , a’ chynniuer y gaffoch , gohaddwch i’r briodas .
40:22:010:0	Yno ’r gweision hyny aethant allan ir prifffyrdd , ac a gesclesont ynghyt gynniuer oll ac gawsont , ddrwc a’ da : ac a lanwyt y briodas o ’ohaddwyr .
40:22:011:0	Yno ’r Brenhin e ddeuth y mewn , y weled y gohawddwyr , ac a ganvu yno ddyn nid oedd gwisc priodas amdauaw .
40:22:012:0	Ac ef a ddyvot wrthaw , Y cyveil’ pa ddelw yd aethost y mewn yma , eb vot am danat gwisc priodas ? Ac ynte aeth yn vut .
40:22:013:0	Yno y dyvot y Brenhin wrth y gweision , Rwymwch y draet a’ ei ddwylo : cymerwch ef ymaith , a’ thavlwch i’r tywyllwch eithav : ynaw y bydd wylofain , ac yscyrnygy dannedd .
40:22:014:0	Can ys llawer a elwir , ac ychydicion a ddetholir . Yr Euangel y xxiij . Sul gwedy Trintot .
40:22:015:0	¶ Yno ydd aeth y Pharisaieit , ac a gymersont gygcor pa vodd y dalient ef yn ei ymadrawdd .
40:22:016:0	Ac wy a ddanvonesont attaw ei ddiscipulon y gyd a’r Herodiait , can ddywedyt , Athro , gwyddam dy vot yn ’air wir , ac yn dyscy ffordd Dduw yn‐gwirionedd , ac nyd oes arnat oval nep : can nad wyt yn edrych ar wynep dynion .
40:22:017:0	Dywet y‐ni gan hynny , beth a dyby di ? Ai iawn rhoddy teyrnget i Caisar , ai nyd yw ?
40:22:018:0	A’r Iesu yn gwybot y drigioni wy , a ddyvot , Paam im temptwch vi chwychwi hypocriteit ?
40:22:019:0	dangoswch ymy vath y deyrnget . Ac wy a roeson attaw geiniawc .
40:22:020:0	Ac ef a ddyvot wrthynt , Pwy pie’r ddelw hon a’r argraph ?
40:22:021:0	Dywedesont wrthaw , Caisar . Yno ydyvot ef wrthwynt , Rowch gan hyny ys ydd i Caisar , i Caisar , a’ rhowch i Dduw y pethe ys yð y Dduw .
40:22:022:0	A’ phan glywsant wy hyn , ryveddy awnaethant , a’ ei ady a’ myned ymaith .
40:22:023:0	Y dydd hwnw y daeth y Zadducaieit ataw , ( yr ei a ddywedan nad oes cyfodedigaeth ) ac ovynesont iddo ,
40:22:024:0	gan ddywedyt , Athro , eðyvot Moysen , a’s bydd marw vn , eb yddo blant , priodet ei vrawd y wraic ef , a chyfodet had y’w vrawt .
40:22:025:0	Ac ydd oedd gyd nyni saith broder , a’r cyntaf a briodawdd wreic , ac a vu varw : ac ef eb hiliogeth iddaw , a adawodd ei wreic y’w vrawt .
40:22:026:0	Yr vn ffynyt yr ail , a’r trydydd , yd y saithfed .
40:22:027:0	Ac yn ðywethaf oll y bu varw’r wreic hefyt .
40:22:028:0	Can hyn yn y cyfodedigaeth , gwraic i bwy o’r saith vydd hi : can ys pop vn y cawsei hi .
40:22:029:0	Yno ydd atepawdd yr Iesu ac y dyvot wrthynt , Cyfeiliorny ydd ych , eb wybot yr Scrythurae , na meddiant Dyw .
40:22:030:0	O bleit yn y cyfodedigaeth nid ynt yn gwreica , nag yn gwra , namyn , bot val Angelion Dew yn y nefoedd .
40:22:031:0	Ac am gyfodedigaeth y meirw , any ddarllenysoch hyn a ddywetpwyt wrthych gan Dduw , yn dywedyt ,
40:22:032:0	Mi yw Duw Abraham , Dew Isaac , a’ Dew Iaco ? Dew nid yw Ddew ’r meirw , namyn y bywion .
40:22:033:0	A’ phan glybu’r popul hyny , rhyfeddy a wnaethant am ei ddysceidaeth ef . Yr Euangel y xviij . Sul gwedy Trintot .
40:22:034:0	¶ A’ gwedy clybot o’r Pharisaieit ddarvot i’r Iesu ’oystegu y Saddukaieit , wynt a ymgynullesant ir vn‐lle .
40:22:035:0	Ac vn o hanwynt yr hwn oeð Gyfreithiwr a ymofynawdd ac ef , er ei brovi gan ðywedyt ,
40:22:036:0	Athro , pa vn ywr gorchymyn mawr yn y Ddeðyf ?
40:22:037:0	Yr Iesu a ddyvot wrthaw , Cery yr Arglwydd dy Dduw o’th oll calon , ac o’th oll eneit , ac o’th oll veddwl .
40:22:038:0	Hwn yw’r cyntaf a’r gorchymyn mawr .
40:22:039:0	A’r ail ys y gyfelip i hwnn , Cery dy gymydawc mal tuhun .
40:22:040:0	Yn y ddau ’orchymyn hynn y saif yr oll Ddeðyf a’r Prophwyti .
40:22:041:0	A’ gwedy ymgascly o’r Pharisaieit yn‐cyt , y govynnawdd yr Iesu yddwynt ,
40:22:042:0	can ddywedyt , Peth a dybygwch chwi am y Christ ? map i bwy ytyw ? Dywedesont wrthaw , Map Dauid .
40:22:043:0	Ef a ddyvot wrthwynt , can hyny pa vodd y mae Dauid yn yr yspryt yn y y ’alw ef yn Arglwydd , can ðywedyt ,
40:22:044:0	Dywedawð yr Arglwydd wrth vy Arglwydd , Eistedd ar vy‐deheulaw y ny ’osotwyf dy ’elynion yn droetvainc y‐ty ?
40:22:045:0	Ac a’s galwadd Dauid ef yn Arglwydd pywedd y mae ef yn Vap iddaw ?
40:22:046:0	Ac ny vetrawdd vn‐dyn atep gair iddaw , ac ny veiddiawdd nep o’r dydd hwnw allan ymgwestioni ddim ac ef mwyach .
