40:16:001:1	Pen . xvj .
40:16:002:1	Y Pharisaieit yn gofyn arwydd . Yr Iesu yn rhybyddiaw ei ddiscipulon rac athraweth y Pharisaieit . Cyffes Petr . Egoriadae nef . Bod yn angenrait ir ffyddlonion ddwyn y groes . Colli nei gael y bywyt . Diuodiat Christ .
40:16:001:0	YNo y deuth y Pharisaieit a’r Sadducaieit , ac y temptesant ef , gan geisiaw ganthaw ddangos yddyn arwydd o’r nef .
40:16:002:0	Ac ef a atepawdd , ac a ddyvot wrthynt , Pan vo hi yn hwyr , y dywedwch , Hi vydd Towydd tec : can vot yr wybr yn goch .
40:16:003:0	A’r borae y dyvvedvvch , Heddiw y bydd tempestl , can vot yr wybr yn goch ac yn drist . A’ hypocriteit , wynep yr wybr a vedrwch i y varny , ac a ny vedrwch varny am arwyddion yr amserae ?
40:16:004:0	Egais y genedleth drwc a’r odinabus arwydd , ac arwydd ny’s roddir iði n amyn arwyð , y Prophwyt Ionas : ac velly y gadawodd ef wy , ac y tynnawdd ymaith .
40:16:005:0	¶ A’ gwedy dyvot ey ddiscipulon i’r lan arall , ef aithei eb gof ganthynt gymeryd bara y gyd ac wynt .
40:16:006:0	A’r Iesu a ddyvot wrthynt , Edrychwch , a’mogelwch rhac leven y Pharisaieit a’r Sadducaieit .
40:16:007:0	Ac wy a veddyliason ynddyn y vnain gan ddywedyt , Hyn sy am na ddygesam vara .
40:16:008:0	A’r Iesu yn gwybot y peth , a ddyvot wrthynt , Chwychwy o ffyð vechan , paam y meðyliwch ynoch eich hun , sef can na ðygesoch vara ?
40:16:009:0	Anyd ychvvi yn dyall eto , nac yn cofio y pemp torth , pan oedd pempmil popul , a’ phasawl basgedeit a gymresoch ?
40:16:010:0	Na’r saith torth pan oedd saith mil popul , a’ pha sawl cawelleit a gymeresoch ?
40:16:011:0	Pa’m na ddyellwchvvi , mae am y bara y dywedeis wrthych , ar ymogelyd o hanoch rac leven y Pharisaieit a’r Sadducaieit ?
40:16:012:0	Yno y dyellesont wy , na ddywedesei ef am ymogelyd o hanynt rac lefen bara , namin rac athraweth y Pharisaieit a’r Sad‐ducaieit . Yr Euangel ar ddydd S . Petr Apostol .
40:16:013:0	¶ A’ gwedy dyvot yr Iesu i dueðae Caisar Philip e a o vynnodd y’w ddiscipulon , Pwy y dywait dynyon vy‐bot i Map y dyn ?
40:16:014:0	Ac wy a ðywedesont Rei a ðywait mae Ioan vatyðiwr : a’ rei mae Helias ac eraill may Ieremias , ai vn or Prophwyti .
40:16:015:0	Ac ef a ddyvot wrthwynt , A’ phwy meddwchwi yw vi ?
40:16:016:0	Yno Simon Petr a atepawð , ac a ddyvot , Ti yw’r Christ Map y Duw byw .
40:16:017:0	A’r Iesu a atepawdd , ac a dyvot wrthaw Gwyn dy vyt ti Simō vap Ionas can nat cic a’ gwaet ei dangosawdd yty eithyr vy‐Tat yr hwn ys ydd yn y nefoedd .
40:16:018:0	A’ mi a ðywedaf hefyt yty , mae ti yw Petr , ac ar y petr hynn yr adailiaf veu Eccles : a’ phyrth yffern ny’s gorvyddant y hi .
40:16:019:0	Ac y‐ty y rhoddaf egoriadae teyrnas nefoedd , a’ pha beth bynac a rwymych ar y ddaear , a vydd rwymedic yn y nefoedd : a pha beth bynac a ellyngych ar y daear , a vydd gellyngedic yn y nefoedd .
40:16:020:0	Yno y gorchymynawdd ef y’w ddiscipulon , na ddywedent i nep mai efe oedd Iesu y Christ .
40:16:021:0	O hyny allan y dechreawdd yr Iesu dangos y’w ddiscipulon , vot yn angenraid iddo vyned i Caerusalem , a’ dyoddef llawer gan yr Henafieit , a’ chan yr Archoffeiriait , a’r Gwyr‐llen a’ ei ladd , a’ chyfody y trydydd dydd .
40:16:022:0	Yno Petr ai cymerth ef or nailltuy , ac a ddechreawdd y geryddy ef , gan ddywedyt , Arglwydd , trugarha wrthyt tyun : ny’s bydd hyn y‐ty .
40:16:023:0	Yno ydd ymchoelodd ef trach i gefyn , ac y dyvot wrth Petr , tynn ar v’ol i Satan : can ys rhwystr wyt ymy , can na ddyelly y pethae sy o Dduw , namyn y pethae sy o ddynion .
40:16:024:0	Yno y dyvot yr Iesu wrth ei ddiscipulon , A’s dilyn nep vi , ymwrthoted y vn , a chymered ei groc a’ dilyned vi .
40:16:025:0	Can ys pwy bynac , a ’wyllysio gadw ei vywyt , ei cyll : a’ phwy pynac a gollo ei vywyt om pleit i , a ei caiff .
40:16:026:0	Can ys pa les i ddyn , er ennill yr oll vyt , a chyll ef y enait y hun ? nei pa beth a rydd dyn yn gyfnewyt
40:16:027:0	dros ei Dat y gyd a’ ei Angelyon , ac yno y rhydd ef i bop dyn erwydd ei weithredoedd .
40:16:028:0	Yn wir y dywedaf ychwi , vot rhei o’r sawl ’sy yn sefyll yma , ar ny chwaethant angae , nes yddyn welet Map y dyn yn dyvot yn ei deyrnas .
