40:23:001:1	Pen . xxiij .
40:23:002:1	Christ yn barny ar rwysc , trachwant a’ gausancteiddrwydd y Gwyr llen a’r Pharisaieit . Y canlyniat wy yn erbyn gwasanaethwyr Dew . Christ yn Prophwyto o ddinistriat Caerusalem .
40:23:001:0	YNo y llavarawdd yr Iesu wrth y dyrva , a’ ei ddiscipulon ,
40:23:002:0	gan dywedyt , Y mae ’r Gwyr‐llen a’r Pharisaieit yn eistedd yn‐cadair Moysen .
40:23:003:0	Yr oll bethae gan hyny ar a ddywedant ywch am ei cadw , cedwch a’ gwnewch : an’d ar ol ei gweithredoedd na wnewch : can ys dywedyt a wnant , eb wneythy’r .
40:23:004:0	O bleit wy rwymant veichiae trymion , ac anhawdd ei dwyn , ac gesodant ar yscwyddae dynion , ac wy y vnain nid ysmutant ac vn oei bysedd .
40:23:005:0	Ei oll weithredoedd a wnant er ei gweled o ddynion : can ys llydany ei cadwadogion , a wnant , ac estyn emplynae ei gwiscoedd ,
40:23:006:0	a’ chary y lle vchaf yn‐gwleddoedd , a’ chael y prif eisteddleoedd mewn cymanfae ,
40:23:007:0	a’ chyfarch-gwell yddyn yny marchnatoedd , a’ei galw gan ðynion Rabbi , Rabbi ,
40:23:008:0	Eithr na’ch galwer gan ddynion Rabbi : can ys vn dyscyawdr ys ydd y chwi ’sef yvv , Christ , a’ chwychwi oll broder yd ych .
40:23:009:0	Ac na ’alwch neb yn dad yw’ch ar y ddaiar : can nad oes anyd vn yn Tad y chwi yr hwn ys ydd yn y nefoeð .
40:23:010:0	Ac nach galwer yn ðyscodron : can ys vn yw eich dyscyawdr chwi , ys ef Christ .
40:23:011:0	A’r mwyaf yn eich plith , byddet ef yn was ywch’ .
40:23:012:0	Can ys pwy pynac a ymddyrcha y vn , a iselir : a’ phwy pynac a ymisela ehun , a dderchefir .
40:23:013:0	A’ gwae chwychvvi’r Gwyr‐llē a’r Pharisaieit , hypocriteit , can ychwi gau teyrnas nefoedd geyrbron dynion : canys ychunain nyd ewch ymewn , ac ny’s gedwch ir ei a ddauent y mewn , ddyvot y mywn .
40:23:014:0	Gwae chwychvvi yr Gwyr‐llen a’r Pharisaieit hypocriteit : can ys eich bot yn llwyr vwyta tai y gwragedd gweddwon , ac wrth liw gweðiae hirion : erwydd pa bleit yd erbyniwch varn drymach .
