40:17:001:1	Pen . xvij .
40:17:002:1	Ymrithiat Christ ar vynyth Thabor . Dlyedus yw gwrando Christ . Am Elias ac Ioan Vatyddiwr . Ef yn iachay dyn lleuadglaf . Grym ffydd . Vmpryd a’ gweddi . Christ yn rhaevenegi am ei ddyoddefaint . Ef yn taly teyrnget .
40:17:001:0	AC ar ol chwech diernot , y cymerawdd yr Iesu Petr , ac Iaco , ac Ioan ei vrawt , ac y duc wy i vynydd i vonyth vchel o’r nailltuy ,
40:17:002:0	ac ymrythiodd geyr y bron wy , ac a dywynnodd y wynep ef val yr haul , a’ ei ddillat oedd mor gannaid a’r goleuni .
40:17:003:0	A’ nycha , Voysen ac Elias , yn ymddangos yddynt , yn ymddiddan ac ef .
40:17:004:0	Yno yð atepawdd Petr , ac y dyvot wrth yr Iesu , Arglwydd , da yw i ni vot yma : a’s ewyllysy , gwnawn yma dri phebyll , vn i ti , ac vn i Voysen , ac vn y Elias .
40:17:005:0	Ac ef eto yn ymadrodd , nycha wybren olau yn ei gwascodi hwy : nycha , lef o’r wybren yn dywedyt , Hwn yw vy‐caredic Vap , yn yr hwn im boðolonit : clywch ef .
40:17:006:0	A’ phan glybu y discipulon hyny , y cwympesont ar ei hwynebae , ac a ofsont yn ddirvawr :
40:17:007:0	Yno y daeth yr Iesu , ac ei cyhyrddodd wy , ac a ddyvot , Cyfodwch , ac nac ofnwch .
40:17:008:0	A’ chwedy yddynt dderchafael ei llygaid ny welsant nep anyd yr Iesu yn vnic .
40:17:009:0	¶ A’ mal y descendent o’r mynyth , y gorchymynawdd yr Iesu yddyn gan ddywedyt , Na ddywedwch y weledigaeth i nep , yn y chyvoto Map y dyn o veirw .
40:17:010:0	A’ ei ddiscipulon a ovynawdd iðo , gan ddywedyt , Pa’m gan hyny y dyweit y Gwyr llen vot yn rait i Elias ddyvot yn gyntaf ?
40:17:011:0	A’r Iesu a atepawdd ac a ðyvot wrthyn , Diau y daw Elias yn gyntaf , ac yr edvryd ef oll .
40:17:012:0	Eithr mi ddywedaf ychwi , ddyvot o Elias eisioes , ac na’s adnabuont vvy ef , a’ gwneuthyd o hanynt yddo beth bynac a vynesont : velly y bydd i Vap y dyn ddyoddef ganthwynt vvy .
40:17:013:0	Yno y dyellodd y discipulon y vod ef yn dywedyt wrthwynt am Ioan Vatyddiwr .
40:17:014:0	¶ A’ gwedy eu dyvot at y dyrva , y daeth ataw ryvv ddyn , ac aeth ar ei ’liniae iddo , ac a ddyvot ,
40:17:015:0	Arglwydd , trugarha wrth vy map : can yvot ef yn lloeric , ac ydd ys yn ddrwc wrthaw : can ys mynech y cwymp ef yn tan , a’ mynech yn y dwfr .
40:17:016:0	A’ mi y dugym ef at dy ddiscipulon di , ac ny allasant wy y iachay ef .
40:17:017:0	Yno ydd atepawdd yr Iesu , ac y dyvot , A genedleth , anffyddlawn a’ thrawsedic , pa hyd bellach y byddaf gyd a chwi ? pa hyd bellach ych dyoddefaf ? dugwch ef yma ataf i .
40:17:018:0	A’r Iesu a geryddodd y cythrael , ac ef aeth allan o hanaw : a’r bachcen a iachawyt yn yr awr hono .
40:17:019:0	Yno y daeth y discipulon at yr Iesu wrtho ehun , ac a ddywedesont , Paam na allem ni vwrw ef allan ?
40:17:020:0	A’r Iesu a ddyvot wrthwynt , O bleit eich ancrediniaeth : can ys yn wir y dywedaf y chwi , pe bei y chwi ffydd cymeint ac yvv gronyn mwstard chvvi ddywedwch wrth y mynyth hwn , Ysymud o ddyma draw , ac ef a ysymuta : ac ny bydd dim ampossibil ychwy .
40:17:021:0	An’d nyd a allan y rhywiogeth hwn , amyn gan weddi ac vmpryd .
40:17:022:0	¶ Ac val ydd oeddent vvy yn aros yn‐Galilaea y dyvot yr Iesu wrthwynt , Ef a ddervydd rhoddi Map y dyn yn‐dwylo dynion ,
40:17:023:0	ac vvy ei lladdant , a’r trydydd dydd y cyfyd ef : a’ thristay a wnaethant yn ddirfawr .
40:17:024:0	A’ gwedy ey dyvot i Capernaum , yr ei oedd yn derbyn arian y deyrnget , a ddaethant at Petr , ac a ddywedesont , Any’d yw eich athro chvvi yn taly teyrnget ?
40:17:025:0	Ef a ddyvot , Ydyw . Ac wedy y ðyvot ef ir tuy , yr Iesu a ei rhac vlaenodd ef , gan ddywedyt , Beth a dybygy di Simon ? Y gan bwy y cymer Brenhinedd y ddaiar deyrnget , nei dreth ? y gan ei plant , ai gan estronieit ?
40:17:026:0	Petr a ddyvot wrthaw , y gan estranieit . Yno y dyvot yr Iesu wrthaw , Gan hyny y mae’r plant yn rhyddion .
40:17:027:0	Er hyny , rac y ni y rhwystro hwy , does ir mor , a’ bwrw vach , a’ chymer y pyscotyn cyntaf a ddel i vynydd , ac wedy yt’ agory ei eneu , ti a gai ddarn o vgein ceinioc : cymer hynny a’ dyro droso vi a’ thi .
