40:19:001:1	Pen . xix .
40:19:002:1	Christ yn dangos am ba achos y gellir yscar gwraic . Bot
40:19:003:1	*
40:19:004:1	ymgynnal
40:19:005:1	diweirdep yn ddawn gan Ddyw . Ef yn derbyn rhei bychain . I gahel bywyt tragyvythawl . Mai braidd y bydd yr hei goludoc vot yn gadwedic . Ef yn gaddaw ir ei a ymwrthodesont ar cwbyl yw ddilyn ef , vychedd dragywythol .
40:19:001:0	AC e ddarvu , gwedy ir Iesu ’orphen yr ymadroddion hyny , ef a ymadawodd a Galilaea , ac a ddaeth i ffinion Iudaea y tuhwnt y Iorddonē .
40:19:002:0	A’ thorfoedd lawer y dylinodd ef , ac ef y iachaodd wy yno .
40:19:003:0	Yno y daeth y Pharisaieit attaw , gan y demptio ef , a’ dywedyt wrthaw , Ai cyfreithlon i wr wrthddot ei wraic am bop achos ?
40:19:004:0	Ac ef a atepawdd ac a ddyvot wrthwynt , A’ ny ddarllenasach , pan yw i’r vn y gwnaeth vvy yn y dechreu , yn wryw a’ benyw ei gwneythyd hwy ,
40:19:005:0	ac a ddyvot , O bleit hyn y gad y dyn dad a’ mam ac y gly yn wrth ei wraic , ac ylldau y byddant yn vn cnawt ?
40:19:006:0	Ac velly nid ynt mwyach yn ddau , anyd vn cnawd . Na bo i ddyn gan hyny ’ohany yr hyn a gyssylltodd Duw .
40:19:007:0	Wy a ddywetesont wrthaw , Paam gan hyny y gorchymynodd Moysen roi llythr yscar , a’i gellwng hi ymaith ?
40:19:008:0	Ef a ddyvot wrthwynt , Moysen erwydd caledrwydd eich calonae , a ’oddefoð yw’ch wrthðot eich gwrageð : eithr o’r dechreu nyd oeð hi velly .
40:19:009:0	A’ mi dywedaf ychwi , mai pwy pynac a wrthddoto ei wraic , dyethr am ’odinep , a’ phriody vn arall , y vot yn tori priodas , a’ phwy pynac a briota hon , a yscarwyt , a dyr briodas .
40:19:010:0	Yno y dyvot ei ddiscipulon wrtho , A’s felly y mae ’r devnydd rhwyng gwr a’ gwraic , ny da priodi gvvraic .
40:19:011:0	Ac ef a ddyvot wrthwynt , Ny all pawp dderbyn y peth hyn , anyd yr ei y rhoed yddwynt .
40:19:012:0	Can ys y mae’r ei yn ddiweir ar a anet velly o groth ei mam : ac y mae’r ei yn ddiweir , a wnaed yn ddiweir gan ddynion : ac y mae’r ei yn ðiweir , a ei gwnaeth yhunain yn ddiweir er mvvyn teyrnas nefoedd . Y nep a all dderbyn hyn , derbyniet .
40:19:013:0	Yno y ducpwyt ataw ’rei bychain , er iddo ddody ei ddwylo arnaddynt , a’ gweddio : a’r discipulon y ceryddawdd wy .
40:19:014:0	A’r Iesu a ddyvot , Gedewch ir ei bychein , ac na ’oharddwch yddynt ddyvot atafi : can ys ir cyfryw ’rei y mae teyrnas nefoedd .
40:19:015:0	A’ gwedy iddo ddody ei ddwylo arnaddynt , ydd aeth ef ymaith o ddyno .
40:19:016:0	A’ nycha , y daeth vn , ac y dyvot wrthaw , Athro da , pa dda a wnaf , yn y chaffwyf vuchedd dragyvythawl ?
40:19:017:0	Ac ef a ddyvot wrthaw , Paam y gelwy vi yn dda ? nyd da neb , anyd vn , ys ef Dyw : and a’s wyllysy vyned y myvvn i’r bywyt , cadw ’r gorchymynion .
40:19:018:0	Ef a ddyvot wrthaw ynte , Pa ’r ei ? A’r Iesu a ddyvot , Yr ei hynn , Na ladd : Na thor briodas : Na ledrata : Na ddwc gamtestiolaeth .
40:19:019:0	Anrydedda dy dad ath vam : a’ cheri dy gymydawc mal ty vn .
40:19:020:0	Y gwr‐ieuanc a ddyvot wrthaw , Mi gedwais hyn oll o’m ieuntit : beth ’sy yn eisiae i mi eto ?
40:19:021:0	Yr Iesu a ddyvot wrthaw , A’s wyllysy vot yn perfeith , does , gwerth ’sy genyt , a’ dyro i’r tlodiō a’ thi gai dresawr yn y nefoedd : a’ dyred a’ dilyn vi .
40:19:022:0	A’ phan glybu y gwr‐ieuanc yr ymadroð hwn , yr aeth ffwrdd yn drist : canys ydd oedd ef yn berchen da lawer .
40:19:023:0	Yno y dyvot yr Iesu wrth ei ddiscipulon , Yn wir y dywedaf wrthych , mae yn anhawdd ydd a’ r goludawc i deyrnas nefoedd .
40:19:024:0	A’ thrachefyn y dywedaf y chwi , Haws i gamel vyned trwy gray ’r nodwydd‐ddur , nac i’r goludawc vyned y mewn y deyrnas Duw .
40:19:025:0	A’ phan glybu y ddiscipulon ef hyn , sanny awnaethant yn aruthyr , gan ddywedyt , Pwy gan hyny all vot yn gadwedic ?
40:19:026:0	A’r Iesu a edrychawdd arnyn , ac a ðyvot wrthynt , Gyd a dynion ampossibil yw hynn , anyd gyd a Duw pop peth sy yn possibil . Yr Euangel ar ddydd ymchweliat . S , Paul
40:19:027:0	¶ Yno Petr atepodd ac a ddyvot wrtho , Nycha nyni a adawsam pop peth , ac ath ddilynesam di : a’ pha beth a vydd y‐ni
40:19:028:0	Ar Iesu a ddyvot yddynt , Yn wir y dywedaf wrthych , mae pan eisteðo Map y dyn yn eisteddva ei ’ogoniant , chwychwi yr ei a’m canlynawdd yn yradgenetleth , a eisteðwch hefyt ar ddeuddec eisteddva , ac a vernwch dauðec llwyth yr Israel .
40:19:029:0	A’ phwy bynac a edy tai , ney vroder , neu chwioreð , neu dat , neu vam , ne wraic , nei blant , nei diredd , er mwyn vy Enw i , ef a dderbyn ar y canvet , a’bywyt tragyvythavl a etivedda .
40:19:030:0	An’d llawer or ei blaenaf , a vyddant yn olaf , ar ei olaf yn vlaenaf .
