40:4:001:1	Pen . iiij .
40:4:002:1	Christ yn vmprydio , ac yn cael demptio . Yr Angelion yn gweini iddo . Ef yn dechrae precethy , Ac yn galw Petr , Andreas , Iaco ac Ioan , ac yn iachay yr oll gleifion .
40:4:001:0	YNo yr aethpwyt a’r Iesu i vyny ir diffaithwch , y’w demptio can ddiavol .
40:4:002:0	A gwedy iddaw vmprytiaw dd’augain diernot a dau’gain nos , yn ol hynny y newynawdd .
40:4:003:0	Yno y daeth y temptiwr atto , ac a ddyvot , A’s ti yw Map Duw , arch ir ceric hynn vod , yn vara .
40:4:004:0	Ac yntef atepawdd ac a ddyuod , Mae yn escrivenedic , Nid trwy vara yn vnic y bydd byw dyn , anid trwy pop gair a ddaw o enae Duw .
40:4:005:0	Yno y cymerth diavol ef ir dinas sanctaidd , ac ei gossodes ar binnacul y templ ,
40:4:006:0	ac addyvot wrthaw , A’s Map Duw wyt , bwrw dy hun i lawr : can ys yscrivenedic yw , Y rhydd ef orchymyn yw Angelion am danat , ac wy ath dducant yn ei dwylaw , rhac taro o hanot dy droet wrth garec .
40:4:007:0	Yr Iesu a ddyvot wrthaw , Y mae yn escrivenedic trachefyn , Na themptia yr Arglwydd dy Dduw .
40:4:008:0	Trachefyn y cymerth diavol ef i vynyth tra vchel , ac a ddangosodd iddaw oll deyrnasoedd y byt , a’ ei gogoniant ,
40:4:009:0	ac a ddyvot wrthaw , Hynn oll a roddaf y ty , a’s cwympy i lawr , a’m addoli i .
40:4:010:0	Yno y dyvot yr Iesu wrthaw , Tynn ymaith Satan : can ys scrivenedic yw , Yr Arglwydd dy Dduw a addoly , ac efe yn vnic a wasanaethy .
40:4:011:0	Yno y gadawdd diavol ef : a’ nycha , Angelion a ddaethant , ac a wnaethant wasanaeth ydd-aw .
40:4:012:0	A’ phan glybu ’r Iesu ry roddi Ioan , ef a ymchoelawdd i Galilaea ,
40:4:013:0	ac a adawodd Nazaret , ac aeth ac a drigodd yn‐Capernaum , yr hon ’sydd wrth y mor yn cyffinydd Zabulon a’ Nephthalim :
40:4:014:0	yn y chyflawnit hyn a ddywetpwyt trwy Esaias brophwyt , gan ddywedyt ,
40:4:015:0	Tir Zabulon , a ’thir Nephthalim vvrth ffordd y mor , tros Iorddonen Galilaea y Cenetloedd :
40:4:016:0	Y popul a oedd yn eistedd yn‐tywyllwch , a welawdd oleuni mawr : ac ir ei a eisteddent ym‐bro a’ gwascot angae , y cyfododd goleuni .
40:4:017:0	O’r pryd hyny y dechreuawdd yr Iesu precethy , a dywedyt , Gwellewch eich bychedd : erwydd bot teyrnas nefoedd yn dynesay .
40:4:018:0	Mal ydd oedd yr Iesu yn rhodiaw wrth vor Galilea , e ganvu ddau vroder , Simon , yr hwn a elwir Petr , ac Andreas ei vrawt , yn bwrw rhwyt i’r mor ( can ys pyscotwyr oeddent )
40:4:019:0	ac ef a ddyvot wrthwynt , Dewch ar vy ol i , a mi a’ch gwnaf yn pyscotwyr dynion .
40:4:020:0	Ac wy yn y van gan ady y rhwytae , y dilynesont ef .
40:4:021:0	A gwedy y vynet ef o ddynaw , ef a welawdd ddau vroder ereill , Iaco vap Zebedeus , ac Ioan ei vrawt mewn llong gyd a Zebedeus ei tat , yn cyweiriaw ei rhwytae , ac ei galwodd wy .
40:4:022:0	Ac wy eb ohir gan adael y llōg a’ ei tat , y canlynesant ef .
40:4:023:0	Ac yno ydd aeth yr Iesu o amgylch oll Galilaea , gan ei dyscy yn ei Synagogae , a’ phregethy Euangel y deyrnas , ac iachay pop haint , a’ phob nychtot , ymplith y popul .
40:4:024:0	Ac aeth son am danaw trwy oll wlad Syria : ac a ddugesont ataw yr oll gleifion , ar oedd yn adwythus o amryw heintiae a chnofeydd , a’r ei cythraulic , ar ei lloeric ar sawl oedð ar parlys arnyn , ac ef ai iachaodd wy .
40:4:025:0	Ac y canlynawdd ef dyrva vawr o Galilea , ac Decapolis ac o Gaerusalem ac Iudea , ac or gvvledydd tuhwnt i Iorddonen .
