40:9:001:1	Pen . ix .
40:9:002:1	Christ yn iachay’r parlys . Ac yn maddeu pechotau . Yn galw ac yn ymweled a’ Mathew . Am trugaredd . Christ yn atep y Pharisaieit a’ discipulon Ioan . Am y brethyn crei a’r gwin newydd . Y vot ef yn i achay ’r wraic o’r haint gwaed . Ef yn cyfody merch Iairus . Yn rhoi i ddau ddall ei golwc . Yn gwneythyd i vudan ddywedyt . Yn precethy ac yn iachay mewn amrafel vannae . Ac yn annoc gweddiaw er mwyn cynyddy yr Euangel .
40:9:001:0	AC ef aeth y mewn ir llong , ac aeth trosawdd , ac a ddeuth y’w ddinas ehun .
40:9:002:0	A’nycha , wy a dducesant ataw wr claf o’r parlys , yn gorwedd mewn gwely . A’r Iesu yn gweled y ffydd wy , a ddyvot wrth y claf o’r parlys , Y map , ymddiriet : maddeuwyt y ty dy pechatae .
40:9:003:0	A’ nycha , yr ei or Gwyr‐llen a ddywedėt wrthyn ehunain , Y mae hwn yn caply .
40:9:004:0	A’ phan welawdd yr Iesu ey meddyliae , y dyvot , Pa am y meddylywch bethae drwc yn eich calonae ?
40:9:005:0	Can ys pa‐un hawsaf ei dyywedyt , Maddeuwyt y‐ty dy bechtae , ai dywedyt , Cyvot , a’ rhotia ?
40:9:006:0	Ac er mwyn ychwy wybot vot meddiant i Vab y dyn ar y ðaiar y vaðae pechatae , ( yno y dyvot ef wrth y claf o’r parlys ) Cyvot , cymer dy wely , a’ dos ith tuy .
40:9:007:0	Ac ef agyvodes , ac aeth ymaith y ew duy ehun .
40:9:008:0	Velly pan ei canvu ’r dyrva , rhyveddy a wnaethant , a gogoneddy Duw , yr hwn a roesei gyfryw awturtat i ddynion . Yr Euangel ar ddydd S . Matthevv .
40:9:009:0	¶ Ac val ydd oedd yr Iesu yn myned o ddynaw , e ganvu ’wr yn eistedd wrth y ðollva a elwit Matthew , ac a ddyvot wrthaw , Canlyn vi . Ac ef a gyfodes , ac ei canlynawdd .
40:9:010:0	Ac e ddarvu , a’r Iesu yn eistedd i vwyta yn y duy ef , nycha , Publicanot lawer a’ phechaturieit , a’ ddaethent ynavv , a eisteddesant i vwyta gyd a’r Iesu a’ ei ddiscipulon .
40:9:011:0	A’ phan welawdd y Pharisaieit hynny , wy ddywedesont wrth y ddiscipulon ef . Paam y bwyty eich dyscyawdr gyd a’r Publicanot a’ phecaturieit ?
40:9:012:0	A’ phan glypu’r Iesu , e ddyvot wrthynt , Nid reit ir ei iach wrth veddic , anid ir ei cleifion .
40:9:013:0	An’d ewch a’ dyscwch pa beth yw hynn Trugaredd a ewyllyseis , ac nyd aberth : can na ddauthym i’ alw’r ei cyfiawn , amyn y pechaturieit y ddyvot‐ir‐iawn .
40:9:014:0	¶ Yno yð aent discipulon Ioan ataw , gan ddywedyt , Paam yð ymprydiwn ni a’r Pharisaieit yn vynech , ath ddiscipulon di eb vmprydiaw ?
40:9:015:0	A’r Iesu a ddyvot wrthwynt , A all plant yr ystavell‐briodas gwynvan tra vo’r gwr priod y gyd ac wynt ? An’d e ddawr dyddiae pan ddyger y gwr‐priawd o ddiarnynt , ac yno ydd vmprydiant .
40:9:016:0	Eb law hyny ny ddyd nep lain o vrethyn newydd mewn hen wisc : can ys hyn a ddylyei ei gyflawny , a dynn beth o y wrth y wisc , a rhwygfa aa yn waeth .
40:9:017:0	Ac ny ddodant ’win newydd mewn llestri hen : can ys velly y torrei’r llestri , ac y dineuhir , y gwin , ac y collir y llestri : an’d gwin newydd a ddodant mywn llestri newyð , ac velly y cedwir y ddau . Yr Euangel y xxiiij . gwedy Trintot .
40:9:018:0	¶ Tra oeddd ef yn ymadrodd wrthwynt , nycha , , y deuth ryw pennaeth , ac’ addolawdd iddaw , can ddywedyt , E vu varw veu merch yr awrhon , and dyred a’ gesot dy law arnei , a’ byw vydd hi .
40:9:019:0	A’r Iesu a g’odes ac ei dylynawdd , ef aei ddiscipulon .
40:9:020:0	( Ac wele wreic a oedd a haint gwaedlif arnei dauddec blynedd , a ddaeth or tu cefyn yddaw , ac a gyfhyrddawdd ac emyl y wisc ef .
40:9:021:0	Can ys hi a ddiwedesei ynthei e hun , A’s gallaf gyhwrdd aei wisc ef yn vnic , i’m iacheer .
40:9:022:0	Yno yr Iesu ymchwelawdd , a chan y gweled hi , y dyvot , Ha verch , bydd gysyrus : dy ffydd ath iachaodd . A’r wreic a wnaethpwyt yn iach yn yr awr hono . )
40:9:023:0	A’ phā ddaeth yr Iesu i duy’r pennaeth , a’ gweled y cerddorion a’r tyrfa yn trystiaw ,
40:9:024:0	y dyvot wrthwynt , Ewch ymaith : can nad marw’r vorwyn , anid cyscu y mae hi . Ac wynt ei gwatworesont ef .
40:9:025:0	A’ phan yrrwyt y tyrfa allan , ef aeth i mewn ac a ymavlawdd yn hi llaw , a’r vorwyn a gyvodes .
40:9:026:0	A’r gair o hynn aeth tros yr oll tir hwnw .
40:9:027:0	Ac val yð oeð yr Iesu yn myned o yno , dau ðalliō a ei dilynesont ef , gan lefain a ’dywedyt , Map Dauid trugarha wrthym .
40:9:028:0	A’ gwedy iddo ddyvot yr tuy , y daeth y daillion ataw , a’r Iesu a ddyvot wrthwynt , A gredwch chvvi y galla vi wneythyd hyn ? Ac wy a ddywedesont wrthaw , Credwn , Arglwydd .
40:9:029:0	Yno y cyhyrddodd ef a ei llygaid , gan ðywedyt , Herwydd eich ffydd bid y chwi .
40:9:030:0	A ei llygaid a egorwyt , a’r Iesu a oruwchmynnawð yddwynt , gan ddywedyt , Gwelwch nas gwypo nep .
40:9:031:0	An’d gwedi yddwyn ymadaw , wy eu clodvawresont ef trwy’r oll dir hwnw .
40:9:032:0	¶ Ac wynt yn myned allan , nycha , wy yn dwyn attaw vudan cythreulic .
