40:13:001:1	Pen . xiij .
40:13:002:1	
40:13:003:1	*
40:13:004:1	
40:13:005:1	Cyflwr
40:13:006:1	
40:13:007:1	Ystat teyrnas Duw wedy’r eglurhay trwy ddamec yr had . Am yr efrae . Yr had mwstard , Y surdoes , Y tresawr cuddiedic yn y maes . Am y
40:13:008:1	‡
40:13:009:1	gemmæ
40:13:010:1	perlae , ac am y Rwyt . Val ir escaulusr Prophwyt yn ei wlat y vn .
40:13:001:0	Y Dydd hwnw ydd aeth yr Iesu allan o’r tuy , ac ydd eisteddawdd geir llaw’r mor :
40:13:002:0	A’ thorfoedd lawerion a ymgynullent attaw , yn yd aeth ef i long , ac eistedd : a’r oll dorf a safawdd ar y lan .
40:13:003:0	Yno yr adroddawdd ef wrthwynt lawer o bethae drwy barablae , gan dywedyt , Nycha , ydd aeth heuwr ymaith i heheu .
40:13:004:0	Ac val ydd oedd ef yn heheu , y cwympodd ’rei or had ym‐min y ffordd , ac a ddaeth yr ehediait ac y difaodd wy .
40:13:005:0	Ar ei a gwympodd ar dir caregoc , lle ny chawsant vawr ddaiar , ac yn y man , yr eginesont , can nad oeð yddynt ddyfnedd daiar .
40:13:006:0	A’ gwedy cyfody yr haul , y crasasont , ac o eisiae gwreiddio , y crinesont .
40:13:007:0	A’r ei a gwympesont ymplith drain , a’r drain a gododd , ac ai tagawdd .
40:13:008:0	Rei hefyd a gwympesont mewn tir da , ac a ddygesont ffrwyth , vn gronyn ar ei ganfed , arall ar ei drigeinfed , arall ar ei ddecved ar vgain .
40:13:009:0	Y nep ’sydd iddo glustiae i wrando , gwrandawet .
40:13:010:0	¶ Yno y daeth y discipulon , ac y dywedesont wrthaw , Paam yr ymadroddy wrthynt ym‐parabolae ?
40:13:011:0	Ac ef a atepawdd ac a ddyvot wrthwynt , Can roðy i chwi wybot dirgeliō teyrnas nefoeð , ac na’s roddwyt yddwynt wy .
40:13:012:0	O bleit pwy pynac ys ydd iddo , iddo ef y rhoir , ac ef a gaiff helacthrwydd : eythyr pwy pynac nid oes iddo , o y arno ef y dugir , ac hyn y ’sydd yddo .
40:13:013:0	Am hyny yr ymadroddaf wrthwynt mewn parabolae , can ys wy yn gweled ny’s gwelant : ac yn clywet , ny’s clywant , ac ny’s dyallant .
40:13:014:0	Velly ynthynt wy y cyflawnwyt Prophedoliaeth Esaias , yr hon a ddywait , Can glywet y clywwch , ac ny’s dyellwch , ac yn gweled y gwelwch , ac ny’s canvyddwch .
40:13:015:0	Can ys brasawyt calon y popul hyn , ac aei clustiae pwl y clywant , a’ei llygait a wrthgaysont , rac canvot a’ei llygait , a chlybot aei clustiae , a’ dyall a’ei calonae , ac ymchwelyd , yn yd iachawn i hwy .
40:13:016:0	Eithyr ys dedwydd yvv eich llygait chvvi , can ys gwelant : ach clustiae , can ys‐clywant .
40:13:017:0	O bleit , yn wir y dywedaf ychwi , mai llawer o Prophwyti , a’ Rei cyfiawn a ddeisyfesant weled yr hyn a welw‐chwi , ac ny’vv welsant , a’ chlybot yr hyn a glywsoch , ac ny’vv chlywsant .
40:13:018:0	¶ Gwrandewch chwithe barabol yr heuwr .
40:13:019:0	Pa pryd pynac y clyw nep ’air , y Deyrnas , ac ef eb ei ðyall , e ddaw’r Drwc , ac ysclyffia’r hyn a heuwyt yn ei galon ef : a’ hwn yw ef a gymerth yr had ar vin y ffordd .
40:13:020:0	A’ hwn a gymerth had yn y tir caregawc , yw’r vn a wrendy’r gair , ac yn ebrwydd drwy lewenydd ei derbyn .
40:13:021:0	Nid oes hagen wreiddin ynthaw ehun , a’ thros enhyd yw : can ys er cynted y daw trallod nei ganlyn o bleit y gair , yn y van y rhwystrir ef .
40:13:022:0	A’ hwn a dderbyn yr had ymplith y drain , yw’r vn a wrendy’r gair : anyd gofal y byd hwn , ac ehudrwydd golud , a dag y gair , ac ef a wnaethpwyt yn ddiffrwyth .
40:13:023:0	And hwn a gymerth yr had yn y tir da , yw’r vn a wrendy’r gair , ac ei dyall , yr vn hefyd a ffrwytha , ac ei dwc , vn ar ei ganfet , arall ar ei drugeinfet , ar‐all ar ei ddecfet ar ugain .
40:13:024:0	Parabol arall a osodes ef yddwynt , can ddywedyt . Yr Euangel y pempet Sul gwedi ir Ystwyll . ¶ Teyrnas nefoedd’s ydd gyffelip i ddyn a heuei had da yn ei vaes .
40:13:025:0	A’ thra vei ’r dynion yn cyscu , e ddaeth y elyn ef , ac a heuawdd efrae ymplith y gwenith , ac aeth ymaith .
40:13:026:0	A’ gwedy ir egin dyvu , a’ dwyn ffrwyth , yno yr ymddangosodd yr efrae hefyt .
40:13:027:0	Ac a ddaeth gweision gwr y tuy , ac a ddywedesont wrthaw , Arglwydd , a‐ny heaist ti had da yn dy vaes ? O b’le gan hyny y mae ynddo yr efrae ?
40:13:028:0	Ac yntef a ddyvot wrthynt , Y gelyn‐ddyn a wnaeth hynn . A’r gweision a ddyvot wrthaw , A ewyllysy di i ni vyned a’ei cascly wynt ?
40:13:029:0	Ac ef a ddyvot , Na vynnaf : rac ychwy wrth glascly’r efrae ddiwreiddiaw y gwenith gyd ac wynt .
40:13:030:0	Gedwch ir ddau gyddtyfu , hyd y cynayaf , ac yn amser y cynayaf y dywedaf wrth y vedel , Cesclwch yn gyntaf yr efrae , a’ rhwymwch yn yscupae y’w lloscy : a’ chesclwch y gwenith i’m yscupawr .
40:13:031:0	¶ Parabol arall a roddes ef yddwynt , gan dywedyt , Cyffelip yw Teyrnas nefoedd i ’ronyn o had mustard , yr hwn a gymer dyn a’ ei heuha yn ei vaes ,
40:13:032:0	ys yr hwn ’sy ’leiaf o’r oll hadae : anyd gwedy tyfo , mwyaf vn or llysae ytyw , a’ phren vydd , yd ’n y ddel ehediait y nef a nythy yn ei gangae .
40:13:033:0	¶ Parabol arall a ddyvot ef wrthwynt , gan ddyvvedyt , Cyffelip yw teyrnas nefoedd y surdoes , yr hwn a gymer gwraic ac ei cuð mewn tri pheccet o vlawt , yn y sura oll .
40:13:034:0	¶ Hyn oll a ddyvot yr Iesu trwy barabolae wrth y dyrfa : ac eb parabolæ ny ddyvot ef ddim wrthwynt ,
40:13:035:0	yn y chyflawnit hyn a ddywetpwyt gan y Prophwyt , yn dywedyt , Agoraf vy‐genae ymparavolae , a’ menagaf ddirgeledigion o’r pan sailiwyt y byd .
40:13:036:0	Yno yd anfonawdd yr Iesu y dorf ymaith , ac ydd aeth ir tuy . A’ ei ddiscipulon a ddaeth attaw , can ddywedyt , Deongl i ni barabol efre yr maes .
40:13:037:0	Yno ydd atepawdd ef ac ydyvot wrthwynt , yr hwn a heyha yr had da , yw Map y dyn ,
40:13:038:0	a’r maes yw’r byd , a’r had da , wyntwy yw plant y deyrnas , a’r efrae ynt blant y Drwc ,
40:13:039:0	a’r gelyn sy ’n y heheu hwy , yw diavol , a’r cynayaf yw dywedd y byd , a’r medelwyr yw’r Angelion .
40:13:040:0	Megis gan hyny y cynullir yr efrae , ac y lloscir yn tan , velly y bydd yn‐diwedd y byt hwn .
40:13:041:0	Map y dyn a ddenvyn ei Angelion , ac wy a gynnullant allan oei deyrnas ef yr oll rwystrae , ar ei a wnant enwiredd ,
40:13:042:0	ac y bwriant wy i ffwrnais dan : ynaw y bydd wylo ac rhiccian danneð .
40:13:043:0	Yno y l’ewyrcha yr ei cyfiawn val yr haul yn teyrnas eu Tad . Hwn sy iddo glustiae i glywet , clywet .
40:13:044:0	¶ Trachefyn cyffelyp yw teyrnas nefoedd i dresawr cuddiedic mewn maes , yr hwn wedy y ddyn ei gaffael , ef ei cudd , ac o lewenydd am danaw , ef a dynn heibio , ac a werth oll ar a vedd , ac a brym y maes hwnw .
40:13:045:0	¶ Trachefn cyffelip yw teyrnas nefoedd i varsiandwr , yr hwn a gais vargaritaetec ,
40:13:046:0	ac wedy iðo ei gaffel vn margaret gwerthfawr , yr aeth ac y gwerthodd cymeint oll ac a veddei , ac ei prynoð .
40:13:047:0	¶ Tragefyn cyffelip yw teyrnas nefoedd i rwyt tynn a vwrit yn y mor , yr hon a dyrra o bop ryw beth .
40:13:048:0	Yr hon wedi bo yn llawn , a ddugant ir lan , ac eistedd a wnant , a’ chlascy ’r ei da y mywn llestri , a’ thavly ’r ei drwc heibio .
40:13:049:0	Velly y bydd yn‐diwedd y byd . Yr Angelion a ant allan , ac a nailltuant yr ei drwc o blith yr ei cyfiawn ,
40:13:050:0	ac y tavlant wy i ffwrneis dan : ynaw y bydd wylofain a’ riccian dannedd .
40:13:051:0	¶ Yr Iesu a ddyvot yddwynt , A y chwi yn dyall hyn oll ? Dywedesont wrthaw , Ym , Arglwydd .
40:13:052:0	Yno y dyvot ef wrthwynt , Can hynny pop Gwr‐llen yr hwn a ddyscir i deyrnas nefoedd , a gyffelypir i berchen tuy , yr hwn a ddwc allan oei dresawr newyddion a’ henion .
40:13:053:0	¶ Ac e ddarvu , gwedy i’r Iesu ddyweddyt y parabolae hyn , yr ymadawodd o ddyno ,
40:13:054:0	ac yd aeth ef y’w wlat y un , ac ei dyscawdd yn y synagogae wy , yny synnodd arnynt , gan ddywedyt , O b’le y doeth y doethinep hyn a’r gwethredoed‐nerthol ir dyn hwn ?
40:13:055:0	Anyd hwn yw map y saer ? Anyd y vam ef a elwir Mair , a’ ei vrodur Iaco ac Ioses , a’ Simon ac Iudas ?
40:13:056:0	Ac anyd yw ei chwioredd oll y gyd a nyni ? O b’le gan hyny y mae ganthaw y pethae hyn oll ?
40:13:057:0	Ac wy a rwystrit yntho . Yno y dyvot yr Iesu wrthwynt , Nyd yw Prophwyt eb anrydedd anyd yn ei wlat y un , ac yn y duy ehun .
40:13:058:0	Ac ny wnaeth ef vawr weithrrdoedd‐nerthol yno , o bleit ei ancrediniaeth wy .
