40:21:001:1	Pen . xxj .
40:21:002:1	Christ yn marchogeth ar asen y Caerusalem . Gyrry’r prynwyr a’r gwerthwyr allan o’r templ . Y plant yn
40:21:003:1	21 : 0
40:21:004:1	‡
40:21:005:1	erchi , damuno
40:21:006:1	pucho llwyddiant i Christ . Y fficuspren yn gwywo . Bot ffydd yn angenrait wrth weddiaw . Betydd Ioan . Y ddau vap . Y ðamec am y llafurwyr . Rhoi heibio y conglfayn . Gwrthddot yr Iuddaeon a’ derbyn y Cenetloedd .
40:21:001:0	A Phan ddaethant yn gyfagos y Caerusalem a’i dyuot hwy i Bethphage i vynyth Oliuar , yno yd aduones yr Iesu ddau ddiscipl ,
40:21:002:0	can ddywedyt wrthynt , Ewch ir pentref y sy gyferbyn a chwi , ac yn y man chwi a gewch asen yn rhwym , ac ebol gyd a hi : gellyngwch wynt a’ dygwch i mi .
40:21:003:0	Ac a dywait nep ðim wrthych , dywedwch , vot yn rraid ir Arglwyð wrthynt : yn y man ef y gellwng hwynt .
40:21:004:0	A’ hyn ol’ a wnaethpwyt , y gyfloni yr hyn a ðoytpwyt trwy’r Prophwyt , yn doydyd .
40:21:005:0	Dywedwch i verch Sion , Nycha , dy Vrenhin yn dyvot atat’ yn war , ac yn eistedd ar asen , ac ebol llwdn asen , weddol .
40:21:006:0	Y discipulon a aethant , ac a wnaethant mal y gorchymynawð yr Iesu yðwynt ,
40:21:007:0	ac a ddugesont yr asen a’r ebol , ac a ddodesont ei dillat arnynt , ac ei gesodesont ef arnwynt .
40:21:008:0	A’ thyrva ddirvawr a daneusont ei ddillat ar y ffordd : ereill a doresont gangae o’r gwydd , ac ei tanusont rhyt y ffordd .
40:21:009:0	A’r dyrfa a oedd yn mynet o’r blaen , a’r ei oedd yn dyvot ar ol a lefent , can dywedyt Hos‐anna i vap Dauid : bendigedic vo yr hwn ys y yn dywot yn Enw yr Arglwydd , Hos‐anna rhwn wyt yn y nefoedd goruchaf .
40:21:010:0	A’ gwedy ei ðy uot i Gaerusalem , y dinas oll a gynnyrfodd , can ddywedyt , Pwy yw hwn ?
40:21:011:0	A’r tyrvae a ddywedesant . Hwn yw’r Iesu y Prophwyt o Nazaret , yn‐Galilea .
40:21:012:0	A’r Iesu a aeth y mewn i templ Dduw , ac ei taflawdd hwynt y gyd allan yr ei oedd yn gwerthy ac yn prynu yn y templ , ac a ddymchlawdd y lawr vyrddae yr newidwyr‐arian , a’ chadeiriae yr ei oedd yn gwerthy colombenot ,
40:21:013:0	ac a ddyvot wrthwynt , Mae yn escrivennedic , Y tuy meu vi tuy gweddi y gelwir , eithyr chwi ei gwnaethoch yn’ ogof llatron .
40:21:014:0	Yno y daeth y daillion a’r cloffion attaw , yn y Templ , ac ef y iachaodd wy .
40:21:015:0	A’ phan welawdd yr Archoffeiriait a’r Gwyr‐llen y ryveddodae a wnaethoeðoedd ef , a’r plant yn llefain yn y templ , ac yn dywedyt , Hosanna vap Dauid , y soresont , ac y dywedesont wrthaw ,
40:21:016:0	A glywy di yr hyn a ddyweit yr ein ? A’r Iesu a ddyuot wrthynt , Do : Any ddarllenasech erioed , O enae ’rei‐bychein , a’r ei yn sugno y perffeithieist voliant ?
40:21:017:0	Yno y gadawodd ef wynt , ac aeth allan o’r dinas i Bethania , ac a letuyodd yno .
40:21:018:0	A’r borae ac ef yn ad ymchwelyd ir dinas , ydd oedd arno newyn .
40:21:019:0	Ac wrth weled fficuspren ar y ffordd , yd aeth ataw , ac ny chafas ddim arnaw , namin dail yn vnic , ac y dyvot wrthaw , Na bo i ffrwyth dyvu arnat’ byth mwyach . Ac yn ebrwydd y gwywoð y fficuspren .
40:21:020:0	A’ phan ei gwelawdd y discipulon , y ryveddesant , gan ddywedyt , Pan’d ebrwydd y gwywodd y fficuspren ?
40:21:021:0	A’r Iesu a atepawdd ac a ddyvot wrthynt , Yn wir y dywedaf wrthych , pei byddei y chwi ffydd ac eb petrusaw dim , ny wnewch yn vnic yr hyn a’ vvneythym i ir fficuspren , anyd hefyt pe dywedech wrth y mynyth hwn , Cymer dy vn y ffwrdd , a’ bwrw dy vn ir mor , hyny vydd .
40:21:022:0	A’ pha beth a archoch yn‐gweddi , a’s credwch , chvvi ei derbyniwch .
40:21:023:0	A’ gwedy y ðyvot ef ir Templ , yr Archoffeiriait , a’ Henafieit y popul a ddaethan attaw , val yr oeð ef yn adrodd‐dysc , ac a ddywedesont , Wrth pa awturtot y gwnai di y pethae‐hyn ? a’ phwy a roes y ti yr awdurtot hyn ?
40:21:024:0	Yno ydd atepawdd yr Iesu , ac y dyvot wrthwynt , A’ myvy a ovynaf i chwi , vn‐peth , yr hwn a’s manegwch y‐my , a’ minef a venagaf y chwi wrth pa awturtot y gwnaf i y pethae hyn .
40:21:025:0	Betydd Ioan o b’le yð oedd ? ai o’r nef , ai o ddynion ? Yno y rhysymesont yn ei plith y unain , gan ddywedyt , A’s dywedwn , mai o’r nef : ef a ddyweit wrthym , Paam gan hyny na’s credech yddaw ?
40:21:026:0	Ac a’s dywedwn mae O ddynion , mae arnam ofyn y popul : can ys bot pavvp oll yn cymeryd Ioan mal Prophwyt .
