40:7:001:1	Pen vij .
40:7:002:1	Christ yn gohardd barn ehud . Na vwrier pethe sanctaidd i gwn . Am erchi , caisio a’churo . Diben neu ystyrieth yr Scrythur ’lan . Am y porth cyfing , ar vn eheng . Am y gau prophwyti . Am y pren da , ar vn drwc . Gwyrthiae gauoc . O’r tuy ar y graic , ac o’r tuy ar y tyvot .
40:7:001:0	NA vernwch , val na ’ch barner .
40:7:002:0	Cāys a’ pha varn y barnoch , ich bernir : ac a pha vesur y mesuroch , y mesurir y chwithae eilchwyl .
40:7:003:0	A’ phaam y gwely di y gwelltyn y sydd yn llygad dy vrawt , ac na ddyelli y trawst ys ydd yn dy lygat tyun ?
40:7:004:0	nai pa vodd y dywedy wrth dy vrawt , Gad i mi vwrw allan y gwelltyn oth lygat , ac wele drawst yn dy lygat dyun ?
40:7:005:0	A hypocrit , bwrw allan yn gyntaf y trawst oth lygat tyun , ac yno y canvyddy vwrw allan y gwelltyn o lygat dy vrawt .
40:7:006:0	¶ Na rowch y peth ’sy sāctaið i gwn , ac na thavlwch eich gemmae geyrvron moch , rac yddyn ei sathry y dan draed , a’ throi drachefn ach rhwygo .
40:7:007:0	¶ Archwch , ac ei rhoddir y‐chwy : caisiwch , ac ei ceffwch : Curwch , ac ef agorir y‐chwy .
40:7:008:0	Can ys pwy pynac a airch , a dderbyn : a’r nep a gaiso , a gaiff : ac i hwn guro , yr agorir .
40:7:009:0	Can ys pa ddyn y sydd yn eich plith , yr hwn a’s airch ei vap iddo vara , a rydd vaen iddo ?
40:7:010:0	Ai a’s airch ef byscodyn , a ddyry ef sarph iddo ?
40:7:011:0	A’s chwychwi gan hyny , a chwi yn ddrwc , a wyddoch roi rroddion da i’ch plant , pa veint mwy y bydd ich Tad yr hwn ’sy yn y nefoedd , roddy daoedd ir ei a archant arno ?
40:7:012:0	Can hyny , peth pynac a ewyllysoch wneythy ’r o ddynion i chwi , velly gwnew‐chwithe yddwynt wy . Can ys hynn yw’r Ddeddyf a’r Prophwyti .
40:7:013:0	Ewch y mewn ir porth cyfing : cā ys eheng yw’r porth , ac llydan ywr ffordd ys y yn tywys i ddistriwiad : a’ llaweroedd ynt yn myned y mywn ynovv ,
40:7:014:0	o bleit cyfing yw’r porth , a chul yw’r ffordd a dywys i vuchedd : ac ychydigion ’sy , a ei caffant . Yr Euangel y viij . Sul gwedy Trintot .
40:7:015:0	¶ Y mogelwch rac y gau‐prophwyti , yr ei a ðawant atoch yngwiscoedd deveit , anid o ðymewn ydd ynt blaiddiae raipus .
40:7:016:0	Wrth ei ffrwyth ydd adnabyddwch wy . A’ gascla’r ei ’rawnwin o y ar ddrain ? nei fficus o ydd ar yscall ?
40:7:017:0	Velly pop pren da a ðwc ffrwyth da a’ phren drwc a ðwc ffrwyth drwc .
40:7:018:0	Ny ddychon pren da , ddwyn ffrwythe drwc na phren drwc ddwyn ffrwythe da .
40:7:019:0	Pop pren ar ny ddwc ffrwyth da , a dorir y lawr , ac a davlir ir tan .
40:7:020:0	Erwydd paam wrth ei ffrwyth yr adnabyddwch wy .
40:7:021:0	Nyd pwy bynac a ddyweit wrthyf , Arglwyð , Arglwydd , a a i deyrnas nefoedd amyn yr hwn a wna ewyllys vy‐Tat yr hwn yw yn y nefoedd efe a ddavv i deyrnas nefoedd .
40:7:022:0	Llaweroedd a ðiwedant wrthyf yn y dyð hwnw , Arglwydd , Arglwyð , a nyd drvvy dy Enw di y prophwydesam ? a thrvvy dy enw y bwriesom allan gythraulieit ? a thrvvy dy Enw y gwnaetham weithredoedd‐mawrion ?
40:7:023:0	Ac yno yr addefaf yddyn , Ny’s adnabym chwi er ioed : ewch ymaith y wrthyf yr ei a weithiwch enwiredd .
40:7:024:0	Pwy pynac gan hyny a glyw genyf y geiriae hyn , ac ei gwna , mi ai cyffelypaf ef i wr doeth , yr hwn a adeilawdd ei duy ar graic :
40:7:025:0	a’r glaw a syrthiodd , a’r llifeirieint a ddaethant , a’r gwyntoedd a chwythasant , ac a ðygwyðesont ar y tuy hwnw , ac ny chwympodd : can ys ei sylfaeny ar graic .
40:7:026:0	An’d pwy pynac a glywo genyf vy‐geiriae hyn , ac nys gwna , a gyffelypir i wr ynfyd , yr hwn a adeiliedodd ei duy ar dyvot :
40:7:027:0	a’r glaw a gwympoð , a’r llifdyfreð a ddaethant , a’r gwyntoedd a chwythesan , ac a guresont ar y tuy hwnw , ac e gwympodd , a’ ei gwymp a vu vawr .
40:7:028:0	¶ Ac e ddarfu , gwedy i’r Iesu ðywedyt y gairiae hyn , rhyveddy a wnaeth y popul gan y ddysc ef .
40:7:029:0	Can ys ef y dyscawdd wy val vn ac awturtaw , ganthaw , ac nid val y Gwyr‐llen .
