40:15:001:1	Pen . xv .
40:15:002:1	Christ yn escuso ei ddiscipulon , ac yn ceryddy’r Gwyr llen , a’r Pharisaieit , am dori gorchymyn Dew , gan ei athraweth ei hunain . Am y planigin a ddiwreiddir . Pa bethae a halogant ddyn . Christ yn gwaredy merch y wraic o Canane . Bara’r plant . Ef yn iachay’r cleifion . Ac yn porthy pedairmil gwyr , eb law gwragedd a’ phlant .
40:15:001:0	YNo y daeth at yr Iesu y Gwyr‐llē ar Pharisaieit , yr ei oedd o Gaerusalem , gan ddywedyt ,
40:15:002:0	Paam y tyr dy ddiscipuion di arddodiad yr Henafieit ? can na olchant ei dwylo , pan vwytaont vara .
40:15:003:0	Ac ef a atepawdd ac a ddyvot wrthwynt , A’ phaam ydd y‐chwi yn tori gorchymyn Dew gan eich arddodiad chwi ?
40:15:004:0	Can ys Dew a orchymynodd , can ddywedyt , Anrydeða dy dad ath vam : a’ hwn a velltithio tad nei vam , bid ef varw yr angae .
40:15:005:0	A chwi a ddywedwch , Pwy pynac a ddyweit wrth tad nei vam , Can y rhodd a offrymir geny vi , y daw lles yty : er , na’s anrhydedda ef ei dad , nei vam , diuai vydd .
40:15:006:0	Ac vellyn y gwnaethoch ’orthymyn Dew yn over gan eich arddodiad chwi .
40:15:007:0	A hypocriteid , da y prophwytodd Esaias am dano‐chwi , gan ddywedyt ,
40:15:008:0	Nesau mae’r popul hynn ataf a’ ei genae , a’m anrhydeddy aei gwefusae , a’ ei calon ’sy ympell ywrthyf .
40:15:009:0	Eithr ouer im anrhydeddant i , gan ddyscy yn lle dysceidaeth ’orchymynnae dynion .
40:15:010:0	Yno y galwodd ef y dyrva attaw , ac y ddyvot wrthwynt , Clywch a’ dyellwch .
40:15:011:0	Hyn aa y mevvn ir genae , ny’s haloga ddyn , nanyn yr hyn a ddaw allan o’r genae , hyny a haloga ddyn .
40:15:012:0	¶ Yno y daeth ei ddiscipulon , ac y dywedesont wrthaw , A’ ny wyddost i , y rhwystra Pharisaieit wrth glywet yr ymadrodd hvvn ?
40:15:013:0	Ac ef a atepodd ac a ddyvot , Pop plannigyn ar ny’s plannawdd vy‐Tad nefawl , a ddiwreddir .
40:15:014:0	Gedwch yddyn : tywysogion deillion ir deillion ynt : ac a’s y dall a dywys y dall , y ddau a gwympant i’r ffos .
40:15:015:0	¶ Yno ydd atepawdd Petr , ac y dyvot wrthaw Deongl yni y parabol hwn .
40:15:016:0	Yno y dyuot yr Iesu , ytych chwi etwa eb ddyall ?
40:15:017:0	Any wyddochvvi , eto mai pop peth pynac aa ymewn ir genae , iddo vyned ir boly , ac a vwrir allan ir gaudy ?
40:15:018:0	Eithr y pethae a ddant allan o’r genae , ’sy yndyvot o’r galon , achwy a halogant ddyn .
40:15:019:0	Can ys o’r galon , y daw meddyliae drwc , lladd‐celanedd , tori priodas , godinebeu , lladrat , ffals destiolaeth , cablairiae .
40:15:020:0	Yr ei hyn yw’r pethae a halogant ddyn : an’d bwyta a dwylo eb ’olchi , nyd haloga ddyn . Yr Euangel yr ail Sul or Grawys .
40:15:021:0	¶ A’ Iesu aeth o ddyno , ac a dynodd i dueddeu Tyrus a’ Sidon :
40:15:022:0	A’ nycha , gwraic o Canaan a ddaeth or goror hynny , ac a lefawdd , can ddywedyt wrthaw , Trugarha wrthyf , Arglwydd , vap Dauid : y mae vymerch i mewn poen resynawl gan gythraul .
40:15:023:0	Eithyr nyd atepawdd ef yddi vn gair . Yno y daeth ei ddiscipulon ataw , ac a atolygesont iddo , can ddyweðyt , Danvon y hi ymaith canys mae hi yn llefain ar ein h’ol .
40:15:024:0	Ac ef a atepawdd , ac addyvot , Ni’mdanvonwyt i anid at ddevait colledic tuy ’r Israel .
40:15:025:0	Er hyny hi a ddeuth ac y addolawdd ef , can ddywedyt , Arglwydd cymporth vi .
40:15:026:0	Ac ef a atepawdd , ac a ddyvot , Nid da cymeryd bara ’r plant a’ei vwrw ir cwn .
40:15:027:0	Hithae a ddyvot , Gwir yw , Arglwydd : er hyny mae ’r cwn yn bwyta yr briwision a syrth y ar vort y’ harglwyddi .
40:15:028:0	Yno ydd atepawdd yr Iesu , ac ydyvot wrthei . Ha wreic , mawr yw dy ffydd : bid y‐ty , mal y mynych . A’hei merch a iachawyt yn yr awr honno .
40:15:029:0	Ac velly yr aeth yr Iesu o yno , ac y daeth geyrl’aw mor Galilaea , ac a escendodd ir mynyth , ac a eisteddawdd yno ,
40:15:030:0	Ac a ddaeth ataw dyrvae mawrion a’ chanthwynt gloffion , deillion , mudion , anafusion , ac eraill lawer , ac eu bwrieson y lavvr wrth draet yr Iesu , ac ef y iachaoddhwy ,
40:15:031:0	yny ryveddawdd y dyrva , weled y mution yn dywedyt , yr anafusion yn iach , a’r cloffion yn cerddet , ar daillion yn gweled : a’ gogoneddy Dyw yr Israel awnaethont .
40:15:032:0	Yno y galwodd yr Iesu ei ddiscipulon attaw , ac a ddyvot , Ydd wyf yn tosturio wrth y dyrfa hon , can yddyn aros gyd a mi er ys tri‐die bellach , ac nad oes ganthyn ddim yw vwyta : a’i gellwng vvy ar ei cythlwng ny’s ewyllsyaf , rac ei ffeintio ar y ffordd .
40:15:033:0	A’ ei ddiscipulon a ddyvot wrtho , O b’le y caem ni gynniver o vara yn y diffeithvvch , ac y caffei dyrva gymeint , ei gwala ?
